method,reference,mean_delta_tardiness,median_delta_tardiness,fraction_lower,fraction_equal
ALNS-CVaR,OR-Tools,-13.529978474585363,-8.62029200026305,0.842,0.158
ALNS-Mean,OR-Tools,-11.52097983505306,-7.192038496748609,0.785,0.117
ALNS-Nominal,OR-Tools,0.0,0.0,0.0,1.0
Uniform-CVaR-FFseed,OR-Tools,-12.73748011734991,-8.354467346599336,0.828,0.158
Uniform-Mean-FFseed,OR-Tools,-11.734282801997047,-7.768193941790088,0.817,0.141
Uniform-CVaR-GRUseed,OR-Tools,-13.177267041056682,-8.270171915462768,0.82,0.141
Uniform-Mean-GRUseed,OR-Tools,-13.294637445560635,-8.354467346599336,0.823,0.141
ALNS-Mean,ALNS-CVaR,2.0089986395323027,0.0,0.001,0.621
ALNS-Nominal,ALNS-CVaR,13.529978474585363,8.62029200026305,0.0,0.158
OR-Tools,ALNS-CVaR,13.529978474585363,8.62029200026305,0.0,0.158
Uniform-CVaR-FFseed,ALNS-CVaR,0.7924983572354515,0.0,0.002,0.895
Uniform-Mean-FFseed,ALNS-CVaR,1.7956956725883142,0.0,0.0,0.704
Uniform-CVaR-GRUseed,ALNS-CVaR,0.3527114335286784,0.0,0.001,0.779
Uniform-Mean-GRUseed,ALNS-CVaR,0.23534102902472753,0.0,0.002,0.797
ALNS-CVaR,ALNS-Mean,-2.0089986395323027,0.0,0.378,0.621
ALNS-Nominal,ALNS-Mean,11.52097983505306,7.192038496748609,0.098,0.117
OR-Tools,ALNS-Mean,11.52097983505306,7.192038496748609,0.098,0.117
Uniform-CVaR-FFseed,ALNS-Mean,-1.2165002822968511,0.0,0.337,0.598
Uniform-Mean-FFseed,ALNS-Mean,-0.2133029669439882,0.0,0.18,0.732
Uniform-CVaR-GRUseed,ALNS-Mean,-1.656287206003624,0.0,0.216,0.782
Uniform-Mean-GRUseed,ALNS-Mean,-1.7736576105075752,0.0,0.232,0.768
