scenario_id,OR-Tools,ALNS-Mean,ALNS-CVaR
0,50.692744019294764,26.602106311751555,9.357273290965793
1,16.877459447116507,1.2200134795504312,0.0
2,32.15022333757713,0.08574849728393019,0.0
3,4.124499659487299,1.3998322780661283,0.0
4,6.5314527114622365,1.1126196443136678,0.0
5,34.3291089166392,11.159740425594293,0.0
6,14.32741814303813,18.305015356848912,0.0
7,17.337287173225604,0.5744141022718736,0.0
8,45.676532253806386,33.276475053530476,0.0
9,5.7035572741216924,0.0,0.0
10,3.9170018674294056,3.395811582156398,0.0
11,8.640670130118167,0.0,0.0
12,3.562519337560502,5.000506434895016,0.0
13,3.0607156547358727,1.1346412867607114,0.0
14,15.926625791065817,0.0,0.0
15,21.74048710163322,13.05525740422678,0.0
16,42.48209337170405,14.885404182098512,0.0
17,53.18241496014352,5.112786493995571,4.6886324400582
18,17.85691845694265,6.582667103485278,0.0
19,0.5562356464646427,0.24516205218031928,0.0
20,4.205453528929866,0.0,0.0
21,51.19720212809776,20.66857611697094,33.491666423686496
22,2.424488964361899,3.4331918811940625,0.0
23,6.783279497415151,0.0,0.0
24,34.05802548030317,19.967595069219612,3.095146497902647
25,20.117209836737743,4.5390536615688575,0.0
26,6.600085459752904,6.529873440154631,1.662877221925953
27,2.6340768896168356,8.93676888943503,0.0
28,19.229050774651455,3.3715328745641955,0.0
29,19.543236430744287,5.983545094365184,0.0
30,15.819827102262536,12.651000309421931,0.0
31,12.145260331139866,2.3216638135924086,0.0
32,17.74528306468875,1.848419593871057,0.0
33,38.534471064211345,22.70713802175024,0.0
34,6.177568313635959,4.91082983233872,0.0
35,0.23434731779281037,0.0,0.0
36,39.92277028310852,19.031492904554597,0.0
37,13.272388736846608,14.723406905464344,0.0
38,3.22090908145168,0.89851692646738,0.0
39,14.677800616472666,0.04248413201213452,9.63562888936832
40,26.900728772442847,17.271833792121754,5.585066278323325
41,32.16521533275136,18.932108700310664,0.0
42,11.581700498696534,1.6561012279353804,0.0
43,19.133047549889454,7.46052890530126,0.0
44,4.600049140322028,3.3435500661557,0.0
45,6.800417638375336,0.0,0.0
46,18.939181891044996,4.19403624616109,9.989698959867326
47,9.6415971175947,10.050850280976562,0.0
48,16.459223142101507,13.546327507781825,0.0
49,0.0,5.322216090960865,0.0
50,4.785874227596764,7.559733398845083,0.0
51,0.0,7.96143663673152,0.0
52,27.643697840453797,0.6549715421473365,0.0
53,51.106861378773374,32.25387279564649,13.380653943313575
54,52.38198476034941,52.140444875910305,42.75110916150331
55,8.35080428645773,0.671452239797361,0.0
56,11.80985559117289,7.373545432966182,0.0
57,33.2586916098781,8.502482040494016,4.134653835460483
58,6.376454094737767,4.883346770637161,0.0
59,16.144987856386308,0.0,0.0
60,35.941958110498206,9.616682612524414,8.925728714372895
61,12.095343191986046,11.346978208915544,0.0
62,10.176258765569344,2.851753903130856,3.8049041014796785
63,2.864870842029859,0.0,0.0
64,27.76564627636398,4.910190360894461,0.0
65,2.939158174042632,3.5148442981589483,0.0
66,25.192549142299242,5.824854016768029,0.0
67,8.971554676749292,0.9140263344766595,0.0
68,19.92483964326607,0.0,0.0
69,15.896345661713156,0.0,0.0
70,40.082848934909634,14.004690389813163,0.0
71,0.0,1.2997989579754403,0.0
72,49.19585045915528,21.82289465152286,2.8824398860996325
73,17.51758216923028,15.17025572857051,0.0
74,20.256103485080928,8.663005208546707,4.227667892865725
75,15.715481244443538,4.2498787986256445,0.0
76,12.09345222508773,0.0,0.0
77,0.657966123568599,0.0,0.0
78,38.168305955354924,9.332257139126227,0.0
79,32.18563302941925,2.6418443782791314,0.0
80,29.344259357868737,8.714978294683249,0.0
