decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,0,12,0,1,485.29801020267325,485.29801020267325,485.29801020267325
2,2,2,8,0,1,480.4482208008993,480.4482208008993,480.4482208008993
3,3,1,9,0,1,462.0687034334393,462.0687034334393,462.0687034334393
4,4,1,10,0,1,460.76870343343927,460.76870343343927,460.76870343343927
5,5,1,12,0,1,460.26870343343927,460.26870343343927,460.26870343343927
6,6,1,12,0,0,461.1256904661903,460.26870343343927,460.26870343343927
7,7,1,9,0,0,466.5862425245826,460.26870343343927,460.26870343343927
8,8,2,11,0,1,444.9908870403738,444.9908870403738,444.9908870403738
9,9,0,9,0,0,473.15214732040016,444.9908870403738,444.9908870403738
10,10,1,11,0,0,460.26870343343927,444.9908870403738,444.9908870403738
11,11,0,10,0,1,441.71567011151114,441.71567011151114,441.71567011151114
12,12,2,12,0,1,440.9524997098971,440.9524997098971,440.9524997098971
13,13,2,9,0,1,441.1524997098971,441.1524997098971,440.9524997098971
14,14,0,9,0,1,440.7524997098971,440.7524997098971,440.7524997098971
15,15,2,9,0,0,457.4430923913351,440.7524997098971,440.7524997098971
16,16,2,9,0,0,501.5524875089338,440.7524997098971,440.7524997098971
17,17,0,8,0,0,445.2036159783088,440.7524997098971,440.7524997098971
18,18,1,10,0,0,503.75248750893377,440.7524997098971,440.7524997098971
19,19,0,11,0,0,501.5524875089338,440.7524997098971,440.7524997098971
20,20,0,10,0,0,461.54692467565036,440.7524997098971,440.7524997098971
21,21,1,12,0,1,445.2036159783088,445.2036159783088,440.7524997098971
22,22,2,10,0,0,469.09894082788594,445.2036159783088,440.7524997098971
23,23,1,11,0,1,443.55289316740067,443.55289316740067,440.7524997098971
24,24,0,11,0,0,452.8192648462339,443.55289316740067,440.7524997098971
25,25,1,10,0,1,436.9163066271816,436.9163066271816,436.9163066271816
26,26,2,10,0,1,437.3163066271816,437.3163066271816,436.9163066271816
27,27,0,11,0,0,481.5048055060388,437.3163066271816,436.9163066271816
28,28,2,9,0,1,429.5146515621694,429.5146515621694,429.5146515621694
29,29,1,10,0,1,429.1146515621694,429.1146515621694,429.1146515621694
30,30,0,10,0,0,429.3146515621694,429.1146515621694,429.1146515621694
31,31,1,11,0,1,429.1146515621694,429.1146515621694,429.1146515621694
32,32,2,9,0,1,429.1146515621694,429.1146515621694,429.1146515621694
33,33,2,9,0,1,427.5146515621694,427.5146515621694,427.5146515621694
34,34,1,10,0,1,425.7146515621694,425.7146515621694,425.7146515621694
35,35,0,10,0,0,483.79797025793334,425.7146515621694,425.7146515621694
36,36,2,8,0,1,425.01465156216943,425.01465156216943,425.01465156216943
37,37,0,8,0,0,447.1376378173535,425.01465156216943,425.01465156216943
38,38,0,11,0,1,427.61465156216934,427.61465156216934,425.01465156216943
39,39,1,9,0,1,425.3615957817301,425.3615957817301,425.01465156216943
40,40,2,11,0,0,454.5974386101817,425.3615957817301,425.01465156216943
41,41,1,10,0,0,487.31510952431887,425.3615957817301,425.01465156216943
42,42,1,10,0,0,487.3151095243188,425.3615957817301,425.01465156216943
43,43,2,10,0,0,462.66407591995727,425.3615957817301,425.01465156216943
44,44,2,9,0,1,419.9615957817301,419.9615957817301,419.9615957817301
45,45,0,9,0,1,420.1615957817301,420.1615957817301,419.9615957817301
46,46,1,11,0,1,425.4210532896439,425.4210532896439,419.9615957817301
47,47,2,12,0,1,425.9210532896439,425.9210532896439,419.9615957817301
48,48,2,11,0,1,418.36159578173,418.36159578173,418.36159578173
49,49,1,8,0,1,419.96667056316386,419.96667056316386,418.36159578173
50,50,2,9,0,1,419.96667056316386,419.96667056316386,418.36159578173
51,51,2,11,0,0,468.37281692372716,419.96667056316386,418.36159578173
52,52,1,11,0,0,486.4343123022201,419.96667056316386,418.36159578173
53,53,1,11,0,0,486.33431230222016,419.96667056316386,418.36159578173
54,54,0,10,0,0,486.33431230222016,419.96667056316386,418.36159578173
55,55,0,11,0,1,419.96667056316386,419.96667056316386,418.36159578173
56,56,1,11,0,0,494.26559539907464,419.96667056316386,418.36159578173
57,57,2,11,0,1,420.46667056316386,420.46667056316386,418.36159578173
58,58,2,9,0,0,539.2561723363814,420.46667056316386,418.36159578173
59,58,1,9,1,0,,420.46667056316386,418.36159578173
60,59,2,11,0,1,420.26667056316387,420.26667056316387,418.36159578173
61,60,1,10,0,0,431.6601106453255,420.26667056316387,418.36159578173
62,61,0,8,0,1,421.0666705631639,421.0666705631639,418.36159578173
63,62,1,11,0,0,432.4601106453255,421.0666705631639,418.36159578173
64,62,1,9,1,0,,421.0666705631639,418.36159578173
65,63,1,9,0,0,430.7438022306356,421.0666705631639,418.36159578173
66,64,1,11,0,0,450.6462499825152,421.0666705631639,418.36159578173
67,65,1,11,0,0,440.402996350391,421.0666705631639,418.36159578173
68,66,1,11,0,0,436.68525378237655,421.0666705631639,418.36159578173
69,67,0,11,0,1,421.0666705631639,421.0666705631639,418.36159578173
70,67,1,9,1,0,,421.0666705631639,418.36159578173
71,68,1,11,0,1,416.54991342697514,416.54991342697514,416.54991342697514
72,69,2,11,0,1,410.4101307178894,410.4101307178894,410.4101307178894
73,70,1,11,0,0,433.8424204377224,410.4101307178894,410.4101307178894
74,71,2,11,0,0,478.78854725767803,410.4101307178894,410.4101307178894
75,72,0,9,0,0,433.8424204377224,410.4101307178894,410.4101307178894
76,73,2,10,0,0,414.8253539863821,410.4101307178894,410.4101307178894
77,74,2,12,0,0,478.78854725767803,410.4101307178894,410.4101307178894
78,75,1,11,0,0,433.8424204377224,410.4101307178894,410.4101307178894
79,76,2,10,0,0,566.4588691005507,410.4101307178894,410.4101307178894
80,77,1,9,0,0,433.8424204377224,410.4101307178894,410.4101307178894
81,78,1,11,0,0,433.24242043772244,410.4101307178894,410.4101307178894
82,79,2,8,0,1,408.2067091252787,408.2067091252787,408.2067091252787
83,80,2,11,0,0,461.3125573749524,408.2067091252787,408.2067091252787
84,81,1,12,0,0,433.8424204377224,408.2067091252787,408.2067091252787
85,82,1,9,0,0,421.22981168114393,408.2067091252787,408.2067091252787
86,83,1,9,0,0,413.2293650519648,408.2067091252787,408.2067091252787
87,84,2,11,0,0,467.53964302210784,408.2067091252787,408.2067091252787
88,85,1,9,0,0,433.8424204377224,408.2067091252787,408.2067091252787
89,86,0,9,0,0,419.79581477603386,408.2067091252787,408.2067091252787
90,87,1,9,0,0,418.73012450786695,408.2067091252787,408.2067091252787
91,88,1,10,0,0,413.2293650519648,408.2067091252787,408.2067091252787
92,89,2,9,0,0,441.99658705362776,408.2067091252787,408.2067091252787
93,90,0,10,0,0,425.57248467126834,408.2067091252787,408.2067091252787
94,91,1,11,0,0,419.79581477603386,408.2067091252787,408.2067091252787
95,92,1,11,0,0,433.8424204377224,408.2067091252787,408.2067091252787
96,93,0,9,0,1,408.2067091252787,408.2067091252787,408.2067091252787
97,94,2,10,0,0,417.3906033129745,408.2067091252787,408.2067091252787
98,95,0,9,0,0,424.01646699053896,408.2067091252787,408.2067091252787
99,96,0,11,0,0,419.1958147760339,408.2067091252787,408.2067091252787
100,97,0,9,0,0,431.433395951153,408.2067091252787,408.2067091252787
101,98,2,9,0,1,407.6067091252787,407.6067091252787,407.6067091252787
102,99,1,11,0,0,421.2163965354388,407.6067091252787,407.6067091252787
103,100,1,11,0,1,407.6067091252787,407.6067091252787,407.6067091252787
104,101,1,10,0,0,438.0713426506469,407.6067091252787,407.6067091252787
105,102,2,9,0,0,456.0201410398545,407.6067091252787,407.6067091252787
106,103,0,11,0,1,405.4067091252787,405.4067091252787,405.4067091252787
107,104,2,9,0,0,427.44348112451456,405.4067091252787,405.4067091252787
108,105,1,11,0,0,427.1889395368563,405.4067091252787,405.4067091252787
109,106,1,11,0,0,421.3898891213779,405.4067091252787,405.4067091252787
110,107,1,9,0,0,421.3898891213779,405.4067091252787,405.4067091252787
111,108,2,9,0,1,405.4067091252787,405.4067091252787,405.4067091252787
112,109,0,12,0,1,404.16038273575924,404.16038273575924,404.16038273575924
113,110,2,9,0,0,473.7441685891111,404.16038273575924,404.16038273575924
114,111,2,10,0,0,410.0603827357593,404.16038273575924,404.16038273575924
115,112,1,11,0,0,420.11395901201575,404.16038273575924,404.16038273575924
116,113,1,8,0,0,420.11395901201575,404.16038273575924,404.16038273575924
117,114,2,11,0,0,445.11279745380284,404.16038273575924,404.16038273575924
118,115,2,9,0,0,454.3555157946643,404.16038273575924,404.16038273575924
119,116,1,11,0,0,420.41395901201577,404.16038273575924,404.16038273575924
120,117,1,9,0,0,425.8706062411619,404.16038273575924,404.16038273575924
121,118,1,11,0,0,422.50088753452536,404.16038273575924,404.16038273575924
122,119,1,11,0,0,422.50088753452536,404.16038273575924,404.16038273575924
123,120,2,10,0,0,429.16559028126477,404.16038273575924,404.16038273575924
124,121,2,9,0,0,442.7008683655426,404.16038273575924,404.16038273575924
125,122,1,11,0,1,404.0603827357592,404.0603827357592,404.0603827357592
126,123,0,10,0,0,420.7579683968222,404.0603827357592,404.0603827357592
127,124,1,10,0,0,447.2667932582799,404.0603827357592,404.0603827357592
128,125,1,11,0,0,420.01395901201573,404.0603827357592,404.0603827357592
129,126,1,11,0,0,447.01807578419937,404.0603827357592,404.0603827357592
130,127,0,9,0,0,445.11279745380284,404.0603827357592,404.0603827357592
131,128,1,12,0,0,420.75270838429617,404.0603827357592,404.0603827357592
132,129,2,11,0,0,440.6350541001538,404.0603827357592,404.0603827357592
133,130,1,12,0,0,420.0139590120158,404.0603827357592,404.0603827357592
134,131,0,10,0,0,448.92431151295074,404.0603827357592,404.0603827357592
135,132,0,10,0,0,435.216238371889,404.0603827357592,404.0603827357592
136,133,1,10,0,0,420.01395901201573,404.0603827357592,404.0603827357592
137,134,0,10,0,0,454.52507145295215,404.0603827357592,404.0603827357592
138,135,0,11,0,0,445.11279745380284,404.0603827357592,404.0603827357592
139,136,1,9,0,0,420.01395901201573,404.0603827357592,404.0603827357592
140,137,1,10,0,0,420.0139590120158,404.0603827357592,404.0603827357592
141,138,2,11,0,0,422.40088753452534,404.0603827357592,404.0603827357592
142,139,1,8,0,0,420.01395901201573,404.0603827357592,404.0603827357592
143,140,2,12,0,0,420.7579683968222,404.0603827357592,404.0603827357592
144,141,1,12,0,0,429.81721212448434,404.0603827357592,404.0603827357592
145,142,0,8,0,1,406.1495621674157,406.1495621674157,404.0603827357592
146,143,1,11,0,0,420.0139590120158,406.1495621674157,404.0603827357592
