scenario_id,RL-FF-Mean,RL-GRU-Mean,Uniform-Mean,RL-FF-CVaR,RL-GRU-CVaR,Uniform-CVaR
0,2.557638675574708,2.557638675574708,0.0,0.0,0.0,0.0
1,9.208340161711305,9.208340161711305,0.0,0.0,0.0,0.0
2,8.903187567103089,8.903187567103089,0.0,0.0,0.0,0.0
3,24.063832276763662,24.063832276763662,10.248492867813297,6.626861882287926,0.0,0.0
4,4.699126315084641,4.699126315084641,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,39.67597608765499,42.7561239160454,7.413592771562435,10.382642192430126,3.080147828390409,0.0
7,6.906451178267275,0.41725599425620885,0.0,1.4047074646503575,0.0,0.0
8,33.484326135013305,33.484326135013305,7.778208254049048,0.0,0.0,0.0
9,18.49404361982215,18.49404361982215,0.0,0.0,0.0,0.0
10,12.716466571001604,12.716466571001604,0.0,0.0,0.0,0.0
11,2.5750806001165074,2.5750806001165074,0.0,0.0,0.0,0.0
12,1.9555940231509226,0.5529017595356436,0.0,1.9145050461931419,0.0,0.0
13,4.4000367919407495,4.4000367919407495,6.06857121679019,0.0,0.0,0.0
14,9.37817265937565,9.37817265937565,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,6.274181081345489,6.274181081345489,0.0,0.0,0.0,0.0
17,15.707801550498743,24.065260214417208,0.0,2.7364351474336104,8.357458663918464,0.49973843153139796
18,21.848582420769333,21.848582420769333,10.54212136827283,0.0,0.0,0.0
19,23.41815854732829,27.640011365477562,1.1302320549024785,1.1302320549024785,6.161665190251938,8.423422293267379
20,6.014836362440292,6.014836362440292,0.0,0.0,0.0,0.0
21,0.0,0.6126951056831444,0.0,0.0,0.6126951056831444,0.0
22,3.1060457792473812,4.599279708454844,0.0,0.0,1.493233929207463,0.0
23,11.911082892810924,11.911082892810924,4.696900935772618,4.696900935772618,4.696900935772618,0.0
24,10.950607558705201,0.0,0.0,7.949626916464695,0.0,0.0
25,19.51726222939135,11.488905136924814,0.0,3.428872744474347,6.516700789067841,9.302968368208099
26,5.942554650331772,5.942554650331772,0.0,0.03629555481523994,0.0,6.205990651877528
27,7.821808492307667,7.821808492307667,0.46851190934680176,0.46851190934680176,0.46851190934680176,0.0
28,1.6568040582705805,1.6568040582705805,0.3359303329718557,0.3359303329718557,0.3359303329718557,1.720081125211209
29,5.909843686577801,5.909843686577801,0.0,0.0,0.0,0.0
30,1.836647245473273,2.714047996473255,0.0,0.0,0.8774007509999819,0.0
31,12.916575146546108,12.916575146546108,1.8138381086901632,0.0,0.0,0.0
32,12.018126912474486,12.018126912474486,0.0,0.0,0.0,0.0
33,7.04793618928494,7.04793618928494,0.0,0.0,0.0,0.3742692871460349
34,0.0,0.0,0.0,0.0,0.0,0.0
35,11.66438367642536,11.66438367642536,5.575875108174898,5.575875108174898,5.575875108174898,0.0
36,12.095821990366858,12.095821990366858,0.0,0.0,0.0,0.0
37,12.811850257151093,12.811850257151093,8.263024444356631,14.470136168016836,8.263024444356631,0.0
38,27.002985005868197,27.54554164113773,2.6627192977683762,3.9016951909850377,4.592091935389362,10.600600457284827
39,30.8456588259383,19.946132375803586,11.819561425222616,13.208057514773941,15.295929682386372,3.476368257163756
40,49.893531646220055,49.893531646220055,7.338217423685961,5.742169759890743,5.742169759890743,0.0
41,1.1332696324976723,1.1332696324976723,0.0,0.0,0.0,7.184832707509145
42,15.275119802067593,15.275119802067593,1.463059006658284,0.0,0.0,0.0
43,5.288845071008097,5.288845071008097,0.0,0.0,0.0,0.0
44,2.4655670094815605,2.4655670094815605,0.0,0.0,2.266204942385457,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,2.7261977091383187,2.7261977091383187,0.0,0.0,0.0,0.0
47,3.6982728897519905,3.6982728897519905,0.0,0.0,5.560897783525718,0.0
48,0.18884338873817796,0.5738222978640692,0.0,0.0,0.3849789091258913,0.0
49,8.564340861722599,22.71196194524049,4.149114597832806,1.0838629034585665,17.995133238401024,0.107529712820849
50,1.48827263911096,0.3710466963355543,0.8922136869891517,0.0,0.0,0.0
51,2.5083805273629878,2.5083805273629878,0.0,0.0,0.0,0.0
52,6.549561976669594,6.666752296658245,6.549561976669594,8.540445917687038,6.666752296658245,0.0
53,7.685733628649359,7.685733628649359,0.0,0.0,3.1524364884469946,0.0
54,0.6553856155734934,0.6553856155734934,0.0,0.0,0.0,0.0
55,5.987057207275711,5.987057207275711,0.0,0.0,0.0,0.0
56,1.1810204607267565,1.1810204607267565,0.0,0.0,0.0,0.0
57,5.224863176616452,5.224863176616452,5.224863176616452,5.224863176616452,5.224863176616452,0.0
58,20.5289430463302,12.240611799845794,0.0,5.106086889566484,0.0,5.356877669326934
59,7.126709618287862,7.126709618287862,3.0935424557034708,3.0935424557034708,3.0935424557034708,0.0
60,7.554938125043009,7.554938125043009,0.0,2.056152562351997,0.0,0.0
61,6.272090322018073,17.41399514533947,0.0,0.0,11.141904823321397,15.42954643302204
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6001281170996435,0.6001281170996435,0.0,0.0,0.0,0.0
64,5.079972583905601,5.079972583905601,0.0,0.0,0.0,0.0
65,13.808208019925502,13.808208019925502,4.815855086009748,4.815855086009748,4.815855086009748,0.0
66,10.441357915323863,7.689119286545406,0.0,3.7692156793522145,0.0,0.0
67,2.3634033851354275,2.3634033851354275,0.0,0.0,0.0,3.465300575948845
68,0.6797998753505112,0.6797998753505112,0.0,0.0,0.0,0.0
69,5.331453596918493,5.331453596918493,0.0,0.0,0.0,0.0
70,8.679155287549975,8.679155287549975,2.380677967400885,0.0,4.644187452676249,5.875505284700353
71,1.6408203559502113,1.6408203559502113,0.2810765799064825,0.2810765799064825,0.0,0.0
72,21.484484942316953,21.484484942316953,1.6326489264210409,0.0,0.0,0.0
73,3.506427582898027,8.389448676120253,2.715377588141905,0.0,4.883021093222226,5.573927356893819
74,36.72408366809128,36.72408366809128,4.610004264684392,2.017379309524131,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0
76,12.70539836936689,14.185346903247932,10.631102681223638,1.7399165236941485,0.0,15.52741486733305
77,3.45168164102148,3.45168164102148,0.0,0.0,0.0,0.0
78,13.899116246669223,0.0,9.333196337411323,17.666095715549943,11.770034893617947,14.186991350885137
79,24.13143768694468,24.13143768694468,23.955014692079118,28.946693181534812,9.703576017039921,0.0
80,15.292724509289997,11.131847708807811,1.581968121921932,1.581968121921932,1.581968121921932,0.7600582344560962
81,2.24994394168948,2.24994394168948,0.0,0.0,0.0,4.690358256083755
82,4.674588718857876,4.674588718857876,0.0,0.0,0.0,0.0
83,13.719675587436825,13.719675587436825,12.463217986069935,12.463217986069935,12.463217986069935,0.0
84,7.59481119240769,7.59481119240769,0.0,0.0,0.0,0.0
85,17.50441834451155,17.50441834451155,3.7500011748100803,3.7500011748100803,3.7500011748100803,0.0
86,2.384732065446542,2.384732065446542,2.384732065446542,2.384732065446542,2.384732065446542,0.0
87,3.2777795228609534,3.2777795228609534,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0
89,19.84589648083272,19.84589648083272,16.828532261998248,16.828532261998248,16.828532261998248,4.723130312118229
90,0.0,5.026559478017816,0.0,0.0,5.026559478017816,0.0
91,1.428389790381459,1.428389790381459,0.0,0.0,0.0,0.0
92,8.97535623735206,8.97535623735206,0.0,0.0,0.0,0.0
93,3.732485316689292,3.732485316689292,0.0,0.0,0.0,0.0
94,5.75402020926748,5.75402020926748,0.0,0.0,0.0,0.0
95,1.6777771776144164,1.6777771776144164,0.0,0.0,0.0,0.0
96,7.134378952667589,7.134378952667589,0.0,0.0,0.0,0.0
97,17.376210192151376,17.376210192151376,6.421238564937738,6.421238564937738,6.421238564937738,0.0
98,5.070898362907656,5.070898362907656,3.199948683968614,3.199948683968614,3.199948683968614,0.0
99,16.60743917385753,16.60743917385753,7.827012086052093,7.827012086052093,7.827012086052093,0.0
100,10.365299133512224,10.365299133512224,6.44772371375052,6.44772371375052,6.44772371375052,0.0
101,33.2736894114999,14.0865662391343,4.809753328692693,14.32695689381461,4.809753328692693,4.809753328692693
102,0.0,0.0,1.1259592743879807,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0
104,5.741176384135542,5.741176384135542,2.4641932325525886,2.4641932325525886,2.4641932325525886,0.0
105,9.260654633704519,6.922908359901726,9.143802445727204,0.03286385277175441,18.35007437253779,7.074864371988156
106,2.8433280966733037,2.8433280966733037,0.0,0.0,0.0,0.0
107,8.752162092351568,8.752162092351568,0.0,0.7905832424435175,0.0,0.0
108,4.528788444324675,4.528788444324675,0.0,0.0,0.0,0.0
109,7.357123531743355,6.986025906301165,0.0,0.41332406237313535,0.0,0.6832295577314653
110,7.789879753543346,7.789879753543346,0.0,0.0,0.0,0.0
111,0.8404099038597792,0.8404099038597792,0.0,0.0,0.0,0.0
112,8.73262388723765,8.73262388723765,0.0,0.0,0.0,0.0
113,10.811481705452849,10.811481705452849,5.697769760394323,5.697769760394323,10.811481705452849,5.113711945058526
114,4.758109139849523,0.982390319528065,0.982390319528065,3.443419857256231,0.982390319528065,0.0
115,0.38474121325037913,0.38474121325037913,0.0,0.0,0.0,0.0
116,29.321811519962125,19.805480977235163,17.432000351248234,18.47601081343919,15.183455190319535,2.3993132924296106
117,8.991841372044973,8.991841372044973,0.0,0.0,0.0,0.0
118,6.538873539850556,6.538873539850556,0.0,0.0,0.0,0.0
119,19.394758540185506,13.249240858469733,13.249240858469733,16.83452131411812,13.249240858469733,0.0
120,11.906458166231403,11.906458166231403,9.216107985590611,9.216107985590611,9.216107985590611,0.0
121,4.569211911624905,4.569211911624905,0.0,0.0,0.0,0.0
122,14.562577068272077,14.562577068272077,13.19162354274934,13.19162354274934,13.19162354274934,0.0
123,36.773991622851156,36.773991622851156,19.74234994445277,25.541906461625956,0.0,4.508756747891823
124,29.29284091726882,29.29284091726882,29.29284091726882,29.29284091726882,29.29284091726882,0.0
125,12.320125177099214,12.320125177099214,11.400590947901946,11.400590947901946,11.400590947901946,0.0
126,3.170597106721061,3.170597106721061,3.170597106721061,3.170597106721061,3.170597106721061,0.0
127,9.72782359173982,9.72782359173982,0.0,0.0,8.454794425539774,8.454794425539774
128,7.275190044419617,7.275190044419617,0.0,0.0,0.0,0.0
129,13.081084316642801,13.081084316642801,5.7297424082104556,5.7297424082104556,5.7297424082104556,0.0
130,0.23378971028722617,0.23378971028722617,0.0,0.0,0.0,0.0
131,18.208929716498346,24.48868554851714,6.731392952407873,0.0,6.279755832018793,7.585445514740172
132,7.176172226211634,7.176172226211634,0.0,0.0,0.0,0.0
133,0.4895365650419876,0.4895365650419876,0.0,0.0,0.0,0.0
134,5.696236899087182,5.696236899087182,0.0,0.0,0.0,0.0
135,4.9937173224648745,4.9937173224648745,0.0,0.0,0.0,0.0
136,0.23557936296947446,0.23557936296947446,0.0,0.0,0.0,0.0
137,17.38715506353131,17.38715506353131,7.9483150418145385,7.9483150418145385,7.9483150418145385,0.0
138,11.642627553147065,11.642627553147065,0.0,0.0,0.549706735976315,0.0
139,4.746217607095957,4.746217607095957,0.0,0.0,0.0,0.0
140,24.24863666475528,24.24863666475528,13.418322594855624,3.4193208754189754,0.0,0.0
141,1.5295217287160199,1.5295217287160199,2.475848349107281,0.0,8.883506003197283,0.0
142,8.25394909946931,8.655630014662279,0.0,0.0,0.4016809151929692,0.0
143,20.251131341114757,20.251131341114757,7.195584288622513,1.7970780640298756,12.561676448455017,11.652310786066778
144,14.862296595541466,14.862296595541466,4.77903994021284,4.77903994021284,4.77903994021284,0.0
145,2.51542314825258,2.51542314825258,0.0,0.0,0.0,0.0
146,3.848979678454384,3.848979678454384,0.0,0.0,0.0,0.0
147,2.3718390104399987,2.3718390104399987,0.0,0.0,0.0,0.0
148,20.1804667061362,20.1804667061362,0.0,0.0,0.0,0.0
149,6.140980066420127,6.140980066420127,0.0,0.0,0.0,0.0
150,6.064252045351282,6.064252045351282,2.710298834004959,0.0,0.0,0.0
151,6.742865494012847,6.742865494012847,0.0,0.0,0.0,0.0
152,0.90658090868709,0.90658090868709,0.0,0.0,0.0,0.0
153,12.03712659443903,9.822398671616838,0.0,0.0,0.0,4.630119061453627
154,56.01815922697898,56.01815922697898,17.462205548649706,40.22258434669038,0.0,0.0
155,1.3434414609479859,1.3434414609479859,0.0,0.0,0.0,0.0
156,11.436584431782535,11.436584431782535,5.046581824977125,5.046581824977125,5.046581824977125,0.0
157,5.033784617909419,5.033784617909419,0.0,0.0,0.0,0.0
158,32.4067208142628,32.4067208142628,11.06369763974024,11.06369763974024,11.06369763974024,0.0
159,3.28379569361266,3.28379569361266,0.0,0.0,0.0,0.0
160,1.7892115565193194,1.7892115565193194,0.0,0.0,0.0,0.0
161,1.0015490469482415,1.0015490469482415,0.0,0.0,0.0,0.0
162,10.819990140280936,5.823946259983188,0.0,0.0,0.0,0.4007061813917403
163,12.00375525400591,12.00375525400591,0.0,0.0,0.0,0.0
164,3.172740083294002,3.172740083294002,0.0,0.0,0.0,0.0
165,1.3431983537477095,1.3431983537477095,0.0,0.0,0.0,0.0
166,7.671552601887129,7.671552601887129,0.0,0.0,0.0,0.0
167,6.2367155167031285,6.2367155167031285,5.144286609261741,5.144286609261741,5.144286609261741,0.0
168,1.71328172574772,1.71328172574772,1.71328172574772,1.71328172574772,1.71328172574772,0.0
169,3.0391784470047583,3.0391784470047583,0.0,10.40316209635273,0.0,0.0
170,9.072282359803296,9.343619700892077,5.60409207612588,0.0,0.27133734108878116,0.0
171,6.867558961489522,6.867558961489522,0.0,0.0,0.0,0.0
172,1.852058998718519,1.852058998718519,0.0,0.0,0.0,0.0
173,12.595258981898382,12.595258981898382,0.0,14.067856394701266,0.0,1.0826149593332275
174,4.246242512042528,4.246242512042528,4.246242512042528,4.246242512042528,4.246242512042528,0.0
175,36.33901801035705,36.64646707687427,17.564649510080415,4.46977769909563,0.30744906651722204,0.0
176,3.8816718872117235,3.8816718872117235,0.0,0.0,0.0,0.0
177,16.76359493412025,16.76359493412025,0.0,0.0,0.0,0.0
178,36.37129385420559,36.37129385420559,22.226219247979145,24.939163573925384,3.938026603021342,0.0
179,10.182421835101394,9.034794428393838,8.34622735949469,8.34622735949469,8.34622735949469,0.0
180,16.119302090913493,16.119302090913493,0.0,5.9810761398316,0.0,0.0
181,16.64656767290745,16.64656767290745,17.59349261927258,0.0,0.0,0.0
182,1.931709880430276,1.931709880430276,0.0,0.0,0.0,0.0
183,1.5168088829120165,1.5168088829120165,0.0,0.0,0.0,0.6338579287642006
184,0.7652418946145758,0.7652418946145758,0.0,0.0,0.0,0.0
185,2.814889990521749,2.814889990521749,0.0,0.0,0.0,0.0
186,6.049738701198265,6.049738701198265,6.049738701198265,6.049738701198265,6.049738701198265,0.0
187,9.029101716238642,9.029101716238642,0.0,0.0,0.0,0.0
188,15.990103118808747,15.990103118808747,9.070832517171482,4.783297298169998,0.0,1.627887990888496
189,23.849265074092955,23.849265074092955,21.975508795433655,18.180156045887713,3.6317742345746638,4.997594980254746
190,0.0,0.0,0.0,0.0,0.0,0.0
191,22.77101205129037,22.77101205129037,3.3422985597701427,28.880273984154314,0.0,0.0
192,7.795520768615916,7.795520768615916,0.0,0.0,0.0,0.0
193,2.104726270453341,2.104726270453341,0.0,0.0,0.0,0.0
194,1.087071212298838,1.087071212298838,0.0,0.0,0.0,0.0
195,2.7112141403011947,2.7112141403011947,0.0,0.0,0.0,0.0
196,18.601870906573595,18.601870906573595,3.305586471506331,0.0,0.0,0.0
197,6.988831912513717,6.988831912513717,0.0,0.0,0.0,0.0
198,7.100755822457529,7.100755822457529,0.0,9.15055730349286,0.0,0.0
199,4.741534257409455,7.0336829059109505,0.0,0.0,2.2921486485014952,0.0
200,2.795162951649104,2.795162951649104,0.0,0.0,0.0,0.0
201,5.649092767772686,5.649092767772686,0.0,0.0,0.0,0.0
202,4.8901372302676975,4.8901372302676975,4.8901372302676975,4.8901372302676975,4.8901372302676975,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0
204,34.79375762031694,38.371479179775264,16.40901202071015,17.915066132414864,6.852936668255865,0.0
205,20.20352505349183,19.694195619794357,0.0,0.0,0.0,0.6037855818914863
206,0.0,0.0,0.0,0.0,0.0,0.0
207,11.374845562218184,11.374845562218184,3.406903840299492,0.0,0.0,0.0
208,2.205873783814468,2.205873783814468,0.0,0.0,0.0,0.0
209,5.629533407166207,5.629533407166207,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0
211,10.949293144205853,10.949293144205853,0.0,0.0,0.0,0.0
212,4.26347101622531,3.964289327315271,0.0,0.0,0.0,7.588750415707125
213,25.622544268718542,25.622544268718542,20.99555526922026,20.99555526922026,20.99555526922026,0.0
214,6.487275351094411,6.487275351094411,0.0,0.0,3.3205497106786197,6.34300944355266
215,7.866280931097435,7.866280931097435,0.0,0.0,0.0,0.0
216,8.716453686377918,8.716453686377918,0.0,0.0,0.0,0.0
217,0.6300721121165793,0.6300721121165793,0.0,0.0,0.0,0.0
218,14.92167643905239,14.92167643905239,4.949166742265362,4.949166742265362,4.949166742265362,0.0
219,3.9644401806655765,3.9644401806655765,0.0,0.0,0.0,0.0
220,3.938758192474012,3.938758192474012,1.6469178199599526,1.6469178199599526,1.6469178199599526,0.0
221,7.156425327461193,7.156425327461193,4.085972353725481,0.0,0.0,10.845990289691485
222,19.22473712233881,19.22473712233881,3.9551046583872562,0.0,0.0,0.0
223,0.5949519910061554,0.5949519910061554,0.0,0.0,0.0,0.0
224,19.495662388819255,19.495662388819255,0.0,0.0,0.0,0.0
225,8.235677925311052,8.235677925311052,0.0,0.0,0.0,0.0
226,0.6219544718326233,0.6219544718326233,4.416336529391344,0.0,0.0,0.0
227,10.767420131188373,10.767420131188373,0.0,0.0,0.0,0.0
228,0.9996194071009086,0.9996194071009086,0.0,0.0,0.0,0.0
229,2.031933779359292,2.031933779359292,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0
231,2.4371730064431745,2.4371730064431745,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0
233,2.266587122105591,2.266587122105591,0.0,0.0,0.0,0.0
234,21.82702858413512,21.446518344399806,14.413212026479698,9.555084216678551,0.0,0.0
235,17.25290533469513,0.0,0.0,7.073354990421365,0.0,0.0
236,19.131602567394253,19.131602567394253,19.131602567394253,20.529982480805103,19.131602567394253,0.0
237,19.04343620912107,19.04343620912107,13.81755396411279,13.81755396411279,13.81755396411279,0.0
238,8.064978545133101,8.064978545133101,0.0,0.0,0.0,0.0
239,8.61058068056289,8.61058068056289,3.631267762103704,3.631267762103704,3.631267762103704,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0,0.0
242,0.887387491460288,0.887387491460288,0.887387491460288,8.720466497528264,0.887387491460288,0.0
243,0.0,0.0,0.0,0.0,0.0,0.0
244,5.60704972930904,5.60704972930904,0.0,0.0,0.0,0.0
245,3.062155282445133,3.062155282445133,0.0,0.0,0.0,0.0
246,3.5213382109340614,6.120429121135544,0.0,0.0,2.5990909102014825,0.0
247,8.270951218881805,0.0,5.351487667996025,0.0,0.0,0.0
248,5.924727275184807,5.924727275184807,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0,0.0
250,5.166101894002509,6.9602991256938935,3.4583533389929357,3.4583533389929357,5.2525505706843205,0.0
251,22.227656796436975,19.54760334679338,0.0,0.0,0.0,0.0
252,8.83623614128362,11.06772486350917,0.0,0.0,2.2314887222255493,0.0
253,3.101545059173759,12.292706264734875,0.0,0.0,0.0,0.0
254,12.553313593339169,12.553313593339169,9.909338586825186,9.909338586825186,9.909338586825186,0.0
255,3.312942078038475,3.312942078038475,0.0,0.0,0.0,0.0
256,4.199444918403174,4.199444918403174,0.0,0.0,0.0,0.0
257,6.946808566056404,6.946808566056404,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0,0.0
259,10.845863149744446,10.845863149744446,0.0,0.0,0.0,0.0
260,2.0213102864701114,2.0213102864701114,0.0,0.0,0.0,0.0
261,9.423225992794357,9.423225992794357,5.000233787944012,5.000233787944012,5.000233787944012,0.0
262,23.908079502771955,14.878858985603301,0.0,0.0,0.0,0.0
263,11.321090198563894,11.321090198563894,9.531839825954222,9.531839825954222,9.531839825954222,0.0
264,7.09859337608367,7.09859337608367,0.0,0.0,0.0,0.0
265,2.299463139148088,2.299463139148088,0.0,0.0,0.0,7.528162894097818
266,6.202014914329197,7.0226293443199665,0.5943397532114432,0.5943397532114432,1.4149541832022123,0.0
267,19.47464138429143,19.47464138429143,3.0137120954847774,20.53864262117304,0.0,0.0
268,3.962848686397251,3.962848686397251,0.0,0.0,0.0,0.0
269,2.170718244852594,2.170718244852594,0.0,0.0,0.0,0.0
270,13.861928634927978,13.861928634927978,2.1737538994802605,2.1737538994802605,2.1737538994802605,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0,0.0,0.0
273,33.22408700458237,33.22408700458237,11.706887331447092,2.341955697079584,0.0,0.0
274,4.550689825547124,4.550689825547124,0.0,0.0,0.0,0.0
275,9.817936681327012,9.817936681327012,9.817936681327012,9.817936681327012,9.817936681327012,0.0
276,0.0,0.0,0.0,0.0,0.0,0.0
277,2.835235786986175,2.835235786986175,0.0,0.0,0.0,0.0
278,2.6394771178563587,2.6394771178563587,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0,0.0,3.534534208872742
280,0.0,0.0,10.996875031005914,0.0,0.0,0.0
281,15.06722992681577,15.06722992681577,9.02221155244112,9.02221155244112,9.02221155244112,0.25685646798541484
282,0.0,0.0,0.0,0.0,0.0,0.0
283,17.828029495493126,19.75054483931052,3.5899022845658237,0.0,1.9225153438173948,0.0
284,10.733771505611344,10.733771505611344,1.7912759123339015,0.0,6.60637267931105,0.0
