method,reference,mean_delta_tardiness,median_delta_tardiness,fraction_lower,fraction_equal
ALNS-CVaR,OR-Tools,-12.025195099305783,-7.060732202498002,0.792,0.136
ALNS-Mean,OR-Tools,-10.554864373991848,-6.219593986456644,0.779,0.209
ALNS-Nominal,OR-Tools,0.0,0.0,0.0,1.0
Uniform-CVaR-FFseed,OR-Tools,-13.328908901217698,-8.480244748067449,0.841,0.158
Uniform-Mean-FFseed,OR-Tools,-9.378074573702383,-5.642199147311587,0.744,0.206
Uniform-CVaR-GRUseed,OR-Tools,-13.170638923919425,-8.436881546936732,0.839,0.159
Uniform-Mean-GRUseed,OR-Tools,-10.699751710967773,-6.525832888070781,0.78,0.216
ALNS-Mean,ALNS-CVaR,1.4703307253139357,0.0,0.19,0.529
ALNS-Nominal,ALNS-CVaR,12.025195099305783,7.060732202498002,0.072,0.136
OR-Tools,ALNS-CVaR,12.025195099305783,7.060732202498002,0.072,0.136
Uniform-CVaR-FFseed,ALNS-CVaR,-1.3037138019119145,0.0,0.284,0.696
Uniform-Mean-FFseed,ALNS-CVaR,2.6471205256034,0.0,0.166,0.485
Uniform-CVaR-GRUseed,ALNS-CVaR,-1.1454438246136438,0.0,0.277,0.683
Uniform-Mean-GRUseed,ALNS-CVaR,1.325443388338011,0.0,0.189,0.545
ALNS-CVaR,ALNS-Mean,-1.4703307253139357,0.0,0.281,0.529
ALNS-Nominal,ALNS-Mean,10.554864373991848,6.219593986456644,0.012,0.209
OR-Tools,ALNS-Mean,10.554864373991848,6.219593986456644,0.012,0.209
Uniform-CVaR-FFseed,ALNS-Mean,-2.7740445272258505,0.0,0.35,0.64
Uniform-Mean-FFseed,ALNS-Mean,1.176789800289464,0.0,0.053,0.785
Uniform-CVaR-GRUseed,ALNS-Mean,-2.6157745499275795,0.0,0.34,0.642
Uniform-Mean-GRUseed,ALNS-Mean,-0.1448873369759246,0.0,0.056,0.914
