method,reference,mean_delta_tardiness,median_delta_tardiness,fraction_lower,fraction_equal
ALNS-CVaR,OR-Tools,-12.753645026037633,-8.058628791063924,0.814,0.132
ALNS-Mean,OR-Tools,-13.226714640694725,-8.270171915462768,0.82,0.14
ALNS-Nominal,OR-Tools,0.0,0.0,0.0,1.0
Uniform-CVaR-FFseed,OR-Tools,-13.13176469405254,-8.270171915462768,0.822,0.136
Uniform-Mean-FFseed,OR-Tools,-12.722292987150842,-8.14517524423421,0.82,0.153
Uniform-CVaR-GRUseed,OR-Tools,-12.844445727635017,-7.768193941790088,0.814,0.133
Uniform-Mean-GRUseed,OR-Tools,-10.489864914419165,-6.274127551321655,0.765,0.203
ALNS-Mean,ALNS-CVaR,-0.47306961465709285,0.0,0.127,0.84
ALNS-Nominal,ALNS-CVaR,12.753645026037633,8.058628791063924,0.054,0.132
OR-Tools,ALNS-CVaR,12.753645026037633,8.058628791063924,0.054,0.132
Uniform-CVaR-FFseed,ALNS-CVaR,-0.3781196680149086,0.0,0.136,0.812
Uniform-Mean-FFseed,ALNS-CVaR,0.031352038886788905,0.0,0.243,0.629
Uniform-CVaR-GRUseed,ALNS-CVaR,-0.09080070159738579,0.0,0.111,0.784
Uniform-Mean-GRUseed,ALNS-CVaR,2.2637801116184657,0.0,0.194,0.481
ALNS-CVaR,ALNS-Mean,0.47306961465709285,0.0,0.033,0.84
ALNS-Nominal,ALNS-Mean,13.226714640694725,8.270171915462768,0.04,0.14
OR-Tools,ALNS-Mean,13.226714640694725,8.270171915462768,0.04,0.14
Uniform-CVaR-FFseed,ALNS-Mean,0.09494994664218422,0.0,0.05,0.893
Uniform-Mean-FFseed,ALNS-Mean,0.5044216535438818,0.0,0.149,0.72
Uniform-CVaR-GRUseed,ALNS-Mean,0.38226891305970706,0.0,0.034,0.838
Uniform-Mean-GRUseed,ALNS-Mean,2.7368497262755587,0.0,0.13,0.54
