eta,method,distance_mean,distance_sd,tard_mean_mean,tard_mean_sd,tard_cvar95_mean,tard_cvar95_sd,on_time_mean,J_mean_mean,J_mean_sd,J_cvar_mean,J_cvar_sd,route_multiplier_mean,route_multiplier_sd
0.0,ALNS-CVaR,376.6199999999999,5.02411960225644,0.5990112940192452,0.6349227529565015,8.227498052181353,6.82677358667242,0.9969897435897437,377.8180225880384,5.468498038504772,393.07499610436264,16.46243624116816,1.048279390572897,0.0006241376844874553
0.0,ALNS-Mean,371.7599999999999,3.0207431021006843,1.5504090007368807,0.9817035769378923,15.779784381789176,9.825156569314602,0.9943320512820513,374.8608180014736,3.790879836330466,403.3195687635783,20.193670190489808,1.048203477083203,0.0006122368376419266
0.0,OR-Tools,367.2000000000001,0.0,13.415143839313984,0.5133705120704167,60.741132686594504,3.8765307472236112,0.9723166666666667,394.03028767862804,1.026741024140815,488.68226537318907,7.753061494447247,1.048331156262869,0.0005957285977840882
0.35,ALNS-CVaR,378.2199999999999,3.9476575332721677,0.8013316587665702,0.7425424981769462,8.70111727979457,5.921342386002312,0.9967910256410256,379.82266331753306,4.366185882572305,395.62223455958906,13.133697352356885,1.0477291941946767,0.0010778780093646562
0.35,ALNS-Mean,373.2799999999999,3.8717782305636788,1.4678167426444724,1.0494688363619604,16.58043053435593,11.549252962555276,0.9948948717948717,376.21563348528883,4.089525230623611,406.4408610687118,22.77320250655278,1.0476326119319457,0.000834725658343767
0.35,OR-Tools,367.2000000000001,0.0,14.249038607456246,0.7042613024316058,73.51807044693881,6.5250664034492765,0.9721,395.69807721491253,1.408522604863191,514.2361408938776,13.050132806898587,1.047472053774215,0.0008378348644770113
0.7,ALNS-CVaR,378.2099999999999,6.592664273434707,1.871908968831344,1.3762845211732728,21.61203177055223,12.591154928825356,0.9949769230769231,381.9538179376626,7.764431124688193,421.43406354110436,27.76892570893986,1.0458252914672923,0.0010999961397636566
0.7,ALNS-Mean,373.94999999999993,3.459367315308139,2.9240157417435872,1.4402035397092912,33.442782756895625,17.740678210948587,0.9930153846153846,379.7980314834871,3.987472244186894,440.83556551379115,34.98326008871644,1.046112308926849,0.0012318453058967282
0.7,OR-Tools,367.2000000000001,0.0,17.186513996447857,0.6481377258532631,113.24399968629098,8.107284755255149,0.9710256410256412,401.57302799289573,1.2962754517065063,593.687999372582,16.21456951051032,1.0457622864771365,0.0012188102863241153
