replicate,eta,method,seed_search,seed_test,seed_algorithm,event_mu,event_beta,event_eta,kappa,distance_km,nominal_tardiness_min,tard_mean,tard_std,tard_var95,tard_cvar95,on_time_mean,max_tard_mean,omi_exposure_mean,omi_exposure_max,route_sampled_multiplier_mean,J_mean_test,J_cvar_test,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals,search_runtime_s,external_wall_s
1,0.0,OR-Tools,43001,44001,0,0.0153846153846153,0.6,0.0,0.6952662379115702,367.2000000000001,0.0,13.268834214574031,14.910199696955791,44.39648692561741,60.099042663101145,0.9725256410256412,7.0060497940057544,0.0679994274954573,0.8971432292385547,1.0472777061349072,393.7376684291482,487.3980853262024,0,0,0,0,0.0,0.0
1,0.0,ALNS-Mean,43001,44001,52001,0.0153846153846153,0.6,0.0,0.6952662379115702,369.5,0.0,2.6885876782754794,7.761355620654522,14.214374660225047,30.34774387460884,0.9936794871794872,1.8819141189044573,0.0686582803328951,0.89834503637436,1.04773578426853,374.87717535655094,430.1954877492177,25100,250,312,62,37.65531829199972,37.70134708299883
1,0.0,ALNS-CVaR,43001,44001,53001,0.0153846153846153,0.6,0.0,0.6952662379115702,376.7999999999999,0.0,2.231020403812915,6.100401288656426,9.148790096188094,23.03863975380153,0.9888461538461538,1.5294989189521886,0.0684936973239713,0.8971084811966789,1.0476213552590914,381.26204080762574,422.87727950760296,25100,250,255,5,24.428785208998303,24.471460625001782
1,0.35,OR-Tools,43001,44001,0,0.01,0.6,0.35,0.9,367.2000000000001,0.0,13.540745918133332,16.389166153929906,45.63564992786513,64.84950075911574,0.9731923076923076,7.047313051187351,0.0519286561396351,0.8488664471797265,1.0467357905256716,394.2814918362667,496.8990015182315,0,0,0,0,0.0,0.0
1,0.35,ALNS-Mean,43001,44001,52001,0.01,0.6,0.35,0.9,369.5,0.0,2.985881544141485,8.650794850982969,13.643604570584216,33.52954120412815,0.9931923076923076,2.0851119997040115,0.0522496763363814,0.8591641061901336,1.0470247087027431,375.47176308828296,436.5590824082563,25100,250,298,48,34.50769987500098,34.550720333001664
1,0.35,ALNS-CVaR,43001,44001,53001,0.01,0.6,0.35,0.9,381.5999999999999,0.0,1.5155508188275495,4.156383508002145,8.812007472553347,15.233003845716082,0.9955769230769232,1.354304855802025,0.0531283268970878,0.8537778092211036,1.0478154942073792,384.63110163765504,412.0660076914321,25100,250,258,8,23.92506345800211,23.966694624999946
1,0.7,OR-Tools,43001,44001,0,0.0046153846153846,0.6,0.7,1.481574841841101,367.2000000000001,0.0,17.55284637264487,27.381401520149527,71.4916816795876,106.48471256498206,0.9706538461538462,7.966920572777595,0.0316296611645074,0.69394128014873,1.0468617102372928,402.3056927452898,580.1694251299641,0,0,0,0,0.0,0.0
1,0.7,ALNS-Mean,43001,44001,52001,0.0046153846153846,0.6,0.7,1.481574841841101,375.4,0.0,1.4712279875643637,4.585266726422989,9.08742879331183,17.268582361621444,0.9951666666666666,1.2056820876780248,0.0318900096709438,0.6824132566730485,1.0472474360345398,378.3424559751287,409.93716472324286,25100,250,301,51,32.94542241700037,32.98327975000211
1,0.7,ALNS-CVaR,43001,44001,53001,0.0046153846153846,0.6,0.7,1.481574841841101,394.29999999999984,0.0,1.813811421740724,5.58517966064782,11.729416248767649,21.006771863209067,0.995371794871795,1.5109670262204349,0.0314671528814743,0.679551202145579,1.0466209420535602,397.9276228434813,436.31354372641795,25100,250,258,8,21.983434917001432,22.01988029199856
2,0.0,OR-Tools,143001,144001,0,0.0153846153846153,0.6,0.0,0.6952662379115702,367.2000000000001,0.0,13.524844340116037,15.11434060215188,42.536904113529175,59.84400819783921,0.9718717948717948,7.078769823794872,0.0689904859938598,0.9003489655970821,1.0479667556486418,394.2496886802321,486.8880163956785,0,0,0,0,0.0,0.0
2,0.0,ALNS-Mean,143001,144001,152001,0.0153846153846153,0.6,0.0,0.6952662379115702,370.9,0.0,1.9280709212068197,4.200684419482699,11.249211233251287,17.01365462381502,0.9896153846153848,1.316778111905308,0.0686631258318632,0.8994516551031229,1.0477391531803684,374.7561418424136,404.92730924763,25100,250,304,54,35.95165483299934,35.99835708300088
2,0.0,ALNS-CVaR,143001,144001,153001,0.0153846153846153,0.6,0.0,0.6952662379115702,379.89999999999975,0.0,0.0798089879045419,0.6138178064846683,0.0,1.5961797580908392,0.9995,0.077490048732137,0.069865775807895,0.9029175437646912,1.0485753151047283,380.0596179758088,383.09235951618143,25100,250,279,29,30.37373070800095,30.417412499999045
2,0.35,OR-Tools,143001,144001,0,0.01,0.6,0.35,0.9,367.2000000000001,0.0,15.073197337603927,19.4787554978177,49.95955882529657,77.1905397694363,0.9711923076923076,7.505515350787505,0.0533737938765399,0.8584971417751197,1.0480364144888858,397.3463946752079,521.5810795388727,0,0,0,0,0.0,0.0
2,0.35,ALNS-Mean,143001,144001,152001,0.01,0.6,0.35,0.9,378.49999999999994,0.0,0.7086030757695774,2.4377373157318223,4.386529719241935,8.78799092206349,0.9967564102564102,0.6127327677818398,0.0532575759562124,0.8557933361043465,1.0479318183605912,379.9172061515391,396.07598184412694,25100,250,309,59,36.229609334001,36.27267833299993
2,0.35,ALNS-CVaR,143001,144001,153001,0.01,0.6,0.35,0.9,376.9999999999999,0.0,0.2432982667740994,1.3277937594155145,1.0058539571528229,4.587497174045307,0.999,0.2366377919479548,0.0533532770730402,0.8620621487893714,1.0480179493657362,377.4865965335481,386.1749943480905,25100,250,262,12,25.36033912499988,25.401948375001663
2,0.7,OR-Tools,143001,144001,0,0.0046153846153846,0.6,0.7,1.481574841841101,367.2000000000001,0.0,17.666762129669173,30.322914727981058,65.74431935503821,113.70062224983636,0.970346153846154,8.040968249430392,0.0308762701355119,0.6833007372081117,1.0457455050426645,402.5335242593384,594.6012444996727,0,0,0,0,0.0,0.0
2,0.7,ALNS-Mean,143001,144001,152001,0.0046153846153846,0.6,0.7,1.481574841841101,377.79999999999984,0.0,2.906467279598004,9.03936580775902,15.520076368348327,31.555400849335424,0.9941923076923076,2.171514647308165,0.0313542861715453,0.6907355448705149,1.046453721575648,383.6129345591958,440.9108016986707,25100,250,275,25,26.621388166000543,26.65933670799859
2,0.7,ALNS-CVaR,143001,144001,153001,0.0046153846153846,0.6,0.7,1.481574841841101,375.4999999999999,0.0,1.1551712790655686,3.7082789932783062,7.414197314822161,14.504110810191456,0.9959102564102564,0.9541902615622636,0.0308218806948181,0.6661327835051041,1.0456649230156705,377.810342558131,404.5082216203828,25100,250,281,31,29.76686074999816,29.802844124998956
