run_id,day,replicate,path_index,status,dddas_wall_seconds,recourse_attempts,decision_cap_terminations
D05_R02_P011,5,2,11,completed,21.027655041019898,1,1
D05_R02_P012,5,2,12,completed,39.30112820805516,9,5
D05_R02_P013,5,2,13,completed,0.0008728749817237258,0,0
D05_R02_P014,5,2,14,completed,0.0008681659819558263,0,0
D05_R02_P015,5,2,15,completed,8.620690041047055,4,1
D05_R02_P016,5,2,16,completed,0.0008970000199042261,0,0
D05_R02_P017,5,2,17,completed,25.241364708985202,4,2
D05_R02_P018,5,2,18,completed,75.64694883400807,11,8
D05_R02_P019,5,2,19,completed,32.31287445797352,6,5
D05_R02_P020,5,2,20,completed,14.310255874996074,5,3
D05_R03_P001,5,3,1,completed,4.947891166026238,3,1
D05_R03_P002,5,3,2,completed,6.891788250009995,4,2
D05_R03_P003,5,3,3,completed,6.497899667010643,3,2
D05_R03_P004,5,3,4,completed,22.535081541980617,6,2
D05_R03_P005,5,3,5,completed,5.438653416989837,4,1
D05_R03_P006,5,3,6,completed,13.796066624985542,2,2
D05_R03_P007,5,3,7,completed,1.611808541987557,1,0
D05_R03_P008,5,3,8,completed,12.073861417011358,6,2
D05_R03_P009,5,3,9,completed,2.222629667026922,2,0
D05_R03_P010,5,3,10,completed,0.0007012499845586717,0,0
D05_R03_P011,5,3,11,completed,4.280129834020045,1,0
D05_R03_P012,5,3,12,completed,21.193101792014204,8,5
D05_R03_P013,5,3,13,completed,16.53631537500769,3,1
D05_R03_P014,5,3,14,completed,1.0663469579885714,1,0
D05_R03_P015,5,3,15,completed,9.751544708036818,4,2
D05_R03_P016,5,3,16,completed,0.0008729580440558493,0,0
D05_R03_P017,5,3,17,completed,10.66856441705022,4,1
D05_R03_P018,5,3,18,completed,28.95633562497096,8,3
D05_R03_P019,5,3,19,completed,10.306285458034836,4,0
D05_R03_P020,5,3,20,completed,8.761093416949734,4,2
D07_R01_P001,7,1,1,completed,1.3084544579614885,1,0
D07_R01_P002,7,1,2,completed,14.236383959010709,8,3
D07_R01_P003,7,1,3,completed,1.6360325000132434,1,0
D07_R01_P004,7,1,4,completed,5.3707084999768995,3,0
D07_R01_P005,7,1,5,completed,4.3857122079934925,3,0
D07_R01_P006,7,1,6,completed,5.3204097500420175,2,0
D07_R01_P007,7,1,7,completed,6.898179500014521,4,2
D07_R01_P008,7,1,8,completed,0.000763291958719492,0,0
D07_R01_P009,7,1,9,completed,14.127712125016842,7,2
D07_R01_P010,7,1,10,completed,2.434968708024826,2,0
D07_R01_P011,7,1,11,completed,1.628180166007951,1,0
D07_R01_P012,7,1,12,completed,8.500770792015828,3,1
D07_R01_P013,7,1,13,completed,0.0008167080231942236,0,0
D07_R01_P014,7,1,14,completed,0.0008358329650945961,0,0
D07_R01_P015,7,1,15,completed,8.578133917006198,5,2
D07_R01_P016,7,1,16,completed,10.812951542029623,5,1
D07_R01_P017,7,1,17,completed,0.0006215830217115581,0,0
D07_R01_P018,7,1,18,completed,0.7578368750400841,1,0
D07_R01_P019,7,1,19,completed,4.599674500001129,2,1
D07_R01_P020,7,1,20,completed,6.17298412497621,3,0
D07_R02_P001,7,2,1,completed,3.857559957948979,3,0
D07_R02_P002,7,2,2,completed,12.017851833021268,5,2
D07_R02_P003,7,2,3,completed,3.555442042008508,2,0
D07_R02_P004,7,2,4,completed,12.651331583969295,5,2
D07_R02_P005,7,2,5,completed,8.381977959012147,5,1
