decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,2,10,0,0,385.76247102408763,380.8934834273977,380.8934834273977
2,2,2,10,0,1,380.9763509650523,380.9763509650523,380.8934834273977
3,3,2,10,0,0,385.84533856174227,380.9763509650523,380.8934834273977
4,4,2,8,0,1,381.1956553110232,381.1956553110232,380.8934834273977
5,5,1,9,0,1,380.8934834273977,380.8934834273977,380.8934834273977
6,6,1,9,0,0,398.2879572594117,380.8934834273977,380.8934834273977
7,6,0,7,1,0,,380.8934834273977,380.8934834273977
8,6,0,7,1,0,,380.8934834273977,380.8934834273977
9,7,1,8,0,0,398.2879572594117,380.8934834273977,380.8934834273977
10,8,2,7,0,0,385.76247102408763,380.8934834273977,380.8934834273977
11,9,1,8,0,1,376.547439242994,376.547439242994,376.547439242994
12,10,2,10,0,1,377.001286818452,377.001286818452,376.547439242994
13,11,0,9,0,1,376.547439242994,376.547439242994,376.547439242994
14,12,2,9,0,0,380.8934834273977,376.547439242994,376.547439242994
15,12,0,7,1,0,,376.547439242994,376.547439242994
16,13,2,10,0,1,377.44743924299405,377.44743924299405,376.547439242994
17,14,0,9,0,1,381.8763509650523,381.8763509650523,376.547439242994
18,15,2,10,0,1,382.09565531102317,382.09565531102317,376.547439242994
19,16,0,10,0,1,381.8763509650523,381.8763509650523,376.547439242994
20,17,2,8,0,1,380.9763509650523,380.9763509650523,376.547439242994
21,18,1,8,0,0,398.3708247970663,380.9763509650523,376.547439242994
22,19,2,8,0,1,381.1956553110232,381.1956553110232,376.547439242994
23,20,1,8,0,0,398.3708247970663,381.1956553110232,376.547439242994
24,21,0,10,0,1,380.9763509650523,380.9763509650523,376.547439242994
25,21,0,7,1,0,,380.9763509650523,376.547439242994
26,21,0,10,1,0,,380.9763509650523,376.547439242994
27,22,0,10,0,0,391.5482797366659,380.9763509650523,376.547439242994
28,22,0,8,1,0,,380.9763509650523,376.547439242994
29,23,2,8,0,1,381.1956553110232,381.1956553110232,376.547439242994
30,24,2,10,0,1,387.65924467704144,387.65924467704144,376.547439242994
31,25,1,10,0,0,405.0537185090554,387.65924467704144,376.547439242994
32,26,1,9,0,0,404.7515466254299,387.65924467704144,376.547439242994
33,27,0,10,0,1,383.3149363360995,383.3149363360995,376.547439242994
34,28,2,9,0,1,388.2831098584771,388.2831098584771,376.547439242994
35,29,1,8,0,0,419.7592543770625,388.2831098584771,376.547439242994
36,30,1,10,0,0,450.3346075483292,388.2831098584771,376.547439242994
37,31,2,7,0,1,388.21276713053976,388.21276713053976,376.547439242994
38,32,0,9,0,1,384.9947649187274,384.9947649187274,376.547439242994
39,33,1,9,0,0,400.25147435704866,384.9947649187274,376.547439242994
40,34,2,10,0,1,382.85700052503466,382.85700052503466,376.547439242994
41,35,2,8,0,1,383.75700052503464,383.75700052503464,376.547439242994
42,36,2,7,0,1,383.48222963749953,383.48222963749953,376.547439242994
43,37,1,8,0,0,399.23048398457604,383.48222963749953,376.547439242994
44,38,2,10,0,1,381.83601015256204,381.83601015256204,376.547439242994
45,38,0,9,1,0,,381.83601015256204,376.547439242994
46,38,0,8,1,0,,381.83601015256204,376.547439242994
47,39,0,7,0,1,376.8647368556935,376.8647368556935,376.547439242994
48,40,1,10,0,0,381.2107810400972,376.8647368556935,376.547439242994
49,41,0,9,0,1,377.4899659681583,377.4899659681583,376.547439242994
50,42,1,10,0,0,381.83601015256204,377.4899659681583,376.547439242994
51,43,0,7,0,0,381.83601015256204,377.4899659681583,376.547439242994
52,44,2,10,0,0,384.0277275877281,377.4899659681583,376.547439242994
53,45,0,8,0,0,384.0277275877281,377.4899659681583,376.547439242994
54,46,0,7,0,0,381.2056234930045,377.4899659681583,376.547439242994
55,47,1,10,0,0,399.23048398457604,377.4899659681583,376.547439242994
56,48,1,10,0,0,381.83601015256204,377.4899659681583,376.547439242994
57,49,2,8,0,0,381.83601015256204,377.4899659681583,376.547439242994
58,50,0,8,0,0,381.83601015256204,377.4899659681583,376.547439242994
59,51,1,9,0,0,381.83601015256204,377.4899659681583,376.547439242994
60,52,2,10,0,1,377.5728335058129,377.5728335058129,376.547439242994
61,53,2,8,0,1,377.79213785178376,377.79213785178376,376.547439242994
62,54,0,9,0,1,382.13818203618746,382.13818203618746,376.547439242994
63,55,2,9,0,1,381.83601015256204,381.83601015256204,376.547439242994
64,55,0,8,1,0,,381.83601015256204,376.547439242994
65,55,0,7,1,0,,381.83601015256204,376.547439242994
66,56,1,8,0,1,377.4899659681583,377.4899659681583,376.547439242994
67,57,1,9,0,0,381.83601015256204,377.4899659681583,376.547439242994
68,58,0,7,0,0,397.3035389656874,377.4899659681583,376.547439242994
69,59,1,8,0,1,386.54353131954514,386.54353131954514,376.547439242994
70,60,0,10,0,1,381.184066685518,381.184066685518,376.547439242994
71,61,2,10,0,0,437.9463512219978,381.184066685518,376.547439242994
72,62,0,9,0,1,384.0277275877281,384.0277275877281,376.547439242994
73,63,0,9,0,1,388.3737717721318,388.3737717721318,376.547439242994
74,64,0,9,0,0,398.1292760901215,388.3737717721318,376.547439242994
75,64,0,10,1,0,,388.3737717721318,376.547439242994
76,65,2,9,0,0,392.01515463318714,388.3737717721318,376.547439242994
77,66,2,10,0,1,387.5368757269536,387.5368757269536,376.547439242994
78,67,1,9,0,0,388.3737717721318,387.5368757269536,376.547439242994
79,68,2,10,0,1,384.0277275877281,384.0277275877281,376.547439242994
80,69,0,9,0,1,388.3737717721318,388.3737717721318,376.547439242994
81,70,2,9,0,1,383.82764481722415,383.82764481722415,376.547439242994
82,71,0,10,0,0,388.1565340443069,383.82764481722415,376.547439242994
83,72,0,7,0,1,385.5301108699217,385.5301108699217,376.547439242994
84,73,0,10,0,0,388.3737717721318,385.5301108699217,376.547439242994
85,74,2,8,0,0,388.3737717721318,385.5301108699217,376.547439242994
86,75,1,10,0,0,388.3324813645878,385.5301108699217,376.547439242994
87,76,1,10,0,0,402.9245847019357,385.5301108699217,376.547439242994
88,77,2,9,0,1,381.2107810400972,381.2107810400972,376.547439242994
89,78,0,10,0,0,384.3471596593425,381.2107810400972,376.547439242994
90,78,0,7,1,0,,381.2107810400972,376.547439242994
91,79,2,8,0,1,381.83601015256204,381.83601015256204,376.547439242994
92,80,1,9,0,0,394.88443980017234,381.83601015256204,376.547439242994
93,81,0,8,0,1,377.4899659681583,377.4899659681583,376.547439242994
94,82,0,7,0,0,381.83601015256204,377.4899659681583,376.547439242994
95,83,1,9,0,0,394.88443980017234,377.4899659681583,376.547439242994
96,84,2,10,0,1,377.31858443115146,377.31858443115146,376.547439242994
97,85,0,9,0,0,381.66462861555516,377.31858443115146,376.547439242994
98,86,0,9,0,0,381.2107810400972,377.31858443115146,376.547439242994
99,87,0,10,0,0,381.66462861555516,377.31858443115146,376.547439242994
100,88,1,9,0,0,399.0591024475691,377.31858443115146,376.547439242994
101,89,0,8,0,0,377.94381354361633,377.31858443115146,376.547439242994
102,90,2,10,0,1,377.94381354361633,377.94381354361633,376.547439242994
103,91,2,9,0,1,382.28985772802,382.28985772802,376.547439242994
104,92,2,8,0,1,381.9188776902166,381.9188776902166,376.547439242994
105,93,2,10,0,0,426.40744427215895,381.9188776902166,376.547439242994
106,94,1,8,0,0,399.3133515222306,381.9188776902166,376.547439242994
107,95,2,9,0,1,381.475130286303,381.475130286303,376.547439242994
108,96,0,8,0,1,384.63212227709613,384.63212227709613,376.547439242994
109,97,1,8,0,0,400.25154720816397,384.63212227709613,376.547439242994
110,98,1,10,0,0,437.35617353636763,384.63212227709613,376.547439242994
111,99,2,8,0,0,390.43621416114166,384.63212227709613,376.547439242994
112,100,2,10,0,0,495.44115455301835,384.63212227709613,376.547439242994
113,101,2,10,0,0,390.6482220687706,384.63212227709613,376.547439242994
114,102,2,8,0,1,384.5492547394415,384.5492547394415,376.547439242994
115,103,0,7,0,0,390.2805819415972,384.5492547394415,376.547439242994
116,104,2,8,0,1,384.1956264532497,384.1956264532497,376.547439242994
117,104,0,7,1,0,,384.1956264532497,376.547439242994
118,105,1,9,0,0,433.015782476799,384.1956264532497,376.547439242994
119,106,0,10,0,1,381.03863446245657,381.03863446245657,376.547439242994
120,107,0,9,0,1,381.1266587491976,381.1266587491976,376.547439242994
121,108,1,8,0,0,399.5821671719708,381.1266587491976,376.547439242994
122,109,0,9,0,1,382.00992549568895,382.00992549568895,376.547439242994
123,110,2,10,0,1,382.22865799608724,382.22865799608724,376.547439242994
124,111,1,7,0,0,399.62313182810124,382.22865799608724,376.547439242994
125,112,0,9,0,1,382.3115255337418,382.3115255337418,376.547439242994
126,113,1,8,0,1,382.53082987971266,382.53082987971266,376.547439242994
127,114,1,10,0,0,399.0173644611473,382.53082987971266,376.547439242994
128,115,2,8,0,0,399.9253037117267,382.53082987971266,376.547439242994
129,116,0,8,0,1,382.3115255337418,382.3115255337418,376.547439242994
130,117,1,8,0,0,399.66934261015666,382.3115255337418,376.547439242994
131,118,1,9,0,0,399.7059993657558,382.3115255337418,376.547439242994
132,119,0,10,0,1,377.9654813493381,377.9654813493381,376.547439242994
133,120,1,7,0,0,382.3115255337418,377.9654813493381,376.547439242994
134,121,2,8,0,1,378.41385394132266,378.41385394132266,376.547439242994
135,122,2,7,0,1,378.63315828729355,378.63315828729355,376.547439242994
136,123,2,8,0,1,378.3309864036681,378.3309864036681,376.547439242994
137,124,2,10,0,1,377.4899659681583,377.4899659681583,376.547439242994
138,125,2,8,0,0,381.83601015256204,377.4899659681583,376.547439242994
139,126,2,7,0,1,381.83601015256204,381.83601015256204,376.547439242994
140,127,0,10,0,0,391.32822219125154,381.83601015256204,376.547439242994
141,128,1,8,0,0,399.23048398457604,381.83601015256204,376.547439242994
142,129,1,10,0,0,399.23048398457604,381.83601015256204,376.547439242994
143,129,1,7,1,0,,381.83601015256204,376.547439242994
144,130,0,9,0,0,383.3735015355787,381.83601015256204,376.547439242994
145,131,0,10,0,1,383.3735015355787,383.3735015355787,376.547439242994
146,132,1,8,0,0,400.40723828448796,383.3735015355787,376.547439242994
147,133,0,10,0,0,406.8438621040404,383.3735015355787,376.547439242994
148,134,0,8,0,1,383.012764452474,383.012764452474,376.547439242994
149,135,0,8,0,0,387.7281516129954,383.012764452474,376.547439242994
150,136,1,9,0,1,384.01315153476327,384.01315153476327,376.547439242994
151,137,1,10,0,1,381.2107810400972,381.2107810400972,376.547439242994
152,138,1,9,0,1,376.8647368556935,376.8647368556935,376.547439242994
153,139,2,10,0,1,385.9261682006186,385.9261682006186,376.547439242994
154,140,1,7,0,0,407.3059377526015,385.9261682006186,376.547439242994
155,141,2,10,0,1,386.5513973130834,386.5513973130834,376.547439242994
156,142,2,9,0,0,405.52304249784805,386.5513973130834,376.547439242994
157,143,1,9,0,0,397.4855532699563,386.5513973130834,376.547439242994
158,144,2,10,0,1,386.63426485073796,386.63426485073796,376.547439242994
159,144,2,9,1,0,,386.63426485073796,376.547439242994
160,145,0,9,0,1,386.5513973130834,386.5513973130834,376.547439242994
161,146,0,9,0,0,425.3378615739435,386.5513973130834,376.547439242994
162,147,2,9,0,1,386.52616820061854,386.52616820061854,376.547439242994
163,148,1,9,0,1,386.5513973130834,386.5513973130834,376.547439242994
164,149,0,8,0,0,388.0888886961001,386.5513973130834,376.547439242994
165,149,0,8,1,0,,386.5513973130834,376.547439242994
166,150,0,7,0,0,392.2893943629513,386.5513973130834,376.547439242994
167,151,0,8,0,1,379.21597718892957,379.21597718892957,376.547439242994
168,152,0,10,0,1,379.29884472658415,379.29884472658415,376.547439242994
169,153,1,10,0,0,397.7451490460227,379.29884472658415,376.547439242994
170,154,1,8,0,0,387.8018803563911,379.29884472658415,376.547439242994
171,155,1,9,0,0,399.0105380234797,379.29884472658415,376.547439242994
172,156,0,7,0,1,381.77026788447836,381.77026788447836,376.547439242994
173,157,2,8,0,0,387.8018803563911,381.77026788447836,376.547439242994
174,158,1,8,0,1,379.518149072555,379.518149072555,376.547439242994
175,159,1,10,0,0,410.8033150059392,379.518149072555,376.547439242994
176,160,1,7,0,0,390.8235551970281,379.518149072555,376.547439242994
177,161,2,9,0,0,383.4446099440806,379.518149072555,376.547439242994
178,162,1,8,0,0,387.71901281873653,379.518149072555,376.547439242994
179,163,0,8,0,0,387.8018803563911,379.518149072555,376.547439242994
180,164,1,8,0,0,389.0770583931524,379.518149072555,376.547439242994
181,165,1,10,0,0,387.3959555898971,379.518149072555,376.547439242994
182,166,1,9,0,0,388.021184702362,379.518149072555,376.547439242994
183,167,0,9,0,1,379.29884472658415,379.29884472658415,376.547439242994
184,167,0,7,1,0,,379.29884472658415,376.547439242994
185,168,0,9,0,0,400.1166814525885,379.29884472658415,376.547439242994
186,169,0,8,0,1,378.6736156141192,378.6736156141192,376.547439242994
187,170,2,8,0,0,389.43286020999113,378.6736156141192,376.547439242994
188,171,0,9,0,0,387.17665124392624,378.6736156141192,376.547439242994
189,172,2,8,0,0,388.33716151570366,378.6736156141192,376.547439242994
190,173,0,10,0,0,389.1766512439263,378.6736156141192,376.547439242994
191,174,0,9,0,0,393.89325516778456,378.6736156141192,376.547439242994
192,175,2,8,0,0,383.7567500096874,378.6736156141192,376.547439242994
193,176,0,9,0,1,378.59074807646465,378.59074807646465,376.547439242994
194,177,2,8,0,0,385.9261682006186,378.59074807646465,376.547439242994
195,177,0,7,1,0,,378.59074807646465,376.547439242994
196,178,2,10,0,0,420.0937821023666,378.59074807646465,376.547439242994
197,179,1,7,0,0,387.0937837062716,378.59074807646465,376.547439242994
198,180,0,10,0,0,379.04459565192263,378.59074807646465,376.547439242994
199,181,1,8,0,0,387.0937837062716,378.59074807646465,376.547439242994
200,182,1,9,0,0,397.03705239590323,378.59074807646465,376.547439242994
201,183,0,7,0,0,387.0937837062716,378.59074807646465,376.547439242994
202,184,2,9,0,0,415.13381811896375,378.59074807646465,376.547439242994
203,185,1,8,0,0,387.0937837062716,378.59074807646465,376.547439242994
204,186,0,9,0,0,397.03705239590323,378.59074807646465,376.547439242994
205,187,1,9,0,0,387.0937837062716,378.59074807646465,376.547439242994
206,188,2,8,0,0,386.5326095951507,378.59074807646465,376.547439242994
207,189,1,9,0,0,387.0937837062716,378.59074807646465,376.547439242994
208,190,1,9,0,0,387.0937837062716,378.59074807646465,376.547439242994
209,191,1,8,0,0,387.0937837062716,378.59074807646465,376.547439242994
210,192,1,9,0,0,387.0937837062716,378.59074807646465,376.547439242994
211,193,1,9,0,0,399.408584802469,378.59074807646465,376.547439242994
212,194,2,10,0,0,385.9261682006186,378.59074807646465,376.547439242994
213,195,2,9,0,0,379.21597718892957,378.59074807646465,376.547439242994
214,196,2,10,0,0,383.37561760435756,378.59074807646465,376.547439242994
215,197,2,9,0,0,380.92512053477486,378.59074807646465,376.547439242994
216,198,0,8,0,1,378.6736156141192,378.6736156141192,376.547439242994
217,199,0,9,0,0,387.17665124392624,378.6736156141192,376.547439242994
218,200,2,9,0,1,378.8929199600901,378.8929199600901,376.547439242994
219,201,2,10,0,0,382.04991195088326,378.8929199600901,376.547439242994
220,202,2,9,0,1,378.59074807646465,378.59074807646465,376.547439242994
221,203,1,10,0,0,387.0937837062716,378.59074807646465,376.547439242994
222,204,2,9,0,0,387.17665124392624,378.59074807646465,376.547439242994
223,205,0,8,0,0,416.8856358714016,378.59074807646465,376.547439242994
224,206,0,10,0,1,378.6736156141192,378.6736156141192,376.547439242994
225,207,1,8,0,0,387.17665124392624,378.6736156141192,376.547439242994
226,208,2,7,0,0,381.00798807242944,378.6736156141192,376.547439242994
227,209,1,8,0,0,413.86960729352876,378.6736156141192,376.547439242994
228,210,1,9,0,0,399.0105380234797,378.6736156141192,376.547439242994
229,211,2,8,0,0,387.17665124392624,378.6736156141192,376.547439242994
230,212,0,9,0,1,378.8929199600901,378.8929199600901,376.547439242994
231,213,0,10,0,1,378.59074807646465,378.59074807646465,376.547439242994
232,214,2,8,0,0,453.88001007071534,378.59074807646465,376.547439242994
233,215,0,8,0,0,389.28913388407557,378.59074807646465,376.547439242994
234,216,1,8,0,0,393.8103876301299,378.59074807646465,376.547439242994
235,217,2,10,0,0,380.7314516874428,378.59074807646465,376.547439242994
236,218,0,7,0,0,399.408584802469,378.59074807646465,376.547439242994
237,219,0,10,0,0,387.0937837062716,378.59074807646465,376.547439242994
238,220,2,8,0,0,399.4430047227104,378.59074807646465,376.547439242994
239,221,0,10,0,0,393.8103876301299,378.59074807646465,376.547439242994
240,222,0,8,0,0,379.21597718892957,378.59074807646465,376.547439242994
241,223,0,10,0,0,387.0937837062716,378.59074807646465,376.547439242994
242,224,1,9,0,0,387.0937837062716,378.59074807646465,376.547439242994
243,225,1,8,0,0,387.0937837062716,378.59074807646465,376.547439242994
244,226,1,9,0,0,413.7867397558741,378.59074807646465,376.547439242994
245,227,1,8,0,1,378.7907480764647,378.7907480764647,376.547439242994
246,228,2,10,0,0,410.8969888631964,378.7907480764647,376.547439242994
247,229,0,8,0,0,387.0937837062716,378.7907480764647,376.547439242994
248,230,2,9,0,0,385.93585726420935,378.7907480764647,376.547439242994
249,231,2,8,0,1,378.59074807646465,378.59074807646465,376.547439242994
250,231,0,7,1,0,,378.59074807646465,376.547439242994
251,232,2,9,0,0,387.0937837062716,378.59074807646465,376.547439242994
252,233,0,9,0,0,387.0937837062716,378.59074807646465,376.547439242994
253,234,2,10,0,1,379.21597718892957,379.21597718892957,376.547439242994
254,235,0,8,0,1,378.585590529372,378.585590529372,376.547439242994
255,235,2,9,1,0,,378.585590529372,376.547439242994
256,236,0,10,0,0,397.0318948488105,378.585590529372,376.547439242994
257,237,1,9,0,1,378.27345046376524,378.27345046376524,376.547439242994
258,238,1,8,0,0,399.0912871897696,378.27345046376524,376.547439242994
259,239,1,7,0,0,386.7764860935722,378.27345046376524,376.547439242994
260,240,1,7,0,0,386.7764860935722,378.27345046376524,376.547439242994
261,241,1,7,0,0,386.7764860935722,378.27345046376524,376.547439242994
262,242,1,9,0,0,386.7764860935722,378.27345046376524,376.547439242994
