decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
1,1,0,11,0,0,432.50132386701443,392.6738302055075,392.6738302055075,1.0,1.0,1.0
2,1,0,12,1,0,,392.6738302055075,392.6738302055075,,,
3,2,0,12,0,1,393.48534660072585,393.48534660072585,392.6738302055075,1.0,1.0,1.0
4,3,2,12,0,1,395.8189866769336,395.8189866769336,392.6738302055075,1.0,1.0,1.0
5,3,2,10,1,0,,395.8189866769336,392.6738302055075,,,
6,4,1,11,0,1,385.6268839525069,385.6268839525069,385.6268839525069,1.0,1.0,1.0
7,4,1,8,1,0,,385.6268839525069,385.6268839525069,,,
8,5,2,12,0,0,394.1268839525069,385.6268839525069,385.6268839525069,1.0,1.0,1.0
9,6,2,12,0,1,385.58362434207504,385.58362434207504,385.58362434207504,1.0,1.0,1.0
10,7,2,12,0,0,393.48534660072585,385.58362434207504,385.58362434207504,1.0,1.0,1.0
11,8,2,12,0,1,390.6144095935701,390.6144095935701,385.58362434207504,1.0,1.0,1.0
12,9,0,11,0,1,389.7508868024675,389.7508868024675,385.58362434207504,1.0,1.0,1.0
13,10,1,11,0,0,398.7081072121486,389.7508868024675,385.58362434207504,1.0,1.0,1.0
14,11,1,9,0,0,398.7081072121486,389.7508868024675,385.58362434207504,1.0,1.0,1.0
15,12,0,9,0,0,398.7081072121486,389.7508868024675,385.58362434207504,1.0,1.0,1.0
16,13,0,9,0,0,394.6926649830562,389.7508868024675,385.58362434207504,1.0,1.0,1.0
17,14,0,10,0,0,398.7081072121486,389.7508868024675,385.58362434207504,1.0,1.0,1.0
18,15,0,10,0,0,398.7081072121486,389.7508868024675,385.58362434207504,1.0,1.0,1.0
19,16,1,9,0,0,398.7081072121486,389.7508868024675,385.58362434207504,1.0,1.0,1.0
20,17,1,11,0,0,398.7081072121486,389.7508868024675,385.58362434207504,1.0,1.0,1.0
21,18,2,11,0,1,392.7224403791556,392.7224403791556,385.58362434207504,1.0,1.0,1.0
22,19,0,11,0,0,400.62416263780636,392.7224403791556,385.58362434207504,1.0,1.0,1.0
23,20,1,10,0,0,400.62416263780636,392.7224403791556,385.58362434207504,1.0,1.0,1.0
24,21,0,8,0,0,400.62416263780636,392.7224403791556,385.58362434207504,1.0,1.0,1.0
25,22,1,9,0,0,400.62416263780636,392.7224403791556,385.58362434207504,1.0,1.0,1.0
26,23,2,11,0,1,385.58362434207504,385.58362434207504,385.58362434207504,0.9,1.0,1.1142857142857143
27,24,0,11,0,0,399.0344418572671,385.58362434207504,385.58362434207504,0.9,1.0,1.1142857142857143
28,25,0,11,0,0,393.48534660072585,385.58362434207504,385.58362434207504,0.9,1.0,1.1142857142857143
29,26,0,11,0,0,427.75523665065936,385.58362434207504,385.58362434207504,0.9,1.0,1.1142857142857143
30,27,2,11,0,1,384.77210794685675,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
31,28,1,11,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
32,29,0,10,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
33,30,1,11,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
34,31,2,10,0,0,404.3061341864817,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
35,32,1,11,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
36,33,1,9,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
37,34,0,9,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
38,34,0,12,1,0,,384.77210794685675,384.77210794685675,,,
39,35,2,11,0,0,394.92527697632806,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
40,36,2,11,0,0,410.13956498278964,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
41,37,2,10,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
42,38,1,10,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
43,39,2,12,0,0,406.4788441996677,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
44,40,2,9,0,0,393.3738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
45,41,2,11,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
46,42,2,11,0,1,385.5721079468567,385.5721079468567,384.77210794685675,0.9,1.0,1.1142857142857143
47,43,1,10,0,0,393.47383020550745,385.5721079468567,384.77210794685675,0.9,1.0,1.1142857142857143
48,44,2,9,0,0,393.47383020550745,385.5721079468567,384.77210794685675,0.9,1.0,1.1142857142857143
49,45,0,11,0,1,384.77210794685675,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
50,46,1,11,0,0,392.6738302055075,384.77210794685675,384.77210794685675,0.9,1.0,1.1142857142857143
51,47,0,10,0,1,385.5721079468567,385.5721079468567,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
52,48,1,12,0,0,393.47383020550745,385.5721079468567,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
53,49,1,9,0,1,393.47383020550745,393.47383020550745,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
54,50,0,11,0,0,413.00785644513246,393.47383020550745,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
55,51,2,11,0,1,392.6738302055075,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
56,52,0,12,0,0,408.24044390009203,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
57,52,1,12,1,0,,392.6738302055075,384.77210794685675,,,
58,53,2,11,0,0,412.2078564451325,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
59,53,1,10,1,0,,392.6738302055075,384.77210794685675,,,
60,53,0,9,1,0,,392.6738302055075,384.77210794685675,,,
61,54,1,10,0,0,412.2078564451325,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
62,55,0,9,0,0,412.2078564451325,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
63,55,0,10,1,0,,392.6738302055075,384.77210794685675,,,
64,56,0,9,0,0,419.1696914685835,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
65,57,1,11,0,0,412.2078564451325,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
66,57,0,11,1,0,,392.6738302055075,384.77210794685675,,,
67,58,1,12,0,0,412.2078564451325,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
68,58,1,10,1,0,,392.6738302055075,384.77210794685675,,,
69,59,1,11,0,0,394.0738302055075,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
70,60,2,10,0,0,398.8425691280154,392.6738302055075,384.77210794685675,0.8342857142857144,0.8000002,1.1277922077922078
71,60,0,9,1,0,,392.6738302055075,384.77210794685675,,,
72,60,1,10,1,0,,392.6738302055075,384.77210794685675,,,
