method,reference,mean_delta_tardiness,median_delta_tardiness,fraction_lower,fraction_equal
ALNS-CVaR,OR-Tools,-11.256287456224939,-7.522273098263611,0.803,0.144
ALNS-Mean,OR-Tools,-11.178819923011826,-6.887399099884334,0.791,0.204
ALNS-Nominal,OR-Tools,8.626716644785054,9.016688557340217,0.258,0.003
Uniform-CVaR-FFseed,OR-Tools,-13.181926510261539,-8.377811334421295,0.835,0.162
Uniform-Mean-FFseed,OR-Tools,-10.742155636519758,-6.528320531150285,0.782,0.216
Uniform-CVaR-GRUseed,OR-Tools,-13.323304187589263,-8.420628683367099,0.835,0.162
Uniform-Mean-GRUseed,OR-Tools,-12.8302823118384,-8.091497898352117,0.816,0.139
ALNS-Mean,ALNS-CVaR,0.07746753321311323,0.0,0.298,0.466
ALNS-Nominal,ALNS-CVaR,19.88300410100999,17.688777045290436,0.028,0.004
OR-Tools,ALNS-CVaR,11.256287456224939,7.522273098263611,0.053,0.144
Uniform-CVaR-FFseed,ALNS-CVaR,-1.9256390540366017,0.0,0.359,0.628
Uniform-Mean-FFseed,ALNS-CVaR,0.5141318197051803,0.0,0.286,0.484
Uniform-CVaR-GRUseed,ALNS-CVaR,-2.0670167313643244,0.0,0.361,0.631
Uniform-Mean-GRUseed,ALNS-CVaR,-1.5739948556134609,0.0,0.339,0.512
ALNS-CVaR,ALNS-Mean,-0.07746753321311323,0.0,0.236,0.466
ALNS-Nominal,ALNS-Mean,19.80553656779688,17.928052351604265,0.001,0.007
OR-Tools,ALNS-Mean,11.178819923011826,6.887399099884334,0.005,0.204
Uniform-CVaR-FFseed,ALNS-Mean,-2.003106587249715,0.0,0.293,0.668
Uniform-Mean-FFseed,ALNS-Mean,0.436664286492067,0.0,0.019,0.884
Uniform-CVaR-GRUseed,ALNS-Mean,-2.1444842645774376,0.0,0.295,0.669
Uniform-Mean-GRUseed,ALNS-Mean,-1.6514623888265743,0.0,0.283,0.527
