decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
1,1,1,10,0,1,407.29571164507263,407.29571164507263,407.29571164507263
2,2,0,10,0,0,425.81379636430137,407.29571164507263,407.29571164507263
3,3,0,10,0,0,431.8142936112628,407.29571164507263,407.29571164507263
4,4,0,9,0,1,407.29571164507263,407.29571164507263,407.29571164507263
5,5,0,9,0,1,409.70018692865114,409.70018692865114,407.29571164507263
6,6,1,8,0,0,476.52795186383094,409.70018692865114,407.29571164507263
7,7,1,9,0,1,404.4015542030272,404.4015542030272,404.4015542030272
8,8,1,10,0,1,409.70018692865114,409.70018692865114,404.4015542030272
9,9,2,7,0,1,409.70018692865114,409.70018692865114,404.4015542030272
10,10,2,9,0,1,408.76221865458695,408.76221865458695,404.4015542030272
11,11,1,9,0,1,408.76221865458695,408.76221865458695,404.4015542030272
12,11,1,8,1,0,,408.76221865458695,404.4015542030272
13,12,2,8,0,1,409.6622186545869,409.6622186545869,404.4015542030272
14,13,0,9,0,0,454.0945220478044,409.6622186545869,404.4015542030272
15,14,0,8,0,1,409.3091197169727,409.3091197169727,404.4015542030272
16,15,2,10,0,0,431.1131820785142,409.3091197169727,404.4015542030272
17,16,0,9,0,1,409.1622186545869,409.1622186545869,404.4015542030272
18,17,0,10,0,1,409.0622186545869,409.0622186545869,404.4015542030272
19,18,2,8,0,0,415.24218581862533,409.0622186545869,404.4015542030272
20,19,1,8,0,1,403.55605561290093,403.55605561290093,403.55605561290093
21,20,2,9,0,0,419.9058396972001,403.55605561290093,403.55605561290093
22,21,0,8,0,1,401.0567037856084,401.0567037856084,401.0567037856084
23,22,2,7,0,0,417.80165611809286,401.0567037856084,401.0567037856084
24,23,0,7,0,1,399.05222850203,399.05222850203,399.05222850203
25,24,0,8,0,0,434.1622404031806,399.05222850203,399.05222850203
26,25,0,8,0,1,404.9158707787225,404.9158707787225,399.05222850203
27,26,2,8,0,0,421.49607134759657,404.9158707787225,399.05222850203
28,27,2,9,0,0,408.06444936481086,404.9158707787225,399.05222850203
29,28,2,10,0,1,403.01685013485593,403.01685013485593,399.05222850203
30,29,0,8,0,0,444.478977266728,403.01685013485593,399.05222850203
31,30,2,7,0,1,404.7755596306998,404.7755596306998,399.05222850203
32,31,1,9,0,0,410.7355118879739,404.7755596306998,399.05222850203
33,32,0,9,0,1,404.7755596306998,404.7755596306998,399.05222850203
34,33,2,8,0,0,407.4298493078408,404.7755596306998,399.05222850203
35,34,2,9,0,1,404.87555963069974,404.87555963069974,399.05222850203
36,34,0,9,1,0,,404.87555963069974,399.05222850203
37,35,1,9,0,1,404.7755596306998,404.7755596306998,399.05222850203
38,36,0,10,0,0,423.17555963069975,404.7755596306998,399.05222850203
39,37,0,7,0,1,403.01685013485593,403.01685013485593,399.05222850203
40,38,1,9,0,0,410.7355118879739,403.01685013485593,399.05222850203
41,39,2,7,0,1,411.6515803293226,411.6515803293226,399.05222850203
42,40,0,8,0,1,409.1522285020301,409.1522285020301,399.05222850203
43,41,0,7,0,1,409.0991295644158,409.0991295644158,399.05222850203
44,42,2,9,0,0,426.85222850203,409.0991295644158,399.05222850203
45,43,1,10,0,1,409.0991295644158,409.0991295644158,399.05222850203
46,44,1,7,0,0,412.42763212575943,409.0991295644158,399.05222850203
47,45,0,8,0,0,429.88563383759237,409.0991295644158,399.05222850203
48,46,2,9,0,1,411.5174237882724,411.5174237882724,399.05222850203
49,47,1,8,0,1,411.5174237882724,411.5174237882724,399.05222850203
50,48,0,8,0,0,488.1720156639088,411.5174237882724,399.05222850203
51,49,0,10,0,0,437.96145176361534,411.5174237882724,399.05222850203
52,50,1,8,0,0,419.93283935240424,411.5174237882724,399.05222850203
53,51,0,8,0,1,411.5174237882724,411.5174237882724,399.05222850203
54,52,0,9,0,1,412.6221621898241,412.6221621898241,399.05222850203
55,53,0,9,0,0,422.42216218982406,412.6221621898241,399.05222850203
56,54,1,7,0,1,411.5174237882724,411.5174237882724,399.05222850203
57,55,2,9,0,0,462.7678586781505,411.5174237882724,399.05222850203
58,56,0,10,0,0,412.0174237882724,411.5174237882724,399.05222850203
59,57,2,8,0,1,408.35222850203,408.35222850203,399.05222850203
60,58,1,8,0,0,462.7678586781505,408.35222850203,399.05222850203
61,59,2,8,0,1,409.25222850203005,409.25222850203005,399.05222850203
62,60,1,8,0,1,413.9103867392104,413.9103867392104,399.05222850203
63,61,2,8,0,0,416.7715622516629,413.9103867392104,399.05222850203
64,62,1,8,0,1,409.25222850203005,409.25222850203005,399.05222850203
65,63,2,9,0,1,409.25222850203005,409.25222850203005,399.05222850203
66,64,2,8,0,1,409.15222850203,409.15222850203,399.05222850203
67,65,1,8,0,1,409.15222850203,409.15222850203,399.05222850203
68,66,2,8,0,0,432.9334105054913,409.15222850203,399.05222850203
69,67,0,8,0,1,412.31742378827244,412.31742378827244,399.05222850203
70,68,1,10,0,1,422.1174237882724,422.1174237882724,399.05222850203
71,69,1,9,0,1,420.5174237882724,420.5174237882724,399.05222850203
72,70,1,9,0,1,419.3174237882723,419.3174237882723,399.05222850203
73,71,2,9,0,1,418.9174237882724,418.9174237882724,399.05222850203
74,72,2,7,0,0,423.7565637388926,418.9174237882724,399.05222850203
75,73,0,9,0,1,418.8174237882725,418.8174237882725,399.05222850203
76,74,1,10,0,1,418.1626426635907,418.1626426635907,399.05222850203
77,75,2,8,0,1,417.53566914195534,417.53566914195534,399.05222850203
78,76,2,8,0,1,415.85788915083054,415.85788915083054,399.05222850203
79,77,2,8,0,0,418.5195085243606,415.85788915083054,399.05222850203
80,78,0,9,0,0,427.53708047671745,415.85788915083054,399.05222850203
81,79,2,8,0,1,418.6701748010701,418.6701748010701,399.05222850203
82,80,0,8,0,0,426.48787576090166,418.6701748010701,399.05222850203
83,81,1,9,0,1,417.63566914195536,417.63566914195536,399.05222850203
84,82,1,8,0,1,415.95788915083057,415.95788915083057,399.05222850203
85,83,1,10,0,1,415.95788915083057,415.95788915083057,399.05222850203
86,84,1,8,0,1,415.65788915083056,415.65788915083056,399.05222850203
87,84,1,8,1,0,,415.65788915083056,399.05222850203
88,85,2,9,0,1,416.829768936895,416.829768936895,399.05222850203
89,86,1,10,0,1,417.329768936895,417.329768936895,399.05222850203
90,87,2,8,0,0,418.9773797791298,417.329768936895,399.05222850203
91,88,1,9,0,0,442.6723310673107,417.329768936895,399.05222850203
92,89,0,9,0,1,419.129768936895,419.129768936895,399.05222850203
93,90,2,9,0,0,422.9536284924084,419.129768936895,399.05222850203
94,91,2,8,0,0,433.16211081279585,419.129768936895,399.05222850203
95,92,0,9,0,1,417.129768936895,417.129768936895,399.05222850203
96,92,2,8,1,0,,417.129768936895,399.05222850203
97,92,1,7,1,0,,417.129768936895,399.05222850203
98,93,0,10,0,0,420.62976893689495,417.129768936895,399.05222850203
99,94,1,10,0,0,418.892405827059,417.129768936895,399.05222850203
100,94,0,7,1,0,,417.129768936895,399.05222850203
101,95,1,7,0,1,417.12976893689506,417.12976893689506,399.05222850203
102,96,1,9,0,1,417.129768936895,417.129768936895,399.05222850203
103,97,1,10,0,0,430.8736384243668,417.129768936895,399.05222850203
104,98,2,9,0,0,444.1321956660684,417.129768936895,399.05222850203
105,99,1,10,0,1,417.12976893689506,417.12976893689506,399.05222850203
106,100,0,9,0,1,417.129768936895,417.129768936895,399.05222850203
107,101,2,9,0,0,420.9536284924084,417.129768936895,399.05222850203
108,102,2,10,0,1,417.02976893689504,417.02976893689504,399.05222850203
109,103,1,10,0,1,417.12976893689506,417.12976893689506,399.05222850203
110,104,2,8,0,1,421.46457072453563,421.46457072453563,399.05222850203
111,105,0,8,0,1,421.4645707245356,421.4645707245356,399.05222850203
112,106,1,9,0,1,420.36457072453555,420.36457072453555,399.05222850203
113,107,0,10,0,1,420.9645707245356,420.9645707245356,399.05222850203
114,107,2,8,1,0,,420.9645707245356,399.05222850203
115,108,1,9,0,1,420.36457072453555,420.36457072453555,399.05222850203
116,109,1,9,0,1,420.9536284924084,420.9536284924084,399.05222850203
117,109,0,10,1,0,,420.9536284924084,399.05222850203
118,109,0,8,1,0,,420.9536284924084,399.05222850203
119,110,1,10,0,0,422.71626538257243,420.9536284924084,399.05222850203
120,111,0,8,0,0,422.25362849240844,420.9536284924084,399.05222850203
121,112,2,9,0,1,425.3396135612228,425.3396135612228,399.05222850203
122,112,2,10,1,0,,425.3396135612228,399.05222850203
123,113,2,11,0,0,429.8405754851541,425.3396135612228,399.05222850203
124,114,1,9,0,1,425.3396135612228,425.3396135612228,399.05222850203
125,115,2,10,0,1,424.6656201097585,424.6656201097585,399.05222850203
126,116,2,8,0,0,452.00998202983345,424.6656201097585,399.05222850203
127,117,1,8,0,1,424.56562010975847,424.56562010975847,399.05222850203
128,118,1,8,0,0,425.2979446615458,424.56562010975847,399.05222850203
129,119,1,9,0,1,424.3656201097585,424.3656201097585,399.05222850203
130,120,0,9,0,1,425.09794466154585,425.09794466154585,399.05222850203
131,121,1,9,0,1,425.1979446615459,425.1979446615459,399.05222850203
132,122,0,10,0,0,474.44248028041875,425.1979446615459,399.05222850203
133,123,1,8,0,1,425.09794466154585,425.09794466154585,399.05222850203
134,123,1,9,1,0,,425.09794466154585,399.05222850203
135,124,2,8,0,0,426.7979446615458,425.09794466154585,399.05222850203
136,125,1,7,0,0,425.1979446615459,425.09794466154585,399.05222850203
137,126,0,7,0,1,424.3468938852103,424.3468938852103,399.05222850203
138,127,0,10,0,1,424.44689388521033,424.44689388521033,399.05222850203
139,128,1,8,0,0,440.56674759008087,424.44689388521033,399.05222850203
140,129,1,10,0,0,430.3667554477781,424.44689388521033,399.05222850203
141,130,0,9,0,0,428.8148403327605,424.44689388521033,399.05222850203
142,130,0,8,1,0,,424.44689388521033,399.05222850203
143,131,1,7,0,1,424.4468938852104,424.4468938852104,399.05222850203
144,132,2,9,0,0,444.40692373597585,424.4468938852104,399.05222850203
145,133,2,11,0,1,424.25055579334986,424.25055579334986,399.05222850203
146,134,0,8,0,1,423.65055579334984,423.65055579334984,399.05222850203
147,135,2,9,0,0,426.6505557933498,423.65055579334984,399.05222850203
148,136,1,11,0,1,424.0505557933499,424.0505557933499,399.05222850203
149,137,0,7,0,1,421.4057602547063,421.4057602547063,399.05222850203
150,138,0,9,0,0,425.7216109577172,421.4057602547063,399.05222850203
151,139,2,9,0,0,423.3913581682489,421.4057602547063,399.05222850203
152,140,0,9,0,1,421.0057602547064,421.0057602547064,399.05222850203
153,140,1,8,1,0,,421.0057602547064,399.05222850203
154,140,0,9,1,0,,421.0057602547064,399.05222850203
155,141,2,8,0,0,431.0057602547064,421.0057602547064,399.05222850203
156,142,2,8,0,1,421.50576025470633,421.50576025470633,399.05222850203
157,143,0,9,0,1,424.8828803451372,424.8828803451372,399.05222850203
158,143,0,8,1,0,,424.8828803451372,399.05222850203
159,144,2,10,0,0,433.32095457688945,424.8828803451372,399.05222850203
160,145,2,8,0,1,423.7747895556563,423.7747895556563,399.05222850203
161,146,1,10,0,1,424.1747895556562,424.1747895556562,399.05222850203
162,147,0,7,0,1,424.1747895556562,424.1747895556562,399.05222850203
163,148,2,8,0,0,432.37373426835484,424.1747895556562,399.05222850203
164,149,1,8,0,1,424.1747895556562,424.1747895556562,399.05222850203
165,150,2,9,0,0,428.8139905811975,424.1747895556562,399.05222850203
166,150,1,10,1,0,,424.1747895556562,399.05222850203
167,151,1,10,0,1,424.1747895556562,424.1747895556562,399.05222850203
168,152,1,10,0,0,427.84370496587957,424.1747895556562,399.05222850203
169,153,1,8,0,0,443.6420351833164,424.1747895556562,399.05222850203
170,154,1,7,0,0,433.49018761066736,424.1747895556562,399.05222850203
171,154,0,7,1,0,,424.1747895556562,399.05222850203
172,155,1,7,0,1,424.20339366125904,424.20339366125904,399.05222850203
173,156,1,8,0,1,420.4647450202573,420.4647450202573,399.05222850203
174,157,1,8,0,0,435.59284041992544,420.4647450202573,399.05222850203
175,158,0,8,0,1,420.4647450202572,420.4647450202572,399.05222850203
176,159,2,10,0,1,420.4647450202573,420.4647450202573,399.05222850203
177,160,1,9,0,1,420.9647450202573,420.9647450202573,399.05222850203
178,161,1,10,0,0,430.28014307526837,420.9647450202573,399.05222850203
179,162,2,10,0,0,422.3752105926107,420.9647450202573,399.05222850203
180,163,0,10,0,0,425.6039460457986,420.9647450202573,399.05222850203
181,164,0,8,0,1,420.4647450202573,420.4647450202573,399.05222850203
182,164,1,8,1,0,,420.4647450202573,399.05222850203
183,165,2,8,0,1,420.4647450202573,420.4647450202573,399.05222850203
184,166,1,9,0,1,420.4647450202573,420.4647450202573,399.05222850203
185,167,0,7,0,1,420.36474502025726,420.36474502025726,399.05222850203
186,168,0,7,0,0,430.01853945327537,420.36474502025726,399.05222850203
187,169,1,8,0,1,420.4647450202573,420.4647450202573,399.05222850203
188,169,1,8,1,0,,420.4647450202573,399.05222850203
189,170,2,9,0,1,420.5647450202573,420.5647450202573,399.05222850203
190,171,2,9,0,1,421.16474502025727,421.16474502025727,399.05222850203
191,172,0,8,0,0,425.80394604579857,421.16474502025727,399.05222850203
192,173,1,8,0,0,436.9995617664564,421.16474502025727,399.05222850203
193,174,2,9,0,1,420.5647450202573,420.5647450202573,399.05222850203
194,174,1,10,1,0,,420.5647450202573,399.05222850203
195,175,0,9,0,1,420.4647450202573,420.4647450202573,399.05222850203
196,176,0,9,0,0,429.78014307526837,420.4647450202573,399.05222850203
197,176,1,8,1,0,,420.4647450202573,399.05222850203
198,177,0,9,0,0,428.76474502025735,420.4647450202573,399.05222850203
199,178,2,7,0,1,420.36474502025726,420.36474502025726,399.05222850203
200,178,1,8,1,0,,420.36474502025726,399.05222850203
201,179,2,10,0,0,450.9049073302988,420.36474502025726,399.05222850203
202,179,0,9,1,0,,420.36474502025726,399.05222850203
203,179,0,10,1,0,,420.36474502025726,399.05222850203
204,179,2,9,1,0,,420.36474502025726,399.05222850203
205,180,1,10,0,0,430.01853945327537,420.36474502025726,399.05222850203
206,180,0,7,1,0,,420.36474502025726,399.05222850203
207,181,1,10,0,1,416.9673118355086,416.9673118355086,399.05222850203
208,181,1,10,1,0,,416.9673118355086,399.05222850203
209,181,1,8,1,0,,416.9673118355086,399.05222850203
210,182,2,10,0,0,420.2087793987271,416.9673118355086,399.05222850203
211,182,1,9,1,0,,416.9673118355086,399.05222850203
212,183,1,8,0,0,421.32386118204465,416.9673118355086,399.05222850203
213,184,0,8,0,0,420.3668982080425,416.9673118355086,399.05222850203
214,185,0,9,0,1,416.68466015650336,416.68466015650336,399.05222850203
215,186,2,10,0,0,418.92647084693283,416.68466015650336,399.05222850203
216,186,1,10,1,0,,416.68466015650336,399.05222850203
217,187,2,9,0,0,419.6951257288568,416.68466015650336,399.05222850203
218,187,1,8,1,0,,416.68466015650336,399.05222850203
219,188,0,9,0,0,419.4846601565033,416.68466015650336,399.05222850203
220,189,0,8,0,0,417.8374461258097,416.68466015650336,399.05222850203
221,190,0,10,0,0,425.7664148028205,416.68466015650336,399.05222850203
222,191,2,8,0,1,417.5846601565033,417.5846601565033,399.05222850203
223,192,2,10,0,1,417.0846601565033,417.0846601565033,399.05222850203
224,192,0,7,1,0,,417.0846601565033,399.05222850203
225,192,1,8,1,0,,417.0846601565033,399.05222850203
226,193,1,8,0,1,416.68466015650336,416.68466015650336,399.05222850203
227,193,1,8,1,0,,416.68466015650336,399.05222850203
228,194,1,9,0,1,414.3664148028205,414.3664148028205,399.05222850203
229,195,0,8,0,0,432.3162536612003,414.3664148028205,399.05222850203
230,195,0,8,1,0,,414.3664148028205,399.05222850203
231,196,0,7,0,0,421.8605654117784,414.3664148028205,399.05222850203
232,197,0,10,0,0,419.05087848924916,414.3664148028205,399.05222850203
233,197,0,8,1,0,,414.3664148028205,399.05222850203
234,198,1,10,0,1,408.96580327751866,408.96580327751866,399.05222850203
235,199,2,9,0,0,437.275657157549,408.96580327751866,399.05222850203
236,200,0,9,0,0,427.34082324604066,408.96580327751866,399.05222850203
237,201,1,10,0,0,453.0578440780609,408.96580327751866,399.05222850203
238,202,2,8,0,1,409.5658032775186,409.5658032775186,399.05222850203
239,203,1,8,0,1,408.96580327751866,408.96580327751866,399.05222850203
240,204,0,7,0,0,414.61161305772373,408.96580327751866,399.05222850203
241,205,2,9,0,0,409.86580327751864,408.96580327751866,399.05222850203
242,206,0,9,0,1,407.96983446268115,407.96983446268115,399.05222850203
243,207,2,8,0,0,422.5198672651474,407.96983446268115,399.05222850203
244,208,2,8,0,1,408.96580327751866,408.96580327751866,399.05222850203
245,209,2,8,0,0,453.0578440780609,408.96580327751866,399.05222850203
246,210,2,7,0,1,409.7593218125825,409.7593218125825,399.05222850203
247,210,0,8,1,0,,409.7593218125825,399.05222850203
248,211,2,8,0,1,407.96983446268115,407.96983446268115,399.05222850203
249,212,0,10,0,0,418.8551706250451,407.96983446268115,399.05222850203
250,213,2,10,0,0,409.66983446268114,407.96983446268115,399.05222850203
251,214,0,10,0,0,409.7593218125825,407.96983446268115,399.05222850203
252,215,1,8,0,0,416.8530063780434,407.96983446268115,399.05222850203
253,216,1,8,0,0,452.0618752632234,407.96983446268115,399.05222850203
254,217,1,10,0,1,408.0698344626812,408.0698344626812,399.05222850203
255,218,0,10,0,1,411.1431398418543,411.1431398418543,399.05222850203
256,219,2,8,0,0,412.93262719175567,411.1431398418543,399.05222850203
257,220,1,10,0,1,409.85932181258255,409.85932181258255,399.05222850203
258,221,1,11,0,0,419.54498641556245,409.85932181258255,399.05222850203
259,221,0,8,1,0,,409.85932181258255,399.05222850203
260,222,0,8,0,1,410.35932181258255,410.35932181258255,399.05222850203
261,223,0,8,0,1,409.85932181258255,409.85932181258255,399.05222850203
262,223,0,9,1,0,,409.85932181258255,399.05222850203
263,223,1,9,1,0,,409.85932181258255,399.05222850203
264,224,1,9,0,1,410.8870302896706,410.8870302896706,399.05222850203
265,225,1,9,0,0,439.19688416970087,410.8870302896706,399.05222850203
266,226,1,8,0,1,409.0658032775187,409.0658032775187,399.05222850203
267,227,0,10,0,0,412.20822549324987,409.0658032775187,399.05222850203
268,228,2,7,0,1,408.0698344626812,408.0698344626812,399.05222850203
269,228,1,9,1,0,,408.0698344626812,399.05222850203
270,229,0,8,0,0,409.85932181258255,408.0698344626812,399.05222850203
271,230,1,8,0,1,409.43518204790325,409.43518204790325,399.05222850203
272,231,2,9,0,1,410.1565004024715,410.1565004024715,399.05222850203
273,232,2,7,0,1,409.43518204790325,409.43518204790325,399.05222850203
274,233,0,9,0,0,414.78455012770036,409.43518204790325,399.05222850203
275,234,2,10,0,0,412.46415614611624,409.43518204790325,399.05222850203
276,235,1,8,0,0,453.5272228484455,409.43518204790325,399.05222850203
277,236,0,8,0,0,414.78455012770036,409.43518204790325,399.05222850203
278,237,2,9,0,0,414.78455012770036,409.43518204790325,399.05222850203
279,238,2,10,0,1,410.7351820479032,410.7351820479032,399.05222850203
280,239,1,9,0,1,410.0351820479032,410.0351820479032,399.05222850203
281,240,2,10,0,1,408.66983446268114,408.66983446268114,399.05222850203
282,241,1,9,0,1,410.4593218125825,410.4593218125825,399.05222850203
283,242,1,8,0,1,410.3593218125825,410.3593218125825,399.05222850203
284,243,1,9,0,1,409.7593218125825,409.7593218125825,399.05222850203
285,244,1,9,0,0,418.6424937279447,409.7593218125825,399.05222850203
286,245,0,9,0,0,413.98640520172376,409.7593218125825,399.05222850203
287,245,2,8,1,0,,409.7593218125825,399.05222850203
288,245,0,10,1,0,,409.7593218125825,399.05222850203
289,246,1,7,0,0,449.1986463592978,409.7593218125825,399.05222850203
290,247,2,9,0,0,453.8513626131248,409.7593218125825,399.05222850203
291,248,1,10,0,0,449.63463831093276,409.7593218125825,399.05222850203
292,249,2,7,0,1,410.3593218125825,410.3593218125825,399.05222850203
293,250,1,8,0,1,409.7593218125825,409.7593218125825,399.05222850203
