method,reference,mean_delta_tardiness,median_delta_tardiness,fraction_lower,fraction_equal
ALNS-CVaR,OR-Tools,-13.021491272776583,-8.224384270265219,0.83,0.159
ALNS-Mean,OR-Tools,-12.476599068056085,-7.921471937127308,0.809,0.136
ALNS-Nominal,OR-Tools,0.0,0.0,0.0,1.0
Uniform-CVaR-FFseed,OR-Tools,-12.85501848610154,-7.921471937127308,0.811,0.14
Uniform-Mean-FFseed,OR-Tools,-11.917780089298308,-8.04354031673293,0.833,0.162
Uniform-CVaR-GRUseed,OR-Tools,-12.281985807787024,-7.3685571309346045,0.793,0.093
Uniform-Mean-GRUseed,OR-Tools,-11.308297946750981,-6.736305664797854,0.77,0.062
ALNS-Mean,ALNS-CVaR,0.5448922047204968,0.0,0.079,0.67
ALNS-Nominal,ALNS-CVaR,13.021491272776583,8.224384270265219,0.011,0.159
OR-Tools,ALNS-CVaR,13.021491272776583,8.224384270265219,0.011,0.159
Uniform-CVaR-FFseed,ALNS-CVaR,0.16647278667504078,0.0,0.072,0.722
Uniform-Mean-FFseed,ALNS-CVaR,1.1037111834782745,0.0,0.075,0.81
Uniform-CVaR-GRUseed,ALNS-CVaR,0.7395054649895578,0.0,0.061,0.495
Uniform-Mean-GRUseed,ALNS-CVaR,1.713193326025601,0.3139422997850261,0.049,0.335
ALNS-CVaR,ALNS-Mean,-0.5448922047204968,0.0,0.251,0.67
ALNS-Nominal,ALNS-Mean,12.476599068056085,7.921471937127308,0.055,0.136
OR-Tools,ALNS-Mean,12.476599068056085,7.921471937127308,0.055,0.136
Uniform-CVaR-FFseed,ALNS-Mean,-0.378419418045456,0.0,0.108,0.82
Uniform-Mean-FFseed,ALNS-Mean,0.5588189787577778,0.0,0.224,0.663
Uniform-CVaR-GRUseed,ALNS-Mean,0.19461326026906098,0.0,0.197,0.4
Uniform-Mean-GRUseed,ALNS-Mean,1.1683011213051042,0.15221479250823222,0.166,0.284
