decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
1,1,2,12,0,0,570.8170256828816,475.1445356234361,475.1445356234361,1.0,1.0,1.0
2,1,0,9,1,0,,475.1445356234361,475.1445356234361,,,
3,2,2,11,0,1,470.977536412086,470.977536412086,470.977536412086,1.0,1.0,1.0
4,3,1,9,0,1,466.36984799343384,466.36984799343384,466.36984799343384,1.0,1.0,1.0
5,4,2,10,0,0,478.12074327039824,466.36984799343384,466.36984799343384,1.0,1.0,1.0
6,5,2,9,0,1,457.4483013241663,457.4483013241663,457.4483013241663,1.0,1.0,1.0
7,6,1,11,0,0,478.93254861004846,457.4483013241663,457.4483013241663,1.0,1.0,1.0
8,7,0,11,0,0,478.93254861004846,457.4483013241663,457.4483013241663,1.0,1.0,1.0
9,8,2,12,0,1,459.5036524036616,459.5036524036616,457.4483013241663,1.0,1.0,1.0
10,9,0,11,0,1,456.8026264373258,456.8026264373258,456.8026264373258,1.0,1.0,1.0
11,10,2,9,0,0,471.1067026167926,456.8026264373258,456.8026264373258,1.0,1.0,1.0
12,11,1,10,0,0,465.7241731065933,456.8026264373258,456.8026264373258,1.0,1.0,1.0
13,12,0,10,0,0,483.8820689558297,456.8026264373258,456.8026264373258,1.0,1.0,1.0
14,13,2,10,0,0,465.7241731065933,456.8026264373258,456.8026264373258,1.0,1.0,1.0
15,14,0,8,0,0,483.8820689558297,456.8026264373258,456.8026264373258,1.0,1.0,1.0
16,15,1,9,0,0,483.8820689558297,456.8026264373258,456.8026264373258,1.0,1.0,1.0
17,16,2,10,0,0,489.3321479388399,456.8026264373258,456.8026264373258,1.0,1.0,1.0
18,17,2,12,0,0,464.64801807923754,456.8026264373258,456.8026264373258,1.0,1.0,1.0
19,18,1,12,0,1,453.18523273334745,453.18523273334745,453.18523273334745,1.0,1.0,1.0
20,19,2,9,0,0,462.505858252735,453.18523273334745,453.18523273334745,1.0,1.0,1.0
21,20,0,12,0,1,456.8026264373258,456.8026264373258,453.18523273334745,1.0,1.0,1.0
22,21,1,12,0,0,471.1067026167926,456.8026264373258,453.18523273334745,1.0,1.0,1.0
23,22,1,9,0,0,483.8820689558297,456.8026264373258,453.18523273334745,1.0,1.0,1.0
24,23,1,9,0,1,453.48276690992805,453.48276690992805,453.18523273334745,1.0,1.0,1.0
25,24,1,11,0,0,477.42074327039825,453.48276690992805,453.18523273334745,1.0,1.0,1.0
26,25,1,11,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
27,26,1,9,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
28,27,2,9,0,0,476.8264239746826,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
29,28,1,10,0,0,477.42074327039825,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
30,29,0,8,0,0,471.44768620742695,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
31,30,1,12,0,0,466.3536701893304,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
32,31,2,9,0,0,477.42074327039825,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
33,32,2,12,0,0,501.4065927109601,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
34,33,2,9,0,0,471.44768620742695,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
35,34,2,9,0,0,489.5811952218811,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
36,35,1,9,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
37,36,1,10,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
38,37,2,10,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
39,38,2,12,0,0,471.44768620742695,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
40,39,2,9,0,0,483.3769147792966,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
41,40,1,11,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
42,41,2,9,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
43,42,1,12,0,0,477.42074327039825,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
44,43,1,8,0,0,471.44768620742695,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
45,44,2,8,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
46,45,0,10,0,0,501.4065927109601,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
47,46,1,8,0,0,501.4065927109601,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
48,47,1,11,0,0,501.4065927109601,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
49,48,2,10,0,0,464.219030953393,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
50,49,2,12,0,0,460.4590422326535,453.48276690992805,453.18523273334745,1.1,1.2444444444444445,1.1400000000000001
51,50,0,12,0,0,466.3536701893304,453.48276690992805,453.18523273334745,0.8800002000000001,0.9955557555555556,0.9120002000000001
52,51,0,10,0,0,463.0293544596125,453.48276690992805,453.18523273334745,0.8800002000000001,0.9955557555555556,0.9120002000000001
53,52,1,10,0,0,460.4590422326535,453.48276690992805,453.18523273334745,0.8800002000000001,0.9955557555555556,0.9120002000000001
54,53,1,10,0,0,460.4590422326535,453.48276690992805,453.18523273334745,0.8800002000000001,0.9955557555555556,0.9120002000000001
55,54,0,8,0,0,463.0293544596125,453.48276690992805,453.18523273334745,0.8800002000000001,0.9955557555555556,0.9120002000000001
