decision,evaluated,operator,q,accepted,candidate_score,current_score,best_score
1,1,2,12,0,385.3165253872955,367.20000000000005,367.20000000000005
2,2,0,12,1,369.5,369.5,367.20000000000005
4,3,0,11,1,367.20000000000005,367.20000000000005,367.20000000000005
5,4,1,11,0,383.7999999999999,367.20000000000005,367.20000000000005
6,5,2,11,0,376.89999999999986,367.20000000000005,367.20000000000005
7,6,1,12,1,367.59999999999997,367.59999999999997,367.20000000000005
9,7,2,12,0,386.0999999999999,367.59999999999997,367.20000000000005
10,8,0,9,0,377.1999999999999,367.59999999999997,367.20000000000005
11,9,2,9,0,376.09999999999997,367.59999999999997,367.20000000000005
12,10,2,12,1,368.0,368.0,367.20000000000005
13,11,0,11,1,372.69999999999993,372.69999999999993,367.20000000000005
14,12,0,9,0,383.09999999999985,372.69999999999993,367.20000000000005
15,13,1,11,1,381.9999999999999,381.9999999999999,367.20000000000005
16,14,1,9,1,377.9999999999999,377.9999999999999,367.20000000000005
17,15,2,12,1,380.7999999999999,380.7999999999999,367.20000000000005
18,16,2,12,1,380.2999999999999,380.2999999999999,367.20000000000005
19,17,0,9,1,380.8999999999999,380.8999999999999,367.20000000000005
20,18,1,11,0,404.3401390352962,380.8999999999999,367.20000000000005
21,19,1,12,1,385.3999999999999,385.3999999999999,367.20000000000005
22,20,1,10,0,389.74440363934883,385.3999999999999,367.20000000000005
23,21,0,12,1,385.1999999999999,385.1999999999999,367.20000000000005
24,22,2,9,1,392.59999999999985,392.59999999999985,367.20000000000005
25,23,2,11,1,392.59999999999985,392.59999999999985,367.20000000000005
26,24,0,9,1,391.79999999999984,391.79999999999984,367.20000000000005
27,25,1,10,1,392.1999999999998,392.1999999999998,367.20000000000005
28,26,1,9,1,385.4999999999999,385.4999999999999,367.20000000000005
29,27,2,9,1,385.3999999999999,385.3999999999999,367.20000000000005
30,28,1,8,1,382.2999999999999,382.2999999999999,367.20000000000005
31,29,2,9,1,382.0999999999999,382.0999999999999,367.20000000000005
32,30,1,10,0,397.2999999999999,382.0999999999999,367.20000000000005
33,31,1,12,0,397.09999999999997,382.0999999999999,367.20000000000005
34,32,1,11,0,414.3,382.0999999999999,367.20000000000005
35,33,0,9,1,382.7999999999999,382.7999999999999,367.20000000000005
36,34,2,10,1,382.39999999999986,382.39999999999986,367.20000000000005
37,35,2,10,1,381.89999999999986,381.89999999999986,367.20000000000005
38,36,2,9,0,385.79999999999995,381.89999999999986,367.20000000000005
39,37,0,12,0,392.0999999999999,381.89999999999986,367.20000000000005
40,38,2,11,1,382.8999999999998,382.8999999999998,367.20000000000005
41,39,2,12,1,381.99999999999983,381.99999999999983,367.20000000000005
42,40,0,10,1,381.89999999999986,381.89999999999986,367.20000000000005
43,41,1,11,1,381.2999999999999,381.2999999999999,367.20000000000005
44,42,1,10,1,380.8999999999999,380.8999999999999,367.20000000000005
45,43,0,11,1,379.19999999999993,379.19999999999993,367.20000000000005
46,44,2,10,0,379.79999999999995,379.19999999999993,367.20000000000005
47,45,2,10,1,379.19999999999993,379.19999999999993,367.20000000000005
48,46,2,8,1,376.0999999999999,376.0999999999999,367.20000000000005
49,47,2,12,1,375.89999999999986,375.89999999999986,367.20000000000005
50,48,0,10,0,386.09999999999985,375.89999999999986,367.20000000000005
51,49,2,11,1,376.39999999999986,376.39999999999986,367.20000000000005
52,50,0,11,1,375.89999999999986,375.89999999999986,367.20000000000005
53,51,0,9,1,375.89999999999986,375.89999999999986,367.20000000000005
54,52,0,11,1,375.89999999999986,375.89999999999986,367.20000000000005
55,53,1,12,1,374.9999999999999,374.9999999999999,367.20000000000005
56,54,1,11,1,374.9999999999999,374.9999999999999,367.20000000000005
57,55,2,10,1,374.9999999999999,374.9999999999999,367.20000000000005
58,56,0,9,0,382.39999999999975,374.9999999999999,367.20000000000005
59,57,1,9,1,374.9999999999999,374.9999999999999,367.20000000000005
60,58,0,10,0,385.1999999999998,374.9999999999999,367.20000000000005
61,59,2,11,0,388.49999999999983,374.9999999999999,367.20000000000005
64,60,1,12,0,381.6999999999999,374.9999999999999,367.20000000000005
66,61,2,11,1,375.09999999999985,375.09999999999985,367.20000000000005
67,62,2,10,1,376.5999999999998,376.5999999999998,367.20000000000005
68,63,2,11,1,376.49999999999983,376.49999999999983,367.20000000000005
69,64,0,10,1,375.6999999999999,375.6999999999999,367.20000000000005
70,65,2,11,0,387.49999999999983,375.6999999999999,367.20000000000005
71,66,0,11,1,374.9999999999999,374.9999999999999,367.20000000000005
72,67,2,12,0,386.39999999999986,374.9999999999999,367.20000000000005
73,68,1,11,1,374.9999999999999,374.9999999999999,367.20000000000005
74,69,2,12,1,375.4999999999999,375.4999999999999,367.20000000000005
75,70,1,9,1,375.2999999999999,375.2999999999999,367.20000000000005
76,71,1,9,0,384.7999999999999,375.2999999999999,367.20000000000005
80,72,0,9,0,377.7999999999999,375.2999999999999,367.20000000000005
82,73,2,9,1,375.2999999999999,375.2999999999999,367.20000000000005
83,74,2,10,1,375.2999999999999,375.2999999999999,367.20000000000005
85,75,0,12,1,375.4999999999999,375.4999999999999,367.20000000000005
86,76,0,9,0,386.0436690960711,375.4999999999999,367.20000000000005
88,77,0,11,1,375.2999999999999,375.2999999999999,367.20000000000005
89,78,2,11,1,376.89999999999986,376.89999999999986,367.20000000000005
90,79,1,11,1,377.8999999999999,377.8999999999999,367.20000000000005
91,80,2,12,1,378.5999999999999,378.5999999999999,367.20000000000005
92,81,2,12,0,405.7414433902964,378.5999999999999,367.20000000000005
93,82,2,11,0,388.79334581419045,378.5999999999999,367.20000000000005
94,83,2,11,0,378.99999999999983,378.5999999999999,367.20000000000005
95,84,0,9,1,378.1999999999999,378.1999999999999,367.20000000000005
96,85,1,12,0,398.69999999999993,378.1999999999999,367.20000000000005
97,86,2,10,0,388.79999999999984,378.1999999999999,367.20000000000005
98,87,2,10,1,377.19999999999993,377.19999999999993,367.20000000000005
100,88,1,9,0,398.0999999999999,377.19999999999993,367.20000000000005
102,89,2,10,0,390.72255877630556,377.19999999999993,367.20000000000005
106,90,0,11,1,376.89999999999986,376.89999999999986,367.20000000000005
107,91,0,12,1,378.0999999999998,378.0999999999998,367.20000000000005
108,92,1,10,1,376.89999999999986,376.89999999999986,367.20000000000005
109,93,0,12,1,376.89999999999986,376.89999999999986,367.20000000000005
110,94,0,10,1,376.89999999999986,376.89999999999986,367.20000000000005
111,95,2,11,0,377.5999999999999,376.89999999999986,367.20000000000005
112,96,0,9,0,382.4999999999999,376.89999999999986,367.20000000000005
113,97,1,11,0,394.39999999999975,376.89999999999986,367.20000000000005
114,98,1,11,1,375.29999999999984,375.29999999999984,367.20000000000005
116,99,0,9,0,382.0999999999998,375.29999999999984,367.20000000000005
117,100,2,11,0,381.8999999999999,375.29999999999984,367.20000000000005
118,101,0,9,1,375.1999999999999,375.1999999999999,367.20000000000005
119,102,0,10,0,397.99999999999994,375.1999999999999,367.20000000000005
120,103,2,10,1,375.1999999999999,375.1999999999999,367.20000000000005
121,104,2,12,1,375.1999999999999,375.1999999999999,367.20000000000005
122,105,0,11,0,387.8314311649367,375.1999999999999,367.20000000000005
123,106,0,12,1,375.29999999999984,375.29999999999984,367.20000000000005
124,107,2,10,0,379.2999999999998,375.29999999999984,367.20000000000005
126,108,2,11,0,382.9999999999997,375.29999999999984,367.20000000000005
128,109,0,9,1,376.8999999999998,376.8999999999998,367.20000000000005
129,110,2,11,0,413.7999999999998,376.8999999999998,367.20000000000005
130,111,1,12,1,376.1999999999998,376.1999999999998,367.20000000000005
131,112,0,12,1,375.29999999999984,375.29999999999984,367.20000000000005
132,113,2,12,0,380.4999999999998,375.29999999999984,367.20000000000005
133,114,2,12,1,375.29999999999984,375.29999999999984,367.20000000000005
134,115,0,10,1,375.29999999999984,375.29999999999984,367.20000000000005
135,116,0,11,1,375.1999999999999,375.1999999999999,367.20000000000005
136,117,2,12,0,386.3999999999999,375.1999999999999,367.20000000000005
137,118,0,9,1,377.09999999999985,377.09999999999985,367.20000000000005
138,119,1,11,1,373.89999999999986,373.89999999999986,367.20000000000005
140,120,0,8,1,373.6999999999999,373.6999999999999,367.20000000000005
141,121,0,12,1,373.59999999999985,373.59999999999985,367.20000000000005
142,122,2,12,1,372.4999999999999,372.4999999999999,367.20000000000005
143,123,2,9,0,378.7,372.4999999999999,367.20000000000005
144,124,1,10,0,381.5999999999999,372.4999999999999,367.20000000000005
145,125,1,9,1,372.6999999999999,372.6999999999999,367.20000000000005
146,126,1,11,0,398.59999999999985,372.6999999999999,367.20000000000005
148,127,2,9,1,372.29999999999995,372.29999999999995,367.20000000000005
149,128,1,11,0,381.7,372.29999999999995,367.20000000000005
150,129,0,12,1,373.9,373.9,367.20000000000005
151,130,0,11,0,375.5,373.9,367.20000000000005
152,131,1,11,1,373.09999999999997,373.09999999999997,367.20000000000005
153,132,1,10,0,381.0,373.09999999999997,367.20000000000005
154,133,1,10,1,373.09999999999997,373.09999999999997,367.20000000000005
155,134,2,9,0,394.9,373.09999999999997,367.20000000000005
156,135,1,9,0,391.7,373.09999999999997,367.20000000000005
157,136,0,9,0,384.4999999999999,373.09999999999997,367.20000000000005
158,137,2,10,1,372.59999999999997,372.59999999999997,367.20000000000005
159,138,0,12,1,373.3,373.3,367.20000000000005
160,139,0,9,0,379.7,373.3,367.20000000000005
