method,reference,mean_delta_tardiness,median_delta_tardiness,fraction_lower,fraction_equal
ALNS-CVaR,OR-Tools,-13.17739066707314,-8.224384270265219,0.819,0.141
ALNS-Mean,OR-Tools,-12.573833689600976,-7.921471937127308,0.823,0.157
ALNS-Nominal,OR-Tools,4.88461866196363,6.361373703149795,0.333,0.004
Uniform-CVaR-FFseed,OR-Tools,-13.316345904680714,-8.405833417888076,0.824,0.141
Uniform-Mean-FFseed,OR-Tools,-10.739467312598405,-6.528320531150285,0.782,0.215
Uniform-CVaR-GRUseed,OR-Tools,-13.162881570515292,-8.42665095478658,0.834,0.158
Uniform-Mean-GRUseed,OR-Tools,-11.27760827101209,-7.175893586369497,0.81,0.158
ALNS-Mean,ALNS-CVaR,0.6035569774721677,0.0,0.167,0.695
ALNS-Nominal,ALNS-CVaR,18.062009329036773,16.098552056665,0.006,0.013
OR-Tools,ALNS-CVaR,13.17739066707314,8.224384270265219,0.04,0.141
Uniform-CVaR-FFseed,ALNS-CVaR,-0.13895523760757372,0.0,0.054,0.938
Uniform-Mean-FFseed,ALNS-CVaR,2.4379233544747367,0.0,0.147,0.571
Uniform-CVaR-GRUseed,ALNS-CVaR,0.014509096557849403,0.0,0.208,0.76
Uniform-Mean-GRUseed,ALNS-CVaR,1.899782396061052,0.0,0.148,0.632
ALNS-CVaR,ALNS-Mean,-0.6035569774721677,0.0,0.138,0.695
ALNS-Nominal,ALNS-Mean,17.458452351564603,15.934242473422756,0.02,0.014
OR-Tools,ALNS-Mean,12.573833689600976,7.921471937127308,0.02,0.157
Uniform-CVaR-FFseed,ALNS-Mean,-0.7425122150797415,0.0,0.156,0.7
Uniform-Mean-FFseed,ALNS-Mean,1.8343663770025689,0.0,0.052,0.669
Uniform-CVaR-GRUseed,ALNS-Mean,-0.5890478809143184,0.0,0.153,0.818
Uniform-Mean-GRUseed,ALNS-Mean,1.2962254185888842,0.0,0.094,0.689
