method,n_target_days,distance_mean_km,tard_mean_min,tard_cvar95_mean_min,on_time_mean,J_aligned_mean,search_runtime_mean_s
RL-FF-CVaR,8,411.37375,2.301573200286758,16.56433626829878,0.9935745324980858,444.5024225365976,23.31977700261241
RL-FF-Mean,8,405.41,3.4626511558411557,23.07426529472456,0.9907983862840007,412.3353023116823,27.430715465074353
RL-GRU-CVaR,8,411.49,2.190255437881546,15.836427114628572,0.9937710249653682,443.16285422925716,24.026006797449917
RL-GRU-Mean,8,405.44375,3.3204641706108884,22.475794566688222,0.9910131041137866,412.0846783412218,26.771513145325297
Uniform-CVaR,8,411.105,2.1038272935018183,15.187308959419603,0.993906884103314,441.4796179188392,23.80846758950029
Uniform-Mean,8,406.3,3.207861097852051,23.04390459749187,0.9913262825761081,412.71572219570413,26.528490800475353
