target_day,source_replicate,FF_Mean_RL_minus_Uniform,GRU_Mean_RL_minus_Uniform,FF_CVaR_RL_minus_Uniform,GRU_CVaR_RL_minus_Uniform,GRU_minus_FF_Mean,GRU_minus_FF_CVaR
2,1,2.3476539096591864,5.317428350040586,-14.622696646590896,-17.23705556056626,2.9697744403814,-2.614358913975366
2,2,-2.5712336045147026,1.4448155806836098,19.123559545993487,-1.5328942640252308,4.016049185198312,-20.656453810018718
2,3,-0.7146350473552161,-0.8784262012312638,5.807916219920173,-8.33691063769794,-0.1637911538760477,-14.144826857618114
2,4,-4.287296822673113,-5.601635236192067,9.61490742585471,10.603185745828739,-1.3143384135189535,0.9882783199740288
2,5,-5.580640438985938,-4.685845200403378,7.786663442683391,-4.4497694188845,0.8947952385825602,-12.236432861567891
2,6,0.25350388209187713,-6.2039326230721485,13.132417300178986,-11.266812791223344,-6.457436505164026,-24.39923009140233
2,7,2.778946575331531,3.722308918062538,57.33331878270519,34.11657552031994,0.9433623427310067,-23.21674326238525
2,8,-4.850664417174357,-5.436115390523582,-8.86019056559553,11.792279675426471,-0.585450973349225,20.652470241022
2,9,2.162681469189579,1.5877056232838527,-16.610569721758623,-10.678842453479945,-0.5749758459057261,5.931727268278678
2,10,3.1545089012930703,3.074008723287875,0.0,-19.932649665283748,-0.08050017800519527,-19.932649665283748
3,1,4.006001301075742,0.0,-11.346430313368728,-2.2597543100920916,-4.006001301075742,9.086676003276636
3,2,-7.035132153845609,-7.290286054946023,14.744330065313079,20.615666846131262,-0.2551539011004138,5.871336780818183
3,3,1.2704538020684026,1.3572279847982145,0.7386732119166481,6.451842421343031,0.08677418272981186,5.713169209426383
3,4,0.0,-0.8062184198097384,-2.383123859629393,28.292100314600475,-0.8062184198097384,30.675224174229868
3,5,0.1075235464348907,0.1075235464348907,0.7524390566239276,17.739902270428047,0.0,16.98746321380412
3,6,1.388387804494414,-0.44125021954488375,0.0,0.0,-1.8296380240392978,0.0
3,7,3.8234669299373536,2.9044289003837207,-16.26547529996492,-15.13972567720117,-0.9190380295536329,1.125749622763749
3,8,0.0,2.0292966225965756,-0.0589657076816934,0.7108861368058683,2.0292966225965756,0.7698518444875617
3,9,0.0,0.0,3.012312955228765,3.051685178100172,0.0,0.03937222287140685
3,10,4.587055820250043,4.758527440713351,13.339406868531398,-10.582783049514603,0.17147162046330777,-23.922189918046
4,1,1.2615343939630748,-6.765714828979355,-3.8094102212997996,-9.073877198639764,-8.02724922294243,-5.264466977339964
4,2,-7.020754780694688,-7.796130762156167,-7.28683547950186,-15.527565058863786,-0.7753759814614796,-8.240729579361926
4,3,-9.002073743219512,-10.751326422537261,11.109169466112633,11.001652863702134,-1.749252679317749,-0.10751660241049876
4,4,0.0,-2.581931289275076,-11.679594864234957,3.5106113049928354,-2.581931289275076,15.190206169227793
4,5,-1.4811488969048128,-0.9057408490630223,2.8289817135525936,3.0506845143283385,0.5754080478417904,0.2217028007757449
4,6,-1.4081528486724437,-3.604735433302608,-6.293549618920622,-1.7398443193590083,-2.196582584630164,4.553705299561614
4,7,4.747828659720028,-6.10840825501424,-14.013706364589439,4.043461576469667,-10.856236914734268,18.057167941059106
4,8,6.8007433719553205,4.961958790463427,9.68469153173072,0.42230537520555345,-1.8387845814918933,-9.262386156525167
4,9,-5.363819883331644,3.21418341226007,-18.483178027801614,-15.537327575344648,8.578003295591714,2.945850452456966
