target_day,method,distance_km,tard_mean,tard_cvar95,on_time_mean,J_aligned,search_runtime_s
2,RL-FF-CVaR,414.9500000000001,1.5517330395473792,13.170141937884532,0.9933015873015872,441.2902838757692,20.51796130399962
2,RL-FF-Mean,411.21000000000015,1.9950707850342333,14.296255048778724,0.9907761904761905,415.2001415700685,24.4685856041011
2,RL-GRU-CVaR,416.79000000000013,0.8088741576240206,7.7687309562356885,0.9953873015873016,432.3274619124715,20.854241112399905
2,RL-GRU-Mean,411.86,1.6524451918879393,12.08592483488572,0.9919031746031746,415.16489038377597,24.37378497090176
2,Uniform-CVaR,416.64000000000016,0.996921230868432,8.68987564871497,0.9950793650793651,434.01975129743005,20.364796724999906
2,Uniform-Mean,412.4000000000001,1.765429564691129,13.40152113103552,0.9923158730158731,415.9308591293824,23.56891932080107
3,RL-FF-CVaR,399.2699999999998,0.8758116846393964,11.678829785498788,0.9962522388059701,422.62765957099737,19.844081495700085
3,RL-FF-Mean,398.49999999999983,1.2384980008071091,16.435573044451008,0.9959492537313432,400.97699600161405,21.410967120899294
3,RL-GRU-CVaR,400.02999999999986,0.9499862271597259,13.616162443180377,0.9964731343283582,427.2623248863606,19.997236737700586
3,RL-GRU-Mean,398.1299999999998,1.1470726383176508,14.686512118013685,0.9959552238805969,400.42414527663516,21.072102516700397
3,Uniform-CVaR,399.4399999999998,0.9110938655390004,11.467171436650343,0.9964238805970149,422.3743428733005,19.82590007490071
3,Uniform-Mean,397.1099999999998,1.5261101482863446,16.861046096898292,0.9952388059701492,400.1622202965725,20.927369033199646
4,RL-FF-CVaR,430.9300000000001,1.4969388222408297,13.295563463370618,0.9958550724637683,457.52112692674126,24.834304654200242
4,RL-FF-Mean,423.66000000000014,4.845154993713231,23.947500318447528,0.988636231884058,433.3503099874266,31.843190066797252
4,RL-GRU-CVaR,430.9000000000001,1.784043459528068,15.036694840497253,0.9948913043478262,460.97338968099456,24.658654308299447
4,RL-GRU-Mean,422.1500000000002,4.517439698885938,24.32928735871166,0.9889318840579712,431.1848793977721,30.324338866598556
4,Uniform-CVaR,431.1100000000001,1.7255198097198758,15.323289652141188,0.9945449275362319,461.7565793042825,24.219693612398988
4,Uniform-Mean,428.64000000000004,2.7459859759858363,17.962360622242677,0.9926289855072465,434.1319719519718,28.58001436239938
5,RL-FF-CVaR,406.25000000000006,1.2408572714637267,12.317251722925937,0.9961906666666666,430.8845034458519,24.4210538334999
5,RL-FF-Mean,399.46000000000004,2.0270306630324453,17.690711362117565,0.99462,403.51406132606496,25.571755841499545
5,RL-GRU-CVaR,410.06000000000006,0.6217552938189674,7.8354926948030155,0.998132,425.73098538960613,23.472356941800534
5,RL-GRU-Mean,400.31,2.029286409711226,18.71191163669244,0.9945959999999999,404.3685728194224,24.903578387499874
5,Uniform-CVaR,407.2,1.1263157382966646,10.149395991988692,0.9966013333333332,427.4987919839774,24.81916582920021
5,Uniform-Mean,399.81,1.4261298144626207,13.552675171186161,0.9958359999999999,402.6622596289252,25.370526187500218
6,RL-FF-CVaR,382.85,1.6544753880787908,14.005399894673833,0.9957506493506493,410.86079978934765,22.1274813541997
6,RL-FF-Mean,375.34,2.9782339673132188,21.799521016630564,0.9934142857142856,381.2964679346264,27.067473083300136
6,RL-GRU-CVaR,381.2,1.1715488555985536,10.476544167004832,0.9961883116883117,402.1530883340096,23.017960050199328
6,RL-GRU-Mean,374.75000000000006,3.0760520894274497,24.447300465582522,0.9929116883116883,380.9021041788549,26.32227546649956
6,Uniform-CVaR,380.76,1.3000650691322662,11.200897700526998,0.9960688311688312,403.161795401054,22.46153532070166
6,Uniform-Mean,375.19,2.424201840042548,21.280166043769704,0.9948610389610388,380.0384036800851,27.331822262600326
7,RL-FF-CVaR,373.69999999999993,1.7935313895067821,16.55373825767452,0.9950681818181819,406.807476515349,20.098201341698587
7,RL-FF-Mean,367.17999999999995,2.460192069097091,25.72186505934752,0.9936545454545455,372.1003841381941,21.709675166598753
7,RL-GRU-CVaR,372.35999999999996,2.0949009549942255,16.59949105146351,0.9946878787878788,405.55898210292696,20.401351475099364
7,RL-GRU-Mean,366.8799999999999,2.5028737384505177,22.557332474334025,0.9930212121212121,371.885747476901,21.224210916801532
7,Uniform-CVaR,373.4899999999999,0.6888779944862593,10.16660656439696,0.9983121212121212,393.82321312879384,20.59678110839959
7,Uniform-Mean,366.6199999999999,2.8410400071614,27.774133418550527,0.9925272727272727,372.3020800143227,20.44568015830082
