contrast,label,n_target_days,mean,sd,median,min,max,ci95_boot_lo,ci95_boot_hi,exact_signflip_p,negative_days_RL_or_GRU_better,ties,positive_days_RL_or_GRU_worse,holm_adjusted_p,significant_after_holm_0p05
FF_Mean_RL_minus_Uniform,FF Mean: RL - Uniform,8,-0.3804198840217829,1.3335749279039366,-0.4662067177211867,-2.5747307503871184,1.2580642545412843,-1.2635064813107797,0.46120859671491843,0.453125,5,0,3,0.9140625,False
GRU_Mean_RL_minus_Uniform,GRU Mean: RL - Uniform,8,-0.6310438544823198,1.6110854852680307,-0.5911506415140793,-2.94709255419973,1.7063131904972182,-1.6825352509036824,0.39037816370882295,0.3046875,5,0,3,0.9140625,False
FF_CVaR_RL_minus_Uniform,FF CVaR: RL - Uniform,8,3.022804617758352,5.886129470375271,1.819514079785705,-4.235452377541191,12.984263386555142,-0.636432415288077,6.935791450082959,0.1875,3,0,5,0.75,False
GRU_CVaR_RL_minus_Uniform,GRU CVaR: RL - Uniform,8,1.6832363104179429,4.641458536852319,-0.37242293419719774,-1.7678065943713306,11.735768974133123,-0.8537988210472193,5.059906776864151,0.4140625,4,0,4,0.9140625,False
