day,path_index,realized_seed,mean_delta_J,mean_delta_tardiness,mean_delta_distance,changed_replicates,mean_max_conditional_gain,maximum_conditional_gain
2,1,8120001,0.3000000000000303,0.0,0.3000000000000303,1,0.29999999999999954,0.8999999999999986
2,2,8120002,0.3000000000000303,0.0,0.3000000000000303,1,0.29999999999999954,0.8999999999999986
2,3,8120003,-0.6333333333333258,0.0,-0.6333333333333258,2,5.188765848555913,12.73528585682513
2,4,8120004,0.0,0.0,0.0,0,0.0,0.0
2,5,8120005,0.0,0.0,0.0,0,0.0,0.0
2,6,8120006,0.0,0.0,0.0,0,0.0,0.0
2,7,8120007,0.0,0.0,0.0,0,0.0,0.0
2,8,8120008,-0.7333333333333295,0.0,-0.7333333333333295,2,3.8528838807112535,10.658651642133762
2,9,8120009,-1.5000000000000189,0.0,-1.5000000000000189,2,2.9586242299564205,5.348840046563794
2,10,8120010,-1.0333333333333599,0.0,-1.0333333333333599,1,4.259156784175924,12.777470352527772
2,11,8120011,0.0,0.0,0.0,0,0.0,0.0
2,12,8120012,-1.033333333333341,0.0,-1.033333333333341,3,2.468031328501141,3.315696884820113
2,13,8120013,-0.6333333333333258,0.0,-0.6333333333333258,3,3.5308389766256085,4.219478390354428
2,14,8120014,-0.19999999999996967,0.0,-0.19999999999996967,3,3.112169760325925,3.3549357767884196
2,15,8120015,2.3126355519658546,1.1563177759829273,0.0,1,0.09133854098775629,0.27401562296326887
2,16,8120016,0.0,0.0,0.0,1,0.00020577369672262572,0.0006173210901678772
2,17,8120017,-0.5333333333333599,0.0,-0.5333333333333599,1,3.185229953179809,9.555689859539427
2,18,8120018,0.0,0.0,0.0,0,0.0,0.0
2,19,8120019,0.0,0.0,0.0,0,0.0,0.0
2,20,8120020,0.0,0.0,0.0,0,0.0,0.0
5,1,8150001,0.46666666666667805,0.0,0.46666666666667805,1,3.6236376395401493,10.870912918620448
5,2,8150002,-0.23333333333332953,0.0,-0.23333333333332953,1,1.5981621445862781,4.794486433758834
5,3,8150003,-2.222655990889583,-1.2279946621114657,0.2333333333333485,1,3.225228871909773,9.675686615729319
5,4,8150004,2.531126922930904,1.0655634614654446,0.40000000000001523,1,3.0553120184406217,9.165936055321865
5,5,8150005,-1.9999999999999811,0.0,-1.9999999999999811,1,0.22658549506924194,0.6797564852077258
5,6,8150006,2.1681653458603023,1.2840826729301398,-0.3999999999999772,2,9.407456116067243,19.348898729628203
5,7,8150007,0.0,0.0,0.0,0,0.0,0.0
5,8,8150008,-0.23333333333332953,0.0,-0.23333333333332953,1,3.3113257456849774,9.933977237054933
5,9,8150009,0.0,0.0,0.0,0,0.0,0.0
5,10,8150010,0.0,0.0,0.0,0,0.0,0.0
5,11,8150011,0.0,0.0,0.0,0,0.0,0.0
5,12,8150012,-0.6333333333333258,0.0,-0.6333333333333258,2,4.688844428439502,12.381009196551155
5,13,8150013,0.6333333333333447,0.0,0.6333333333333447,1,1.28989879663267,3.86969638989801
5,14,8150014,0.0,0.0,0.0,0,0.0,0.0
5,15,8150015,-0.23333333333332953,0.0,-0.23333333333332953,1,1.7162256532074427,5.148676959622328
5,16,8150016,0.6333333333333258,0.0,0.6333333333333258,1,1.2071983935500488,3.6215951806501465
5,17,8150017,0.6333333333333258,0.0,0.6333333333333258,1,7.717227704044021,23.151683112132062
5,18,8150018,0.0,0.0,0.0,2,1.420527734579262,2.441399414594244
5,19,8150019,0.46666666666667805,0.0,0.46666666666667805,1,1.1887760484856784,3.5663281454570352
5,20,8150020,-0.23333333333332953,0.0,-0.23333333333332953,1,3.563648278479647,10.690944835438941
7,1,8170001,-0.39999999999997726,0.0,-0.39999999999997726,1,5.3974973245732825,16.192491973719846
7,2,8170002,0.8377586420074673,0.8522126543370708,-0.8666666666666742,1,0.4683009455940663,1.404902836782199
7,3,8170003,-0.03333333333332197,0.0,-0.03333333333332197,2,6.924539326215711,11.44470022921979
7,4,8170004,-1.900000000000034,0.0,-1.900000000000034,2,14.92629348428155,29.55039009314035
7,5,8170005,16.06680174934348,8.200067541338399,-0.33333333333331433,2,7.249670515656017,13.813514797877886
7,6,8170006,1.0946060309345285,1.0473030154672642,-1.0,2,11.21873764492903,23.007644743050804
7,7,8170007,-0.03333333333332197,0.0,-0.03333333333332197,1,2.263292013153697,6.789876039461092
7,8,8170008,0.0,0.0,0.0,0,0.0,0.0
7,9,8170009,-2.7646138258691813,-0.8656402462679296,-1.033333333333322,1,4.414955544857641,13.244866634572922
7,10,8170010,-8.48062398469805,-2.973645325682355,-2.5333333333333408,3,8.941588143424314,12.42832291352542
7,11,8170011,-0.03333333333332197,0.0,-0.03333333333332197,1,1.8359145158191221,5.507743547457366
7,12,8170012,0.0,0.0,0.0,0,0.0,0.0
7,13,8170013,-0.03333333333332197,0.0,-0.03333333333332197,1,0.1916912767438864,0.5750738302316591
7,14,8170014,0.0,0.0,0.0,0,0.0,0.0
7,15,8170015,-2.7999999999999923,0.0,-2.7999999999999923,2,12.792992501637672,25.5473925540281
7,16,8170016,1.933673839784736,1.6335035865590346,-1.3333333333333333,2,10.945790372853972,19.979367184921017
7,17,8170017,-0.8666666666666742,0.0,-0.8666666666666742,1,2.02903527839603,6.0871058351880905
7,18,8170018,0.0,0.0,0.0,0,0.0,0.0
7,19,8170019,-0.3333333333333333,0.0,-0.3333333333333333,2,2.7079595802990633,6.421311178395193
7,20,8170020,0.18846517505608062,0.4275659208613736,-0.6666666666666666,2,16.941433517614218,33.1684788627025
