day,delta_J,delta_distance,delta_max_tardiness,delta_on_time,delta_tardiness
2,-0.16936822240170574,-0.2849999999999985,0.04739750707758882,0.00026455026455026544,0.05781588879914636
5,0.08716514722841753,-0.024999999999994315,0.054759933885906276,0.0004444444444444436,0.05608257361420593
7,0.12213671466128828,-0.7099999999999975,0.40341844942421223,0.0010101010101010092,0.41606835733064296
