run_id,day,replicate,path_index,attempt_index,episode_id,vehicle_id,omi,remaining_customers,route_changed,search_gain,incumbent_search_score,selected_search_score,evaluated_candidates,operator_decisions,null_proposals,scenario_evals,recourse_runtime_s,decision_cap_hit,next_node_changed
D02_R01_P017,2,1,17,1,1,4,0.9156325047360054,10,False,0.0,59.900000000000006,59.900000000000006,250,727,477,25100,0.957494875008706,False,False
D02_R01_P017,2,1,17,2,2,4,0.6162072923363242,7,False,0.0,50.400000000000006,50.400000000000006,0,25000,25000,100,5.051933124952484,True,False
D02_R01_P018,2,1,18,1,1,4,0.560046428634785,10,False,0.0,61.30270323748752,61.30270323748752,250,1131,881,25100,1.1107730829971842,False,False
D02_R01_P018,2,1,18,2,2,0,0.8906651328435035,4,False,0.0,26.61627026638312,26.61627026638312,0,25000,25000,100,2.5622501670150086,True,False
D02_R01_P019,2,1,19,1,1,1,0.9740753888231946,10,False,0.0,50.6,50.6,0,25000,25000,100,8.57181891601067,True,False
D02_R01_P019,2,1,19,2,1,5,0.9391645744161613,6,False,0.0,55.56979137303808,55.56979137303808,250,1810,1560,25100,0.7877128749969415,False,False
D02_R01_P019,2,1,19,3,2,0,0.9447451058718174,2,False,0.0,20.3,20.3,0,25000,25000,100,1.4011836670106277,True,False
D02_R01_P020,2,1,20,1,1,4,0.9117259612416267,3,False,0.0,44.7,44.7,0,25000,25000,100,1.919648082985077,True,False
D02_R01_P020,2,1,20,2,1,2,0.8160180384660547,3,False,0.0,23.3,23.3,0,25000,25000,100,1.9124543750076555,True,False
D02_R01_P020,2,1,20,3,2,2,0.9025462464849295,2,False,0.0,23.534457451568507,23.534457451568507,0,25000,25000,100,1.4009713749983348,True,False
D02_R02_P001,2,2,1,1,1,5,0.9485813177921615,10,False,0.0,81.74162704982555,81.74162704982555,250,4377,4127,25100,2.2538495420012623,False,False
D02_R02_P001,2,2,1,2,1,1,0.8942475786650156,11,False,0.0,60.2,60.2,0,25000,25000,100,9.528043000027537,True,False
D02_R02_P001,2,2,1,3,2,2,0.9420651329003795,6,False,0.0,29.567133070432988,29.567133070432988,0,25000,25000,100,3.957319542008918,True,False
D02_R02_P001,2,2,1,4,2,0,0.9202764210237884,4,False,0.0,26.822849814786558,26.822849814786558,0,25000,25000,100,2.520371124963276,True,False
D02_R02_P003,2,2,3,1,1,5,0.9519198123676018,5,False,0.0,49.300000000000004,49.300000000000004,250,1393,1143,25100,0.5887940000393428,False,False
D02_R02_P003,2,2,3,2,1,4,0.720737361582958,10,False,0.0,63.599999999999994,63.599999999999994,250,1049,799,25100,1.0542805000441149,False,False
D02_R02_P004,2,2,4,1,1,1,0.9238901934679674,9,False,0.0,48.4,48.4,0,25000,25000,100,7.142308333015535,True,False
D02_R02_P006,2,2,6,1,1,1,0.6958870650135369,7,False,0.0,45.21965017709865,45.21965017709865,0,25000,25000,100,4.985011541983113,True,False
