metric,n_days,mean_of_day_means,median_day_mean,minimum_day_mean,maximum_day_mean,positive_days,zero_days,negative_days
delta_J,3,0.013311213162666693,0.08716514722841753,-0.16936822240170574,0.12213671466128828,2,0,1
delta_tardiness,3,0.17665560658133175,0.05781588879914636,0.05608257361420593,0.41606835733064296,3,0,0
delta_distance,3,-0.33999999999999675,-0.2849999999999985,-0.7099999999999975,-0.024999999999994315,0,0,3
delta_max_tardiness,3,0.16852529679590245,0.054759933885906276,0.04739750707758882,0.40341844942421223,3,0,0
delta_on_time,3,0.0005730319063652394,0.0004444444444444436,0.00026455026455026544,0.0010101010101010092,3,0,0
