day,metric,full_mean,loo_min_mean,loo_max_mean,loo_positive,loo_zero,loo_negative,maximum_positive_value,maximum_positive_path_index,minimum_value,minimum_path_index,max_abs_loo_shift
2,delta_J,-0.16936822240170576,-0.29999999999999843,-0.09933497094916297,0,0,20,2.3126355519658546,15,-1.5000000000000189,9,0.13063177759829267
2,delta_tardiness,0.05781588879914636,0.0,0.06085883031489091,19,1,0,1.1563177759829273,15,0.0,1,0.05781588879914636
2,delta_distance,-0.2849999999999985,-0.3157894736842105,-0.2210526315789448,0,0,20,0.3000000000000303,1,-1.5000000000000189,9,0.06394736842105367
5,delta_J,0.08716514722841755,-0.041464419913818586,0.2087346808135755,18,0,2,2.531126922930904,4,-2.222655990889583,3,0.12862956714223614
5,delta_tardiness,0.05608257361420593,-0.008549010560316901,0.12366558602082023,19,0,1,1.2840826729301398,6,-1.2279946621114657,3,0.0675830124066143
5,delta_distance,-0.024999999999994315,-0.05964912280701213,0.07894736842105764,2,0,18,0.6333333333333447,13,-1.9999999999999811,5,0.10394736842105196
7,delta_J,0.12213671466128828,-0.7170561819009326,0.5749135935749377,19,0,1,16.066801749343483,5,-8.48062398469805,10,0.8391928965622208
7,delta_tardiness,0.41606835733064296,0.006384189751287297,0.5944743406471166,20,0,0,8.200067541338399,5,-2.973645325682355,10,0.40968416757935566
7,delta_distance,-0.7099999999999975,-0.7473684210526289,-0.5999999999999978,0,0,20,0.0,8,-2.7999999999999923,15,0.10999999999999976
