day,changed_runs,realized_J_positive,realized_J_zero,realized_J_negative,mean_max_conditional_gain,median_max_conditional_gain,mean_realized_delta_J,median_realized_delta_J,pearson_max_gain_vs_delta_J,spearman_max_gain_vs_delta_J,runs_with_cap_during_change
2,21,4,2,15,4.178177868102354,3.2091750561053054,-0.48390920686201644,-0.2000000000000454,-0.6197654860793175,-0.8464308606955038,3
5,18,9,0,9,7.873342511452758,7.011073289097926,0.29055049076139183,0.25,0.34728605812416685,0.36347269174763785,0
7,26,5,1,20,12.605733690697992,11.936511571372606,0.2818539569106648,-0.3000000000000682,-0.077350981062706,-0.06180314431495257,0
