day,metric,mean,median,bootstrap95_low,bootstrap95_high,positive_paths,zero_paths,negative_paths
2,delta_J,-0.1693682224017057,0.0,-0.471666666666665,0.1818953327948795,3,9,8
2,delta_tardiness,0.0578158887991463,0.0,0.0,0.173447666397439,1,19,0
2,delta_distance,-0.2849999999999985,0.0,-0.5050000000000059,-0.0866666666666598,2,10,8
5,delta_J,0.0871651472284175,0.0,-0.3767317319667683,0.5487983006836352,7,6,7
5,delta_tardiness,0.0560825736142059,0.0,-0.1309210262434476,0.2568165345860279,2,17,1
5,delta_distance,-0.0249999999999943,0.0,-0.2999999999999943,0.201666666666668,7,6,7
7,delta_J,0.1221367146612882,-0.0333333333333219,-1.4813478280601622,2.199774606006238,5,4,11
7,delta_tardiness,0.4160683573306429,0.0,-0.2980359121647784,1.3963811557351595,5,13,2
7,delta_distance,-0.7099999999999975,-0.3666666666666552,-1.100000000000002,-0.3716666666666602,0,4,16
