day,path_index,realized_seed,realized_path_hash,static_distance,dddas_distance,static_tardiness,dddas_tardiness,static_J,dddas_J,static_on_time,dddas_on_time,static_max_tardiness,dddas_max_tardiness,delta_distance,delta_tardiness,delta_J,delta_max_tardiness,delta_on_time
2,20,8120020,5ca47eefefeac353706692f0ee0b20c610f680dd7434e09254ec81671215a898,417.8666666666668,417.8666666666668,0.0,0.0,417.8666666666668,417.8666666666668,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,8150001,92d675ee62955edf6155025e3af06604318922531116916039341543c3e00e8e,405.0666666666666,404.59999999999997,0.0,0.0,405.0666666666666,404.59999999999997,1.0,1.0,0.0,0.0,0.46666666666667805,0.0,0.46666666666667805,0.0,0.0
5,2,8150002,6bef4abe2198df4ae77400e7a8689b7201e9f0fd2fbd63dd37f4aaab69377864,405.0666666666666,405.29999999999995,0.0,0.0,405.0666666666666,405.29999999999995,1.0,1.0,0.0,0.0,-0.23333333333332953,0.0,-0.23333333333332953,0.0,0.0
5,3,8150003,ec556f11807ce33613a8b7923b2a07bf18f37a729e9700125b1f11ea06a74f34,405.0666666666666,404.8333333333333,4.542114192250551,5.770108854362017,414.15089505116777,416.3735510420573,0.9955555555555556,0.9955555555555556,4.542114192250551,5.770108854362017,0.2333333333333485,-1.2279946621114657,-2.222655990889583,-1.2279946621114657,0.0
5,4,8150004,229c8b9891968103bd22dfa350f52b7f3cda8c2f7ea51951b3569dd517bae7ff,405.0666666666666,404.6666666666667,8.268102861765897,7.202539400300452,421.60287239019846,419.0717454672675,0.9866666666666667,0.9866666666666667,5.42872009747335,4.363156636007905,0.4000000000000152,1.0655634614654446,2.531126922930904,1.0655634614654446,0.0
5,5,8150005,410c4cb565ccc6f46b8e193b56663350c5e79583b42566d33b5d5414721697ad,405.0666666666666,407.0666666666666,0.0,0.0,405.0666666666666,407.0666666666666,1.0,1.0,0.0,0.0,-1.9999999999999811,0.0,-1.9999999999999811,0.0,0.0
5,6,8150006,81ae6704ff04cae6e39aa050cfe05408fb487a026cd20d693246a190345b56ea,405.0666666666666,405.46666666666664,1.2840826729301398,0.0,407.63483201252694,405.46666666666664,0.9911111111111112,1.0,1.2576298783641466,0.0,-0.39999999999997726,1.2840826729301398,2.1681653458603023,1.2576298783641466,0.008888888888888872
5,7,8150007,2a7602656079e49c0b47eb20de0517c387abc4832313ba1f24dde2841d85b73c,405.0666666666666,405.0666666666666,0.0,0.0,405.0666666666666,405.0666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,8150008,879529979155069adbdcbeb0797c91995b83fa53e3a97a29030fe0f740610e3e,405.0666666666666,405.29999999999995,2.544626601229311,2.544626601229311,410.1559198691252,410.3892532024586,0.9955555555555556,0.9955555555555556,2.544626601229311,2.544626601229311,-0.23333333333332953,0.0,-0.23333333333332953,0.0,0.0
5,9,8150009,e960e8d839f63ded7a4cf1888083df4ad8f64b4f9cbdad474a65113b4dcd1f69,405.0666666666666,405.0666666666666,0.0,0.0,405.0666666666666,405.0666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10,8150010,2ef139c46bd19f15146addbf19ebe8d6ae75c3274aaab41140c5d6850db75ca7,405.0666666666666,405.0666666666666,0.0,0.0,405.0666666666666,405.0666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,11,8150011,e5b8e373bde412d4f0fbf604958c97c52f400d3999858a6bd472b07ef3d2d932,405.0666666666666,405.0666666666666,0.0,0.0,405.0666666666666,405.0666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12,8150012,341d41b433812e337f70908651fc97267050f0b0061f2e0cc89c55be72943834,405.0666666666666,405.7,5.247571848253377,5.247571848253377,415.5618103631734,416.1951436965067,0.9955555555555556,0.9955555555555556,5.247571848253377,5.247571848253377,-0.6333333333333258,0.0,-0.6333333333333258,0.0,0.0
5,13,8150013,0e0922876b543d52a0d1b9ba82705797638af492aa4ff74ac07668e6f2148c1c,405.0666666666666,404.43333333333334,0.09007698170773892,0.09007698170773892,405.24682063008214,404.6134872967488,0.9955555555555556,0.9955555555555556,0.09007698170773892,0.09007698170773892,0.6333333333333447,0.0,0.6333333333333447,0.0,0.0
5,14,8150014,0b572e85655e7acbbced3379f7c86c94d3081e1049d40dd44cfbf7e6bbc31e3e,405.0666666666666,405.0666666666666,0.3292921820781582,0.3292921820781582,405.7252510308229,405.7252510308229,0.9955555555555556,0.9955555555555556,0.3292921820781582,0.3292921820781582,0.0,0.0,0.0,0.0,0.0
5,15,8150015,5403d0ba5ee20105af990d0bc9318fda986bc5fab112c66d555b311c82509a23,405.0666666666666,405.29999999999995,2.3457161355693756,2.3457161355693756,409.7580989378054,409.99143227113876,0.9955555555555556,0.9955555555555556,2.3457161355693756,2.3457161355693756,-0.23333333333332953,0.0,-0.23333333333332953,0.0,0.0
5,16,8150016,61772dbf10ffb885ed4122f9bc6c2fa1f3f22a427b5cdab2db457bff8d58e547,405.0666666666666,404.43333333333334,0.0,0.0,405.0666666666666,404.43333333333334,1.0,1.0,0.0,0.0,0.6333333333333258,0.0,0.6333333333333258,0.0,0.0
5,17,8150017,a893b130d47c73ccd83d3d8b99e9c31777ec53ffa145795674858af3b6a02fbd,405.0666666666666,404.43333333333334,1.3995757921732281,1.3995757921732281,407.8658182510131,407.2324849176798,0.9955555555555556,0.9955555555555556,1.3995757921732281,1.3995757921732281,0.6333333333333258,0.0,0.6333333333333258,0.0,0.0
5,18,8150018,2a34a78934d3364b2cd961b0985b19d24b8f1fa3d7719020902d302840c6c9ac,405.0666666666666,405.0666666666666,3.391979594873694,3.391979594873694,411.85062585641396,411.85062585641396,0.9822222222222222,0.9822222222222222,3.084331765601481,3.084331765601481,0.0,0.0,0.0,0.0,0.0
5,19,8150019,468cf15bfb4ebc636947995c91d5bc8d5c232707c7b91856a57e9cfc7c8fc053,405.0666666666666,404.59999999999997,0.0,0.0,405.0666666666666,404.59999999999997,1.0,1.0,0.0,0.0,0.46666666666667805,0.0,0.46666666666667805,0.0,0.0
