run_id,day,replicate,path_index,realized_seed,realized_path_hash,static_distance,dddas_distance,static_tardiness,dddas_tardiness,static_J,dddas_J,static_on_time,dddas_on_time,static_max_tardiness,dddas_max_tardiness,delta_distance,delta_tardiness,delta_J,delta_max_tardiness,delta_on_time,episodes,recourse_attempts,route_changes,evaluated_candidates,operator_decisions,null_proposals,decision_cap_terminations,scenario_evaluations,dddas_wall_seconds
D02_R01_P016,2,1,16,8120016,57d446d9605a501eb541ca623ab01795110dc003e51065557a8e0b69b4027f07,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,750,7330,6580,0,75300,3.960747791978065
D02_R01_P017,2,1,17,8120017,6d15efd29539274776e153f4e11729cb1b4b5848f9efa7f8d4b0411c00a90e1c,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,250,25727,25477,1,25200,6.427851833985187
D02_R01_P018,2,1,18,8120018,24bda18011f210be87ed360a74390b55ccd142e0bfefdc0edcef7716f9ecd709,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,250,26131,25881,1,25200,4.091492959007155
D02_R01_P019,2,1,19,8120019,467bc5fe41fa38ec97e075ad761b09508b03aeefd6d04a67f701610410b42f04,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,250,51810,51560,2,25300,11.384136374981608
D02_R01_P020,2,1,20,8120020,5ca47eefefeac353706692f0ee0b20c610f680dd7434e09254ec81671215a898,417.6000000000002,417.6000000000002,0.0,0.0,417.6000000000002,417.6000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0,75000,75000,3,300,5.852709624974523
D02_R02_P001,2,2,1,8120001,b013e7a807f3f3f41356bacb8e72620ad8d446867d915ec782ecd1a41fad05fd,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,250,79377,79127,3,25400,19.067961500026286
D02_R02_P002,2,2,2,8120002,b5bfc43cf96dc1f1cab416d08e5e5397e8d0fb2953b98e67b2fb66e9a17a91aa,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0008290419937111437
D02_R02_P003,2,2,3,8120003,e88ff630ec7361d9c824d608741efb10e3440591d36d91ac228097db550b6c65,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,500,2442,1942,0,50200,2.052526500017848
D02_R02_P004,2,2,4,8120004,a86b7cda74612e6b34481d3362ce295870344403ab20b4af433edf987260a745,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,25000,25000,1,100,7.349170458037406
D02_R02_P005,2,2,5,8120005,5efb4d9a76f658ed49101958345934e1b00702248d13bd4123caaeea664b3756,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0006570410332642496
