day,metric,n_realized_paths,mean,sd,median,q25,q75,min,max,bootstrap95_low,bootstrap95_high,positive_paths,zero_paths,negative_paths
2,delta_J,20,-0.16936822240170574,0.7610439955823253,0.0,-0.6333333333333258,0.0,-1.5000000000000189,2.3126355519658546,-0.471666666666665,0.18189533279487952,3,9,8
2,delta_tardiness,20,0.05781588879914636,0.2585605150689199,0.0,0.0,0.0,0.0,1.1563177759829273,0.0,0.17344766639743908,1,19,0
2,delta_distance,20,-0.2849999999999985,0.4923359999452755,0.0,-0.6333333333333258,0.0,-1.5000000000000189,0.3000000000000303,-0.5050000000000059,-0.08666666666665984,2,10,8
2,delta_max_tardiness,20,0.04739750707758882,0.21196809557903198,0.0,0.0,0.0,0.0,0.9479501415517765,0.0,0.14219252123276646,1,19,0
2,delta_on_time,20,0.00026455026455026544,0.001183104749999893,0.0,0.0,0.0,0.0,0.005291005291005309,0.0,0.0007936507936507964,1,19,0
5,delta_J,20,0.08716514722841753,1.079804237637136,0.0,-0.23333333333332953,0.50833333333334,-2.222655990889583,2.531126922930904,-0.3767317319667683,0.5487983006836352,7,6,7
5,delta_tardiness,20,0.05608257361420593,0.47180279054974633,0.0,0.0,0.0,-1.2279946621114657,1.2840826729301398,-0.13092102624344762,0.25681653458602793,2,17,1
5,delta_distance,20,-0.024999999999994315,0.5902596316440202,0.0,-0.23333333333332953,0.4166666666666809,-1.9999999999999811,0.6333333333333447,-0.2999999999999943,0.201666666666668,7,6,7
5,delta_max_tardiness,20,0.054759933885906276,0.4682024013717343,0.0,0.0,0.0,-1.2279946621114657,1.2576298783641466,-0.13092102624344762,0.24340441564052825,2,17,1
5,delta_on_time,20,0.0004444444444444436,0.001987615979999809,0.0,0.0,0.0,0.0,0.008888888888888872,0.0,0.001333333333333331,1,19,0
7,delta_J,20,0.12213671466128828,4.3259262829213485,-0.03333333333332197,-0.5166666666666515,0.047116293764020156,-8.48062398469805,16.066801749343483,-1.4813478280601622,2.199774606006238,5,4,11
7,delta_tardiness,20,0.41606835733064296,2.026729362666399,0.0,0.0,0.1068914802153434,-2.973645325682355,8.200067541338399,-0.2980359121647784,1.3963811557351595,5,13,2
7,delta_distance,20,-0.7099999999999975,0.857311178126332,-0.36666666666665526,-1.0083333333333304,-0.03333333333332197,-2.7999999999999923,0.0,-1.1000000000000019,-0.3716666666666602,0,4,16
7,delta_max_tardiness,20,0.40341844942421223,1.9530087186881615,0.0,0.0,0.00012103989581646601,-2.973645325682355,7.93315763169566,-0.27598623652516685,1.3453922708987327,5,14,1
7,delta_on_time,20,0.0010101010101010092,0.0035144059289821147,0.0,0.0,0.0012626262626262614,-0.005050505050505046,0.010101010101010091,-0.0005050505050505046,0.0025252525252525233,5,13,2
