day,runs,episodes,recourse_attempts,route_changes,decision_cap_terminations,scenario_evaluations,dddas_wall_seconds,route_change_per_attempt,cap_termination_per_attempt
2,60,110,151,24,62,2240500,399.0425522501464,0.15894039735099338,0.4105960264900662
5,60,151,199,23,83,2991000,635.2202490430791,0.11557788944723618,0.41708542713567837
7,60,130,173,40,49,3161800,358.1984433742473,0.23121387283236994,0.2832369942196532
