method,distance_km,nominal_tardiness_min,over_weight_kg,over_volume_m3,tard_mean,tard_std,tard_var95,tard_cvar95,on_time_mean,max_tard_mean,omi_exposure_mean,omi_exposure_max,J_mean_test,J_cvar_test,training_runtime_s,search_runtime_s,test_runtime_s,training_scenario_evals,validation_scenario_evals,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals
Uniform-CVaR-GRUseed,376.6999999999999,0.0,0.0,0.0,0.3659541227848063,1.1599350654754796,2.629173814169633,4.622969354007922,0.9967820512820512,0.33165921368292284,0.05300923790476531,0.8595019459528728,377.4319082455695,385.9459387080157,0.00035604200093075633,27.9233427500003,0.44523704099992756,0,0,25100,250,265,15
ALNS-CVaR,372.69999999999993,0.0,0.0,0.0,0.5509758175516046,2.3378674889243882,3.6296049225602474,8.52934111713651,0.9979743589743589,0.4851946847763803,0.05211828008935459,0.8656529431455474,373.80195163510314,389.75868223427295,0.0,38.52484087499943,0.4547437090004678,0,0,25100,250,311,61
Uniform-CVaR-FFseed,380.5999999999999,0.0,0.0,0.0,0.9264717556276894,2.8451482986467154,6.3092237370482,11.17999340108818,0.9970128205128206,0.8252795824410049,0.052613527007708195,0.8588583763170857,382.4529435112553,402.9599868021763,0.00034500000037951395,28.221533582998745,0.4501496249995398,0,0,25100,250,260,10
ALNS-Mean,368.79999999999995,0.0,0.0,0.0,2.798590281613575,8.596067249376214,12.167030220537129,33.242258751681064,0.993628205128205,1.9118487133282642,0.052217936812297,0.8584527718157261,374.3971805632271,435.28451750336205,0.0,33.58674266699927,0.4570962090001558,0,0,25100,250,285,35
Uniform-Mean-FFseed,368.79999999999995,0.0,0.0,0.0,2.798590281613575,8.596067249376214,12.167030220537129,33.242258751681064,0.993628205128205,1.9118487133282642,0.052217936812297,0.8584527718157261,374.3971805632271,435.28451750336205,0.0003672920011013048,35.42878670900063,0.4518844580015866,0,0,25100,250,282,32
Uniform-Mean-GRUseed,368.79999999999995,0.0,0.0,0.0,2.798590281613575,8.596067249376214,12.167030220537129,33.242258751681064,0.993628205128205,1.9118487133282642,0.052217936812297,0.8584527718157261,374.3971805632271,435.28451750336205,0.0003574580005079042,31.521062916999654,0.4515456669996638,0,0,25100,250,274,24
OR-Tools,367.20000000000005,0.0,0.0,0.0,13.540745918133332,16.389166153929906,45.63564992786513,64.84950075911574,0.9731923076923077,7.047313051187351,0.051928656139635175,0.8488664471797265,394.2814918362667,496.89900151823156,0.0,0.0,0.4534484579999116,0,0,0,0,0,0
ALNS-Nominal,366.8999999999999,0.0,0.0,0.0,22.167462562918388,15.054024291502515,49.43392016693892,64.94141598639006,0.9737435897435899,17.926077941506943,0.05251309726444518,0.8584794793864275,411.2349251258367,496.78283197278006,0.0,33.79746520799927,0.4525025420007296,0,0,0,250,332,82
