scenario_id,eta_0p00__OR-Tools,eta_0p00__ALNS-Mean,eta_0p00__ALNS-CVaR,eta_0p35__OR-Tools,eta_0p35__ALNS-Mean,eta_0p35__ALNS-CVaR,eta_0p70__OR-Tools,eta_0p70__ALNS-Mean,eta_0p70__ALNS-CVaR
0,6.865358654581286,0.0,0.0,15.445995153285082,0.0,0.0,21.18770114210335,20.55951275999172,0.0
1,10.756798091013735,0.23851938066849243,0.0,4.5746606594194645,0.05731988892515005,0.05731988892515005,1.5324555313812311,0.0,0.0
2,6.857747091427285,0.0,0.0,12.816776571883452,0.0,0.0,65.23478601471876,26.743314629905058,0.0
3,7.64752239883137,0.0,0.0,1.8010000496954603,0.0,0.0,1.8010000496954603,0.0,0.0
4,9.946210004411057,0.0,0.0,18.0334988520344,0.0,0.0,14.261516858466791,0.0,0.0
5,11.482136464848793,0.0,0.0,13.56892127856517,1.4965960874403095,0.0,12.076904782344712,0.0,0.0
6,0.0,0.5969192492665911,0.0,0.0,0.5969192492665911,0.0,0.0,0.5969192492665911,0.5969192492665911
7,4.183499142942594,0.0,0.0,4.398833862926892,0.0,0.0,61.8734980754642,0.0,0.0
8,27.000068020962573,1.5599257052844564,0.0,54.24696692300407,0.0,0.7390185575816872,26.573516523077387,0.0,0.0
9,5.150748627911867,0.0,0.0,5.77640009170932,0.0,0.0,23.048510268069293,0.0,0.0
10,3.2058372787207645,1.2170026123525304,0.0,0.8143319243549172,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,3.0402030595591043,0.0,0.0,7.2502038329175775,0.0,0.0
12,2.4209478346940045,0.9281689446011683,0.0,6.651755967934037,0.0,0.0,1.8269379399405352,0.0,0.0
13,10.930929708791467,0.7698368736690213,0.0,12.871924355550476,2.148864387213223,2.148864387213223,6.208569891149324,0.0,0.0
14,20.2809453794776,7.790862902391353,3.837307837278047,23.489135705664097,0.0,0.0,31.211607713173834,3.047973574399407,10.17443936028917
15,11.214247383010587,0.0,0.0,2.1401033650915906,0.0,0.0,1.9085239078588074,0.0,0.0
16,23.78566798645113,0.3770294059993944,0.0,34.550614341457646,0.6351333748760339,0.0,31.049205889397058,0.3770294059993944,0.3770294059993944
17,1.9135281321769924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,7.561314848384939,0.0,0.0
19,17.09705468651643,0.0,0.0,9.40958386897205,0.0,0.0,9.471697853723782,0.0,0.0
20,34.18837396814928,1.7037760282775878,0.0,53.88747377609974,0.0,0.0,29.462659325198274,0.0,0.0
21,20.818352400626082,0.0,0.0,20.794588026079396,0.0,0.0,21.02677097657059,0.0,0.0
22,3.6203100626978824,0.047331087116191384,0.0,9.560744262469427,0.0,0.0,3.194518576524274,1.2941490080984295,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,11.740013618995931,0.0,0.0
24,0.9409903787800431,0.0,0.0,1.2921414886559432,0.0,0.0,0.8309261302181881,0.0,0.0
25,22.524902312687658,1.6887017792333552,0.0,20.07348379622772,0.15164229861494505,0.0,19.815479824764623,0.15164229861494505,0.15164229861494505
26,4.951473662027297,0.0,0.0,4.951473662027297,0.0,0.0,4.951473662027297,8.293890695661275,0.0
27,40.85021161157087,0.09691638778883771,0.0,40.18757803347364,0.0,0.0,39.283662932264235,0.0,0.0
28,10.66941816517172,0.0,0.0,7.644610951280185,0.0,0.0,7.644610951280185,0.0,0.0
29,0.3778630429164309,0.0,0.0,0.15913111004255143,0.0,0.0,21.29432018668689,26.782770655966544,4.091199391976318
30,17.222057236959444,4.583217050382444,0.0,12.409370691265536,0.0,0.0,12.383574466310932,0.0,0.0
31,12.827080570319964,0.0,0.0,75.12903361081399,0.0,0.0,11.649769478884593,0.0,0.0
32,17.30305523413415,0.0,0.0,16.79778755879977,0.0,0.0,16.79778755879977,0.0,0.0
33,0.5219217036247983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,12.013423577275574,1.7447380932125611,0.0,10.456972632266911,0.0,5.997047423068693,13.196216657666554,3.442082414625304,3.442082414625304
35,16.498708905490076,0.0,0.0,17.03446182288991,3.4710326775892213,0.0,64.62369114230452,18.288449162980044,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,3.410073310770599,3.3805280386179675,3.3805280386179675
38,4.604742782815748,2.839973173175366,0.0,13.985836052129486,0.0,1.087603360949288,10.52368759325978,0.0,0.0
39,15.770793255922968,11.654793884342553,0.0,6.353518025207876,0.0,0.0,30.439087774374315,0.0,0.0
40,11.338390149934781,0.24893909758998234,0.0,8.931881920897013,0.24893909758998234,0.0,8.302775073429672,0.24893909758998234,0.24893909758998234
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,15.201123938676375,0.6853387358040948,0.0,8.448128501525417,0.0,0.0,7.5652381519298615,0.0,0.0
43,16.247194746889164,0.0,0.0,19.349377403340014,0.0,0.0,14.932804904362087,0.0,0.0
44,25.505720241027632,1.2278011926747183,0.0,113.1249130376955,0.0,8.312132036892478,47.2295143221892,0.0,0.0
45,20.376872563823554,0.0,0.0,19.511716838194303,0.0,0.0,17.907692920118393,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,9.907613993008994,0.0,0.0,24.500878677230844,0.0,0.0,0.0,0.794982207486953,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,2.1829476575883575,0.0,0.0
49,10.128180796024651,1.2906322237413974,0.0,3.7890513846839156,0.0,0.0,23.670496058538873,0.0,0.0
50,0.0,0.0,0.0,0.0,15.233104665024086,0.0,23.167014933032192,0.0,0.0
51,18.481235107064975,0.16139938230895723,0.0,158.23810563453085,0.45965593782858605,7.281345541190774,20.220613397254795,0.0,0.0
52,3.5268853411503187,0.49391266356320784,0.0,8.636623265050815,0.49391266356320784,0.0,3.6724085031105176,0.49391266356320784,0.49391266356320784
53,6.799748951015857,0.0,0.0,6.993328318271722,0.0,0.0,11.065390009432548,0.0,0.0
54,23.221235204007854,0.0,0.0,14.172970449135306,0.0,0.0,8.181221197644106,0.0,0.0
55,0.32419410597833576,0.0,0.0,0.31910324330576145,0.0,0.0,0.8656176206801263,0.0,0.0
56,1.6640047272349534,0.0,0.0,25.48522392822298,0.0,0.7655842585874097,1.7701529955315323,0.0,0.0
57,12.18120355687384,0.0,0.0,9.402611311759898,0.0,0.0,13.84142238627868,0.0,0.0
58,1.0092503085946305,0.0,0.0,0.08454548627855729,0.0,0.0,0.5398902702697796,0.0,0.0
59,13.487650656501842,2.145550313089416,0.0,26.460034483801707,7.225988210512696,4.945465474730156,32.46889465166083,0.0,0.0
60,38.01253865681511,0.0,0.0,21.743089505668223,0.0,0.0,12.321628299997116,0.0,0.0
61,11.91050441181568,0.7280582729612206,0.0,69.9690907412544,0.7362596895002866,1.562934890542465,10.777649403806805,0.728042270626645,0.728042270626645
62,14.68471219603154,0.0,0.0,11.253032988006225,0.0,0.0,10.936280679497543,0.0,0.0
63,15.581442593409037,1.6825041085624548,0.0,20.03463897855994,0.0,0.0,77.82821312897715,0.0,0.0
64,11.586801254783524,2.597424309249675,0.0,15.91150200934456,4.217346242482222,0.0,19.002546545084215,0.516227543181742,0.516227543181742
65,14.72562660029709,0.0,0.0,5.118927393210299,0.0,0.0,5.160333553099122,0.0,0.0
66,7.38014233067932,0.0,0.0,6.30701197155318,0.0,0.0,6.30701197155318,0.0,0.0
67,1.509853718043928,0.0,0.0,2.307789143720697,2.7245813317776992,0.0,0.7553160244552828,0.0,0.0
68,6.320317847378675,0.0,0.0,4.243192777134908,0.0,0.0,4.243192777134908,0.0,0.0
69,0.0,0.0,0.0,0.4465962132886716,0.0,0.0,0.0,0.0,0.0
70,35.87848933350273,0.0,0.0,6.906755724484896,0.0,0.0,6.688637427413511,10.349079766586271,0.0
71,30.046579549698237,0.0,0.0,25.832270289820173,0.0,0.0,20.136317007493375,0.0,0.0
72,43.85568554577483,15.363653944498282,0.16645020563981916,2.2284811419406196,0.0,0.0,2.123255865080921,0.0,0.0
73,15.404142186705627,0.0,0.0,18.900360979155238,0.0,0.0,12.95720850664037,1.399744044081757,1.399744044081757
74,0.0,0.0,0.0,0.0,0.0,0.0,7.181013884559036,4.8892663810957515,0.0
75,7.444311013572076,0.0,0.0,7.556877703721341,0.0,0.0,2.696907885616042,0.0,0.0
76,17.891028325540674,0.0,0.0,16.981202996484285,0.0,0.0,10.436161687801729,0.0,0.0
77,7.526137672631904,0.0,0.0,15.494341810853655,0.0,0.0,1.514437361486216,1.3413820977621356,1.3413820977621356
78,4.446593620040119,0.0,0.0,2.6161846021419137,2.8268084082759515,0.0,0.0,0.0,0.0
79,1.981543207739037,0.5039726609536501,0.0,2.5076277724359386,0.0,0.0,1.03051497825507,0.0,0.0
80,7.553620302852835,1.3128721602015503,0.0,2.3812564384589336,0.06767532921458042,0.0,0.0,0.0,0.0
81,23.755230175687984,0.3550515217451675,0.0,22.055648615575393,0.3550515217451675,0.0,18.177716117867277,0.3550515217451675,0.3550515217451675
82,2.6713595024486096,0.0,0.0,1.487329083958997,0.0,0.0,7.97991694783218,0.0,0.0
83,8.040442177006696,0.3324953747738846,0.0,13.12766745820727,0.0,13.31029029134271,2.857221859319168,0.0,0.0
84,56.08704677764899,35.937462038369176,0.0,25.309364001305426,0.6093060672139359,0.0,61.39148969427211,2.9568208248941232,2.9568208248941232
85,0.0,0.0,0.0,0.45229858952529867,0.0,0.0,49.367922555916294,0.0,0.0
86,2.6861652418882613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,21.728272040443386,3.977146683413082,0.0,29.43132698128494,1.5316287676728848,0.0,0.5855757053972752,0.0,0.0
88,18.202774779947646,0.0,0.0,13.220283642552317,0.0,0.0,10.779102158545982,0.0,0.0
89,13.5124710895862,11.596757980187533,0.0,0.25724364700414526,0.0,0.0,0.0,0.0,0.0
90,10.983995123507611,0.0,0.0,21.39747895272515,0.0,0.0,9.187986665193193,0.0,0.0
91,22.92946748968572,0.0,0.0,19.079192487409983,0.0,0.0,13.003663892473838,15.823446027355828,0.0
