target_day,source_replicate,method,risk_mode,initial_distance_km,tw_scale,distance_km,tard_mean,tard_std,tard_cvar95,on_time_mean,omi_exposure_mean,J_aligned,J_mean_test,J_cvar_test,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals,search_runtime_s,source_model,weights_unchanged
3,3,RL-FF-Mean,mean,396.3999999999998,180.0,396.4999999999999,1.6473994446182383,5.211615891212577,20.52086513254605,0.9958955223880596,0.05385639916403593,399.79479888923635,399.79479888923635,437.541730265092,25100,250,280,30,20.281598916000803,R3_REWARDFIX_VAL5_OUTPUT/replicate_03/models/RL-FF-Mean.pt,True
3,3,RL-GRU-Mean,mean,396.3999999999998,180.0,397.79999999999984,1.0407865359831616,4.109592524583859,13.540847556107469,0.9956567164179104,0.053957547309932304,399.88157307196616,399.88157307196616,424.8816951122148,25100,250,289,39,21.60289491700678,R3_REWARDFIX_VAL5_OUTPUT/replicate_03/models/RL-GRU-Mean.pt,True
3,3,Uniform-Mean,mean,396.3999999999998,180.0,396.8999999999998,0.8121725435840629,4.353430042805545,13.433969555398065,0.9973432835820895,0.0544718924667481,398.52434508716794,398.52434508716794,423.76793911079596,25100,250,277,27,20.038614542005234,NONE,True
3,3,RL-FF-CVaR,cvar,396.3999999999998,180.0,397.59999999999985,0.8718346634226205,2.8879768468792673,10.63622484381393,0.995776119402985,0.054892938643125104,418.8724496876277,399.3436693268451,418.8724496876277,25100,250,278,28,19.748501707996184,R3_REWARDFIX_VAL5_OUTPUT/replicate_03/models/RL-FF-CVaR.pt,True
3,3,RL-GRU-CVaR,cvar,396.3999999999998,180.0,397.19999999999976,1.062781971210327,4.12559885679756,13.692809448527163,0.9955373134328357,0.05451081736355144,424.5856188970541,399.3255639424204,424.5856188970541,25100,250,287,37,21.801179292000597,R3_REWARDFIX_VAL5_OUTPUT/replicate_03/models/RL-GRU-CVaR.pt,True
3,3,Uniform-CVaR,cvar,396.3999999999998,180.0,396.3999999999998,0.6422691287729678,3.5684183100313316,10.86688823785562,0.9978208955223882,0.05430784074958251,418.13377647571104,397.68453825754574,418.13377647571104,25100,250,263,13,17.962563374996535,NONE,True
