contrast,n_replicates,positive_replicates,ties,negative_replicates,note
Jcvar_gain_mean_minus_cvar,27,20,1,6,Descriptive only; replicates are not the cross-day inference unit.
tail_gain_mean_minus_cvar,27,24,1,2,Descriptive only; replicates are not the cross-day inference unit.
