day,replicate,Jcvar_gain_mean_minus_cvar,tail_gain_mean_minus_cvar,Jmean_gain_OR_minus_ALNSMean,Jcvar_gain_OR_minus_ALNSCVAR,tail_gain_OR_minus_ALNSCVAR
1,1,19.759803734774152,11.529901867387082,1.215403115765298,22.66361032393513,13.131805161967591
1,2,0.23095755567146625,0.7654787778356837,1.022004930495882,7.728987529662675,5.064493764831303
1,3,11.64560784835993,8.072803924179897,1.6113059490971864,23.653549410709843,14.626774705354867
2,1,5.897976308225964,2.2489881541130408,6.574387798992404,61.81218414527416,34.456092072637134
2,2,8.064154323886328,6.4820771619432005,8.715208803927226,62.22720688655613,36.11360344327807
2,3,0.9191460247172927,3.5595730123585323,11.674268330068344,55.376686117118936,30.188343058559383
3,1,0.0,0.0,6.567050327137963,22.046544196798664,11.423272098399318
3,2,9.099476574193034,4.699738287096517,6.599670456721299,24.059110423341338,12.429555211670673
3,3,-3.6035785153260917,-0.2517892576630416,6.13342835409378,6.140886769937765,5.320443384968911
4,1,-0.44549433279388495,5.777252833603148,10.920652607111322,33.608275009400245,24.904137504700195
4,2,-1.6410077556388956,2.679496122180531,7.083801754850754,23.359428175008873,18.429714087504415
4,3,36.9138682261339,29.20693411306683,4.01220098455201,46.91074224213378,33.605371121066824
5,1,13.77779612348968,10.988898061744857,37.155645118231234,96.39539938066571,51.94769969033281
5,2,-16.97121777370552,1.6643911131473246,38.372910002466426,78.48371164962515,50.0918558248126
5,3,8.511540856052875,4.055770428026487,41.254204139929584,128.25284364196403,63.87642182098203
6,1,7.3667395900226325,6.283369795011286,27.99853829036971,120.34150180532725,66.37075090266363
6,2,-14.442200220085795,-6.5211001100429336,32.77114807264712,109.96921547484897,57.334607737424435
6,3,33.97959863347569,14.63979931673781,21.38174049052327,134.40127488630696,70.30063744315346
7,1,-4.240014998541028,0.4299925007294121,3.838589605895379,9.762171750457128,7.731085875228551
7,2,8.496364694092279,11.298182347046165,3.639170411324244,17.488847682953292,15.944423841476677
7,3,28.313021281295164,16.556510640647566,3.247059921926507,35.9144598768126,20.507229938406297
8,1,13.048307683345683,13.474153841672766,9.281504532907093,63.72907662574846,40.36453831287408
8,2,6.029850568791289,6.664925284395579,7.2646589844442815,44.33344718953572,25.116723594767706
8,3,21.608287686184667,14.454143843092417,10.498580010196576,45.6951525030222,27.14757625151112
9,1,1.8314775558072824,2.7157387779035957,23.059688927567606,59.88681737937401,31.393408689687018
9,2,31.299980589817892,20.69999029490888,25.8389893778795,84.91728147607432,45.958640738037154
9,3,7.055770432875818,4.277885216437859,29.21446022213854,77.0355798713498,38.01778993567493
