day,replicate,method,n_customers,horizon_min,seed_search,seed_test,seed_algorithm,hawkes_mu,hawkes_beta,hawkes_eta,kappa,distance_km,nominal_tardiness_min,tard_mean,tard_std,tard_var95,tard_cvar95,on_time_mean,max_tard_mean,omi_exposure_mean,omi_exposure_max,route_sampled_multiplier_mean,J_mean_test,J_cvar_test,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals,search_runtime_s,external_wall_s
1,1,OR-Tools,78,523.8340263032226,143001,144001,0,0.01,0.6,0.35,0.9,365.1,0.0,2.1490964780361157,4.445202442410806,11.078643152125837,16.83101985282307,0.9937820512820512,1.9517457981059263,0.0533843706633576,0.8710324508873738,1.048045933597022,369.3981929560722,398.7620397056461,0,0,0,0,0.0,0.0
1,1,ALNS-Mean,78,523.8340263032226,143001,144001,152001,0.01,0.6,0.35,0.9,365.4,0.0,1.3913949201534266,3.882364046676567,9.39186918637796,15.22911655824256,0.9965641025641024,1.3204576863043456,0.0539855038748325,0.871658138686399,1.048586953487349,368.1827898403069,395.8582331164851,25100,250,384,134,48.79708179199952,48.84119337499942
1,1,ALNS-CVaR,78,523.8340263032226,143001,144001,153001,0.01,0.6,0.35,0.9,368.7,0.0,0.1854537752933098,1.30599892962254,0.4098268771621747,3.6992146908554777,0.9992692307692308,0.1770198570479339,0.0534935300861739,0.8678132304674914,1.0481441770775566,369.0709075505866,376.09842938171096,25100,250,280,30,30.39499437500126,30.43618979200255
1,2,OR-Tools,78,523.8340263032226,243001,244001,0,0.01,0.6,0.35,0.9,365.1,0.0,1.6820328405172762,3.5830669292729183,10.104938312384036,13.806039313913066,0.9948333333333332,1.534853652711254,0.0510831019047694,0.8732807228088048,1.0459747917142923,368.4640656810345,392.7120786278261,0,0,0,0,0.0,0.0
1,2,ALNS-Mean,78,523.8340263032226,243001,244001,252001,0.01,0.6,0.35,0.9,366.2,0.0,0.6210303752693387,2.3445711107609735,5.103272186057552,9.507024326917447,0.9983076923076922,0.6067307720601247,0.0516772012238951,0.873216153752298,1.0465094811015057,367.44206075053864,385.2140486538349,25100,250,369,119,47.01697433300069,47.06203720799749
1,2,ALNS-CVaR,78,523.8340263032226,243001,244001,253001,0.01,0.6,0.35,0.9,367.49999999999994,0.0,0.7581655900496905,2.2002517564884108,5.553996412713161,8.741545549081764,0.9970641025641024,0.7017774828235795,0.0515474446206703,0.8706192205849502,1.0463927001586033,369.0163311800993,384.9830910981634,25100,250,289,39,31.554987082996377,31.59600454199608
1,3,OR-Tools,78,523.8340263032226,343001,344001,0,0.01,0.6,0.35,0.9,365.1,0.0,2.002042058331848,4.20523753512843,11.299245898254128,16.44515498394079,0.9939102564102564,1.7994597383363649,0.0534365486821007,0.8671043584302397,1.0480928938138907,369.10408411666367,397.9903099678816,0,0,0,0,0.0,0.0
1,3,ALNS-Mean,78,523.8340263032226,343001,344001,352001,0.01,0.6,0.35,0.9,366.2,0.0,0.646389083783249,2.642391367048379,4.829965981368218,9.89118420276582,0.9980769230769232,0.6222089123166163,0.0536672990021096,0.8638453479916808,1.0483005691018987,367.4927781675665,385.9823684055317,25100,250,296,46,34.298788708001666,34.34192199999961
1,3,ALNS-CVaR,78,523.8340263032226,343001,344001,353001,0.01,0.6,0.35,0.9,370.69999999999993,0.0,0.090919013929296,0.5817326214855604,0.0,1.818380278585921,0.999448717948718,0.090919013929296,0.0535519261442954,0.8596912486025001,1.048196733529866,370.8818380278585,374.3367605571718,25100,250,274,24,28.039796292003302,28.07991566700366
2,1,OR-Tools,63,534.4851102574896,1143001,1144001,0,0.01,0.6,0.35,0.9,410.5000000000001,0.0,8.079647311625193,9.82613288289888,27.72259945551778,38.16100626931565,0.9767460317460318,5.682358822966271,0.0535410380109874,0.8462695084879381,1.0481869342098886,426.6592946232505,486.8220125386314,0,0,0,0,0.0,0.0
