method,n_days,customers_mean,distance_mean_km,distance_sd_across_days,tard_mean_min,tard_mean_sd_across_days,tard_cvar95_mean_min,tard_cvar95_sd_across_days,on_time_mean,J_mean,J_cvar,search_runtime_mean_s,external_wall_mean_s
ALNS-CVaR,9,72.55555555555556,406.54814814814813,29.5112130813165,1.918363599956132,1.5815205338278764,15.84316478301833,8.993782839462467,0.9944775592494981,410.3848753480604,438.2344777141848,23.77657210655646,23.816026930593647
ALNS-Mean,9,72.55555555555556,400.60740740740744,27.498933200407905,3.2398421397401798,2.1106108949328006,23.119205758853905,11.269252214615117,0.9910749559905772,407.0870916868878,446.8458189251153,28.679565726777653,28.722166714370328
OR-Tools,9,72.55555555555556,398.8666666666667,28.101556896371445,11.275884204948703,6.7711048973829095,47.391201679758005,21.102830400460775,0.9754348970779397,421.4184350765641,493.6490700261827,0.0,0.0
