decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
1,0,0,11,1,0,392.6738302055075,392.6738302055075,
2,1,2,10,0,1,387.63654516513833,387.63654516513833,387.63654516513833
3,2,1,12,0,1,383.85422921467074,383.85422921467074,383.85422921467074
4,3,0,9,0,0,383.85422921467074,383.85422921467074,403.38825545429575
5,4,1,12,0,0,383.85422921467074,383.85422921467074,393.6456860528636
6,4,0,10,1,0,383.85422921467074,383.85422921467074,
7,4,1,8,1,0,383.85422921467074,383.85422921467074,
8,4,1,11,1,0,383.85422921467074,383.85422921467074,
9,4,1,9,1,0,383.85422921467074,383.85422921467074,
10,5,0,11,0,0,383.85422921467074,383.85422921467074,392.6738302055075
11,6,1,11,0,0,383.85422921467074,383.85422921467074,403.38825545429575
12,7,2,12,0,0,383.85422921467074,383.85422921467074,390.8580265830686
13,8,2,11,0,0,383.85422921467074,383.85422921467074,384.9542292146707
14,8,1,10,1,0,383.85422921467074,383.85422921467074,
15,8,0,11,1,0,383.85422921467074,383.85422921467074,
16,9,1,8,0,0,383.85422921467074,383.85422921467074,463.6256367509523
17,10,2,8,0,0,383.85422921467074,383.85422921467074,403.38825545429575
18,10,1,12,1,0,383.85422921467074,383.85422921467074,
19,11,1,8,0,0,383.85422921467074,383.85422921467074,403.38825545429575
20,12,0,11,0,0,383.85422921467074,383.85422921467074,399.1072038040071
21,12,0,12,1,0,383.85422921467074,383.85422921467074,
22,13,1,9,0,1,385.2542292146707,383.85422921467074,385.2542292146707
23,14,1,10,0,0,385.2542292146707,383.85422921467074,398.2084072999524
24,15,0,9,0,0,385.2542292146707,383.85422921467074,478.95014365874613
25,15,0,10,1,0,385.2542292146707,383.85422921467074,
26,16,1,11,0,0,385.2542292146707,383.85422921467074,406.19673482580083
27,17,0,12,0,1,383.85422921467074,383.85422921467074,383.85422921467074
28,18,0,11,0,0,383.85422921467074,383.85422921467074,384.77210794685675
29,19,0,10,0,0,383.85422921467074,383.85422921467074,385.8542292146707
30,20,2,9,0,0,383.85422921467074,383.85422921467074,394.3041118414919
31,21,0,11,0,1,384.77210794685675,383.85422921467074,384.77210794685675
32,22,1,9,0,1,392.6738302055075,383.85422921467074,392.6738302055075
33,23,2,11,0,0,392.6738302055075,383.85422921467074,567.0985002976073
34,24,0,11,0,1,376.5216088259341,376.5216088259341,376.5216088259341
35,25,1,11,0,0,376.5216088259341,376.5216088259341,392.6738302055075
36,26,1,11,0,0,376.5216088259341,376.5216088259341,392.6738302055075
37,27,0,10,0,0,376.5216088259341,376.5216088259341,392.6738302055075
38,28,2,12,0,0,376.5216088259341,376.5216088259341,392.6738302055075
39,29,0,10,0,0,376.5216088259341,376.5216088259341,406.32775609075594
40,30,2,9,0,0,376.5216088259341,376.5216088259341,392.6738302055075
41,31,2,10,0,0,376.5216088259341,376.5216088259341,392.6738302055075
42,32,1,11,0,0,376.5216088259341,376.5216088259341,392.6738302055075
43,33,0,9,0,0,376.5216088259341,376.5216088259341,392.6738302055075
44,34,0,10,0,0,376.5216088259341,376.5216088259341,392.6738302055075
45,35,0,10,0,0,376.5216088259341,376.5216088259341,392.6738302055075
46,36,1,11,0,0,376.5216088259341,376.5216088259341,392.6738302055075
47,37,1,12,0,0,376.5216088259341,376.5216088259341,392.6738302055075
48,38,2,10,0,0,376.5216088259341,376.5216088259341,379.18731343466686
49,38,0,10,1,0,376.5216088259341,376.5216088259341,
50,39,2,11,0,0,376.5216088259341,376.5216088259341,392.6738302055075
51,40,0,11,0,0,376.5216088259341,376.5216088259341,392.6738302055075
52,41,1,10,0,0,376.5216088259341,376.5216088259341,396.1079942646859
53,42,0,11,0,0,376.5216088259341,376.5216088259341,388.8255859202985
54,43,1,11,0,0,376.5216088259341,376.5216088259341,399.88338305396974
55,44,0,8,0,0,376.5216088259341,376.5216088259341,392.6738302055075
56,45,0,10,0,0,376.5216088259341,376.5216088259341,410.7438755316008
57,46,1,12,0,0,376.5216088259341,376.5216088259341,388.8255859202985
58,47,0,11,0,0,376.5216088259341,376.5216088259341,392.6738302055075
59,48,2,10,0,1,376.7895015170705,376.5216088259341,376.7895015170705
60,49,0,9,0,1,375.62546443217326,375.62546443217326,375.62546443217326
61,50,1,12,0,0,375.62546443217326,375.62546443217326,392.6738302055075
62,51,0,12,0,0,375.62546443217326,375.62546443217326,382.8350172806356
63,51,0,9,1,0,375.62546443217326,375.62546443217326,
64,52,1,8,0,0,375.62546443217326,375.62546443217326,392.6738302055075
65,53,0,9,0,0,375.62546443217326,375.62546443217326,412.2078564451325
66,54,0,10,0,1,376.5831653007848,375.62546443217326,376.5831653007848
67,55,2,11,0,0,376.5831653007848,375.62546443217326,388.8255859202985
68,56,2,9,0,0,376.5831653007848,375.62546443217326,393.80718924641036
69,57,2,9,0,1,377.34720238568195,375.62546443217326,377.34720238568195
70,58,2,9,0,0,377.34720238568195,375.62546443217326,388.8255859202985
71,59,1,9,0,1,376.38950151707047,375.62546443217326,376.38950151707047
72,60,0,10,0,0,376.38950151707047,375.62546443217326,391.1523231474031
73,61,1,9,0,1,376.48950151707055,375.62546443217326,376.48950151707055
74,61,2,8,1,0,376.48950151707055,375.62546443217326,
75,62,2,11,0,0,376.48950151707055,375.62546443217326,430.1110640402771
76,63,2,12,0,1,377.44720238568203,375.62546443217326,377.44720238568203
77,64,2,10,0,0,377.44720238568203,375.62546443217326,388.8998157347725
78,65,0,8,0,1,377.28181666342147,375.62546443217326,377.28181666342147
79,66,2,10,0,1,376.32411579481,375.62546443217326,376.32411579481
80,67,1,10,0,1,376.7895015170705,375.62546443217326,376.7895015170705
81,68,0,10,0,1,377.747202385682,375.62546443217326,377.747202385682
82,69,1,11,0,1,376.947202385682,375.62546443217326,376.947202385682
83,70,1,10,0,1,374.74720238568204,374.74720238568204,374.74720238568204
84,71,2,11,0,1,375.55871878090045,374.74720238568204,375.55871878090045
85,72,0,9,0,1,376.1587187809005,374.74720238568204,376.1587187809005
86,73,2,9,0,0,376.1587187809005,374.74720238568204,377.90922881218205
87,74,2,12,0,0,376.1587187809005,374.74720238568204,390.3371023155169
88,75,1,8,0,0,376.1587187809005,374.74720238568204,397.0367254487691
89,76,0,10,0,1,382.2283188420855,374.74720238568204,382.2283188420855
90,77,1,10,0,1,375.55871878090045,374.74720238568204,375.55871878090045
91,78,0,12,0,1,374.60101791228897,374.60101791228897,374.60101791228897
92,79,0,10,0,0,374.60101791228897,374.60101791228897,393.48534660072585
93,80,1,11,0,0,374.60101791228897,374.60101791228897,394.1350441519139
94,81,1,12,0,0,374.60101791228897,374.60101791228897,393.48534660072585
95,81,1,8,1,0,374.60101791228897,374.60101791228897,
96,82,1,8,0,0,374.60101791228897,374.60101791228897,393.48534660072585
97,83,0,11,0,0,374.60101791228897,374.60101791228897,393.48534660072585
98,83,0,10,1,0,374.60101791228897,374.60101791228897,
99,84,0,10,0,0,374.60101791228897,374.60101791228897,393.48534660072585
100,85,1,10,0,0,374.60101791228897,374.60101791228897,394.1853466007259
101,86,0,10,0,0,374.60101791228897,374.60101791228897,393.48534660072585
102,87,0,9,0,0,374.60101791228897,374.60101791228897,393.48534660072585
103,88,1,11,0,1,375.55871878090045,374.60101791228897,375.55871878090045
104,89,2,9,0,0,375.55871878090045,374.60101791228897,384.6657456098891
105,90,0,11,0,0,375.55871878090045,374.60101791228897,389.63710231551687
106,91,1,11,0,1,376.0510458508207,374.60101791228897,376.0510458508207
107,92,1,11,0,0,376.0510458508207,374.60101791228897,395.5850720904457
108,93,0,11,0,0,376.0510458508207,374.60101791228897,412.65256604617974
109,94,1,11,0,1,384.6657456098891,374.60101791228897,384.6657456098891
110,94,0,11,1,0,384.6657456098891,374.60101791228897,
111,95,2,12,0,0,384.6657456098891,374.60101791228897,385.58362434207504
112,96,2,10,0,1,385.36574560988913,374.60101791228897,385.36574560988913
113,97,2,9,0,1,384.6657456098891,374.60101791228897,384.6657456098891
114,98,1,9,0,0,384.6657456098891,374.60101791228897,411.95921608769066
115,99,1,11,0,0,384.6657456098891,374.60101791228897,406.2032237860102
116,99,2,8,1,0,384.6657456098891,374.60101791228897,
117,99,0,9,1,0,384.6657456098891,374.60101791228897,
118,100,1,10,0,0,384.6657456098891,374.60101791228897,405.53943095804306
119,101,2,12,0,1,384.77210794685675,374.60101791228897,384.77210794685675
120,102,0,11,0,0,384.77210794685675,374.60101791228897,417.49339112598625
121,103,2,9,0,0,384.77210794685675,374.60101791228897,404.23996698556607
122,104,1,10,0,0,384.77210794685675,374.60101791228897,392.6738302055075
123,105,2,9,0,0,384.77210794685675,374.60101791228897,391.9947894342126
124,106,1,9,0,0,384.77210794685675,374.60101791228897,393.47383020550745
125,107,2,12,0,0,384.77210794685675,374.60101791228897,398.64392921267057
126,108,2,12,0,1,385.0721079468567,374.60101791228897,385.0721079468567
127,109,2,10,0,0,385.0721079468567,374.60101791228897,392.97383020550745
128,110,1,9,0,0,385.0721079468567,374.60101791228897,392.6738302055075
129,111,2,10,0,1,384.77210794685675,374.60101791228897,384.77210794685675
130,111,2,10,1,0,384.77210794685675,374.60101791228897,
131,112,1,12,0,0,384.77210794685675,374.60101791228897,392.6738302055075
132,113,0,10,0,0,384.77210794685675,374.60101791228897,449.44011652223816
133,114,0,9,0,0,384.77210794685675,374.60101791228897,392.6738302055075
134,115,2,11,0,1,387.63654516513833,374.60101791228897,387.63654516513833
135,116,0,12,0,1,383.85422921467074,374.60101791228897,383.85422921467074
136,117,0,12,0,0,383.85422921467074,374.60101791228897,392.6738302055075
137,117,2,9,1,0,383.85422921467074,374.60101791228897,
138,118,0,11,0,0,383.85422921467074,374.60101791228897,404.72791456282465
139,118,0,11,1,0,383.85422921467074,374.60101791228897,
140,118,1,9,1,0,383.85422921467074,374.60101791228897,
141,118,0,9,1,0,383.85422921467074,374.60101791228897,
142,119,2,8,0,0,383.85422921467074,374.60101791228897,404.72791456282465
143,119,1,9,1,0,383.85422921467074,374.60101791228897,
144,120,1,12,0,0,383.85422921467074,374.60101791228897,395.00747028171526
145,120,1,10,1,0,383.85422921467074,374.60101791228897,
146,121,0,8,0,0,383.85422921467074,374.60101791228897,429.12993119551896
147,122,2,11,0,1,382.69364912486327,374.60101791228897,382.69364912486327
148,123,0,11,0,0,382.69364912486327,374.60101791228897,385.5605674450582
149,124,0,11,0,1,382.59364912486325,374.60101791228897,382.59364912486325
150,125,1,11,0,0,382.59364912486325,374.60101791228897,418.6943606765972
151,125,1,10,1,0,382.59364912486325,374.60101791228897,
152,126,2,11,0,1,382.59364912486325,374.60101791228897,382.59364912486325
153,126,2,9,1,0,382.59364912486325,374.60101791228897,
154,126,1,9,1,0,382.59364912486325,374.60101791228897,
155,127,2,11,0,0,382.59364912486325,374.60101791228897,424.2097569202731
156,127,1,8,1,0,382.59364912486325,374.60101791228897,
157,128,2,9,0,1,382.9515396661414,374.60101791228897,382.9515396661414
158,128,1,9,1,0,382.9515396661414,374.60101791228897,
159,129,1,11,0,1,383.0936491248633,374.60101791228897,383.0936491248633
160,130,2,10,0,1,383.7936491248633,374.60101791228897,383.7936491248633
161,131,1,10,0,1,383.6936491248633,374.60101791228897,383.6936491248633
162,132,0,11,0,1,383.2936491248633,374.60101791228897,383.2936491248633
163,133,1,10,0,1,382.69364912486327,374.60101791228897,382.69364912486327
164,134,0,10,0,0,382.69364912486327,374.60101791228897,384.19364912486327
165,135,2,10,0,0,382.69364912486327,374.60101791228897,484.1618401287823
166,136,1,11,0,0,382.69364912486327,374.60101791228897,405.2176167356503
167,137,0,10,0,1,387.3638542726419,374.60101791228897,387.3638542726419
168,138,2,10,0,0,387.3638542726419,374.60101791228897,393.2661398623045
169,138,0,9,1,0,387.3638542726419,374.60101791228897,
170,139,1,12,0,0,387.3638542726419,374.60101791228897,422.7931427718491
171,139,2,10,1,0,387.3638542726419,374.60101791228897,
172,140,2,12,0,1,385.9638542726419,374.60101791228897,385.9638542726419
173,141,1,10,0,1,385.69364912486327,374.60101791228897,385.69364912486327
174,142,0,10,0,1,391.37419824874644,374.60101791228897,391.37419824874644
175,142,0,10,1,0,391.37419824874644,374.60101791228897,
176,143,2,9,0,1,376.85570550113107,374.60101791228897,376.85570550113107
177,144,2,12,0,1,376.255705501131,374.60101791228897,376.255705501131
178,145,0,10,0,1,375.7895015170705,374.60101791228897,375.7895015170705
179,146,2,10,0,1,375.5895015170705,374.60101791228897,375.5895015170705
180,147,1,9,0,0,375.5895015170705,374.60101791228897,378.48950151707055
181,148,1,11,0,1,376.055705501131,374.60101791228897,376.055705501131
182,148,1,9,1,0,376.055705501131,374.60101791228897,
183,148,1,9,1,0,376.055705501131,374.60101791228897,
184,148,0,11,1,0,376.055705501131,374.60101791228897,
185,149,1,11,0,1,375.5895015170705,374.60101791228897,375.5895015170705
186,150,2,10,0,0,375.5895015170705,374.60101791228897,399.34407727539804
187,150,0,11,1,0,375.5895015170705,374.60101791228897,
188,150,1,9,1,0,375.5895015170705,374.60101791228897,
189,151,0,12,0,0,375.5895015170705,374.60101791228897,400.817801332763
190,151,1,11,1,0,375.5895015170705,374.60101791228897,
191,151,2,9,1,0,375.5895015170705,374.60101791228897,
192,151,1,9,1,0,375.5895015170705,374.60101791228897,
193,152,2,10,0,0,375.5895015170705,374.60101791228897,400.817801332763
194,153,0,10,0,1,376.055705501131,374.60101791228897,376.055705501131
195,154,0,11,0,0,376.055705501131,374.60101791228897,417.4036464241656
196,154,2,9,1,0,376.055705501131,374.60101791228897,
197,155,0,12,0,1,376.355705501131,374.60101791228897,376.355705501131
198,156,0,11,0,1,376.055705501131,374.60101791228897,376.055705501131
199,156,0,10,1,0,376.055705501131,374.60101791228897,
200,157,1,11,0,0,376.055705501131,374.60101791228897,417.55231366871027
201,158,0,11,0,1,376.355705501131,374.60101791228897,376.355705501131
202,159,1,11,0,1,376.7134063697425,374.60101791228897,376.7134063697425
203,160,1,9,0,1,375.755705501131,374.60101791228897,375.755705501131
204,161,1,11,0,0,375.755705501131,374.60101791228897,417.25231366871026
205,162,2,11,0,1,375.55570550113106,374.60101791228897,375.55570550113106
206,162,1,10,1,0,375.55570550113106,374.60101791228897,
207,163,0,9,0,0,375.55570550113106,374.60101791228897,380.1923412217254
208,164,0,9,0,1,375.0895015170705,374.60101791228897,375.0895015170705
209,164,0,9,1,0,375.0895015170705,374.60101791228897,
210,164,1,11,1,0,375.0895015170705,374.60101791228897,
211,165,2,9,0,1,375.9010179122889,374.60101791228897,375.9010179122889
212,165,0,11,1,0,375.9010179122889,374.60101791228897,
213,166,1,12,0,1,376.701017912289,374.60101791228897,376.701017912289
214,167,1,12,0,0,376.701017912289,374.60101791228897,418.04895883532356
215,168,1,12,0,1,375.9010179122889,374.60101791228897,375.9010179122889
216,168,1,10,1,0,375.9010179122889,374.60101791228897,
217,169,1,12,0,0,375.9010179122889,374.60101791228897,395.43504415191387
218,170,1,12,0,0,375.9010179122889,374.60101791228897,385.9944431125113
219,171,2,11,0,0,375.9010179122889,374.60101791228897,402.8459121118281
220,172,0,11,0,1,376.1010179122889,374.60101791228897,376.1010179122889
221,173,2,9,0,1,375.8010179122889,374.60101791228897,375.8010179122889
222,174,0,10,0,0,375.8010179122889,374.60101791228897,411.1253114314159
223,175,1,11,0,1,375.7010179122889,374.60101791228897,375.7010179122889
224,176,2,12,0,0,375.7010179122889,374.60101791228897,379.3359636437467
225,176,0,9,1,0,375.7010179122889,374.60101791228897,
226,177,2,10,0,1,378.75750125283895,374.60101791228897,378.75750125283895
227,178,1,9,0,0,378.75750125283895,374.60101791228897,386.98512677279496
228,179,0,10,0,0,378.75750125283895,374.60101791228897,386.98512677279496
229,180,2,10,0,1,375.80086151078456,374.60101791228897,375.80086151078456
230,181,0,10,0,0,375.80086151078456,374.60101791228897,384.0284870307405
231,182,2,9,0,0,375.80086151078456,374.60101791228897,384.0284870307405
232,182,0,9,1,0,375.80086151078456,374.60101791228897,
233,183,0,10,0,1,376.75856237939604,374.60101791228897,376.75856237939604
234,184,1,10,0,0,376.75856237939604,374.60101791228897,384.986187899352
235,185,2,9,0,1,377.2508894493163,374.60101791228897,377.2508894493163
236,186,1,11,0,0,377.2508894493163,374.60101791228897,385.4785149692723
237,187,0,9,0,0,377.2508894493163,374.60101791228897,379.04214489761307
238,188,2,9,0,0,377.2508894493163,374.60101791228897,385.4785149692723
239,189,2,10,0,0,377.2508894493163,374.60101791228897,385.4785149692723
240,190,0,11,0,0,377.2508894493163,374.60101791228897,386.7447189533327
241,190,0,12,1,0,377.2508894493163,374.60101791228897,
242,191,0,10,0,1,378.5508894493163,374.60101791228897,378.5508894493163
