decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
1,1,1,9,0,1,414.0660511750385,414.0660511750385,392.6738302055075,1.0,1.0,1.0
2,2,0,9,0,1,400.5738302055075,400.5738302055075,392.6738302055075,1.0,1.0,1.0
3,3,1,10,0,0,470.0436496621113,400.5738302055075,392.6738302055075,1.0,1.0,1.0
4,4,2,11,0,0,420.1078564451325,400.5738302055075,392.6738302055075,1.0,1.0,1.0
5,5,0,10,0,0,488.0543326697828,400.5738302055075,392.6738302055075,1.0,1.0,1.0
6,6,1,9,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
7,6,2,12,1,0,,392.6738302055075,392.6738302055075,,,
8,6,0,11,1,0,,392.6738302055075,392.6738302055075,,,
9,7,1,11,0,0,412.2078564451325,392.6738302055075,392.6738302055075,1.0,1.0,1.0
10,8,2,12,0,1,394.0738302055075,394.0738302055075,392.6738302055075,1.0,1.0,1.0
11,9,1,10,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
12,10,1,10,0,0,469.63100758364817,392.6738302055075,392.6738302055075,1.0,1.0,1.0
13,10,0,9,1,0,,392.6738302055075,392.6738302055075,,,
14,11,2,12,0,0,409.6016168898019,392.6738302055075,392.6738302055075,1.0,1.0,1.0
15,12,0,9,0,1,393.47383020550745,393.47383020550745,392.6738302055075,1.0,1.0,1.0
16,13,0,10,0,1,394.1738302055075,394.1738302055075,392.6738302055075,1.0,1.0,1.0
17,14,1,11,0,0,412.90785644513244,394.1738302055075,392.6738302055075,1.0,1.0,1.0
18,15,2,8,0,1,393.3738302055075,393.3738302055075,392.6738302055075,1.0,1.0,1.0
19,16,1,11,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
20,16,1,10,1,0,,392.6738302055075,392.6738302055075,,,
21,16,2,12,1,0,,392.6738302055075,392.6738302055075,,,
22,16,1,9,1,0,,392.6738302055075,392.6738302055075,,,
23,17,2,9,0,0,406.6737415800786,392.6738302055075,392.6738302055075,1.0,1.0,1.0
24,18,0,9,0,0,412.2078564451325,392.6738302055075,392.6738302055075,1.0,1.0,1.0
25,18,0,12,1,0,,392.6738302055075,392.6738302055075,,,
26,19,1,11,0,0,418.5517003959938,392.6738302055075,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
27,20,1,12,0,0,409.89785415113306,392.6738302055075,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
28,21,1,10,0,1,394.0738302055075,394.0738302055075,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
29,22,2,12,0,1,397.67383020550744,397.67383020550744,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
30,23,1,9,0,1,397.5738302055075,397.5738302055075,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
31,24,1,9,0,1,396.1738302055075,396.1738302055075,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
32,25,0,11,0,0,406.27529334738017,396.1738302055075,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
33,25,1,9,1,0,,396.1738302055075,392.6738302055075,,,
34,26,0,10,0,0,406.2752933473802,396.1738302055075,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
35,27,2,10,0,1,396.4752909953099,396.4752909953099,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
36,28,1,9,0,0,409.1302273130788,396.4752909953099,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
37,29,2,10,0,1,395.9752909953099,395.9752909953099,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
38,30,1,12,0,0,412.40218292040134,395.9752909953099,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
39,31,0,11,0,1,395.9752909953099,395.9752909953099,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
40,32,0,11,0,1,395.9752909953099,395.9752909953099,392.6738302055075,0.9500000000000001,1.06,0.942857142857143
41,33,1,9,0,1,387.8960942023695,387.8960942023695,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
42,34,0,10,0,1,398.12098594063184,398.12098594063184,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
43,35,2,10,0,0,405.74501288511715,398.12098594063184,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
44,36,2,9,0,0,402.43913464758367,398.12098594063184,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
45,37,0,10,0,1,395.217995434023,395.217995434023,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
46,38,1,9,0,0,409.713069293498,395.217995434023,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
47,39,1,12,0,0,402.8659442501405,395.217995434023,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
48,40,1,9,0,0,409.0225286164759,395.217995434023,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
49,41,0,10,0,0,409.22252861647587,395.217995434023,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
50,42,0,8,0,1,395.20511210124226,395.20511210124226,387.8960942023695,0.9500000000000001,1.06,0.942857142857143
