decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score,w_random,w_worst,w_shaw
1,0,0,9,1,0,392.6738302055075,392.6738302055075,,,,
2,1,0,9,0,0,392.6738302055075,392.6738302055075,393.93953481424023,1.0,1.0,1.0
3,2,1,10,0,0,392.6738302055075,392.6738302055075,432.78196998714293,1.0,1.0,1.0
4,2,1,11,1,0,392.6738302055075,392.6738302055075,,,,
5,3,0,12,0,0,392.6738302055075,392.6738302055075,432.8818066368598,1.0,1.0,1.0
6,3,2,11,1,0,392.6738302055075,392.6738302055075,,,,
7,3,1,9,1,0,392.6738302055075,392.6738302055075,,,,
8,4,0,12,0,0,392.6738302055075,392.6738302055075,399.0772491320491,1.0,1.0,1.0
9,5,1,12,0,1,393.47383020550745,392.6738302055075,393.47383020550745,1.0,1.0,1.0
10,6,1,10,0,0,393.47383020550745,392.6738302055075,400.47762757390535,1.0,1.0,1.0
11,7,1,11,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
12,7,2,9,1,0,392.6738302055075,392.6738302055075,,,,
13,7,1,12,1,0,392.6738302055075,392.6738302055075,,,,
14,8,2,9,0,1,393.47383020550745,392.6738302055075,393.47383020550745,1.0,1.0,1.0
15,8,0,11,1,0,393.47383020550745,392.6738302055075,,,,
16,9,1,11,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
17,10,2,10,0,1,393.47383020550745,392.6738302055075,393.47383020550745,1.0,1.0,1.0
18,10,0,9,1,0,393.47383020550745,392.6738302055075,,,,
19,11,1,12,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
20,12,1,11,0,0,392.6738302055075,392.6738302055075,407.04524708478925,1.0,1.0,1.0
21,12,1,11,1,0,392.6738302055075,392.6738302055075,,,,
22,12,0,9,1,0,392.6738302055075,392.6738302055075,,,,
23,12,2,11,1,0,392.6738302055075,392.6738302055075,,,,
24,13,2,10,0,0,392.6738302055075,392.6738302055075,404.32517362213105,1.0,1.0,1.0
25,13,1,10,1,0,392.6738302055075,392.6738302055075,,,,
26,13,0,11,1,0,392.6738302055075,392.6738302055075,,,,
27,13,2,10,1,0,392.6738302055075,392.6738302055075,,,,
28,14,0,10,0,1,393.47383020550745,392.6738302055075,393.47383020550745,0.8000002,1.0166666666666666,0.8666666666666667
29,14,2,12,1,0,393.47383020550745,392.6738302055075,,,,
30,15,0,11,0,1,392.6738302055075,392.6738302055075,392.6738302055075,0.8000002,1.0166666666666666,0.8666666666666667
31,16,1,9,0,0,392.6738302055075,392.6738302055075,408.43254708089063,0.8000002,1.0166666666666666,0.8666666666666667
32,17,2,11,0,0,392.6738302055075,392.6738302055075,412.2078564451325,0.8000002,1.0166666666666666,0.8666666666666667
33,18,1,11,0,0,392.6738302055075,392.6738302055075,408.35961215992353,0.8000002,1.0166666666666666,0.8666666666666667
34,18,0,9,1,0,392.6738302055075,392.6738302055075,,,,
35,19,2,9,0,0,392.6738302055075,392.6738302055075,471.11163668968396,0.8000002,1.0166666666666666,0.8666666666666667
36,20,2,12,0,1,393.47383020550745,392.6738302055075,393.47383020550745,0.8000002,1.0166666666666666,0.8666666666666667
37,21,2,12,0,0,393.47383020550745,392.6738302055075,405.67961298327845,0.8000002,1.0166666666666666,0.8666666666666667
38,22,0,12,0,1,392.6738302055075,392.6738302055075,392.6738302055075,0.8000002,1.0166666666666666,0.8666666666666667
39,23,1,10,0,0,392.6738302055075,392.6738302055075,395.5679173743548,0.8000002,1.0166666666666666,0.8666666666666667
40,24,2,11,0,1,379.421608825934,379.421608825934,379.421608825934,0.8000002,1.0166666666666666,0.8666666666666667
41,25,0,8,0,1,375.5895015170705,375.5895015170705,375.5895015170705,0.8000002,1.0166666666666666,0.8666666666666667
42,25,1,9,1,0,375.5895015170705,375.5895015170705,,,,
43,26,2,9,0,0,375.5895015170705,375.5895015170705,392.6738302055075,0.8000002,1.0166666666666666,0.8666666666666667
44,27,1,9,0,0,375.5895015170705,375.5895015170705,395.1235277566956,0.8000002,1.0166666666666666,0.8666666666666667
45,27,1,9,1,0,375.5895015170705,375.5895015170705,,,,
46,27,0,9,1,0,375.5895015170705,375.5895015170705,,,,
47,27,0,9,1,0,375.5895015170705,375.5895015170705,,,,
48,28,2,10,0,1,375.9895015170705,375.5895015170705,375.9895015170705,0.8000002,1.0166666666666666,0.8666666666666667
49,29,0,9,0,0,375.9895015170705,375.5895015170705,424.2688476848001,0.8000002,1.0166666666666666,0.8666666666666667
50,30,2,9,0,0,375.9895015170705,375.5895015170705,376.93734974073163,0.8000002,1.0166666666666666,0.8666666666666667
51,31,2,11,0,0,375.9895015170705,375.5895015170705,401.1496182900684,1.0177779377777778,0.8133335333333334,0.8933333333333333
52,32,0,9,0,1,376.83734974073155,375.5895015170705,376.83734974073155,1.0177779377777778,0.8133335333333334,0.8933333333333333
53,33,1,9,0,0,376.83734974073155,375.5895015170705,384.4571686430036,1.0177779377777778,0.8133335333333334,0.8933333333333333
54,34,2,11,0,0,376.83734974073155,375.5895015170705,414.1933239583164,1.0177779377777778,0.8133335333333334,0.8933333333333333
55,35,0,10,0,0,376.83734974073155,375.5895015170705,387.71995697285934,1.0177779377777778,0.8133335333333334,0.8933333333333333
56,36,1,12,0,1,376.7373497407316,375.5895015170705,376.7373497407316,1.0177779377777778,0.8133335333333334,0.8933333333333333
57,37,0,11,0,1,375.355705501131,375.355705501131,375.355705501131,1.0177779377777778,0.8133335333333334,0.8933333333333333
58,38,0,9,0,0,375.355705501131,375.355705501131,394.889731740756,1.0177779377777778,0.8133335333333334,0.8933333333333333
59,39,0,12,0,1,375.85570550113096,375.355705501131,375.85570550113096,1.0177779377777778,0.8133335333333334,0.8933333333333333
60,40,0,11,0,1,375.255705501131,375.255705501131,375.255705501131,1.0177779377777778,0.8133335333333334,0.8933333333333333
61,41,1,10,0,0,375.255705501131,375.255705501131,382.25950286952883,1.0177779377777778,0.8133335333333334,0.8933333333333333
62,42,0,11,0,0,375.255705501131,375.255705501131,383.8895015170705,1.0177779377777778,0.8133335333333334,0.8933333333333333
63,43,0,9,0,0,375.255705501131,375.255705501131,416.7368718816305,1.0177779377777778,0.8133335333333334,0.8933333333333333
64,44,1,12,0,1,376.06722189634934,375.255705501131,376.06722189634934,1.0177779377777778,0.8133335333333334,0.8933333333333333
65,45,0,10,0,0,376.06722189634934,375.255705501131,396.7544469668538,1.0177779377777778,0.8133335333333334,0.8933333333333333
66,45,0,8,1,0,376.06722189634934,375.255705501131,,,,
67,46,0,9,0,1,375.27199676115214,375.255705501131,375.27199676115214,1.0177779377777778,0.8133335333333334,0.8933333333333333
68,47,2,10,0,1,374.67235470991324,374.67235470991324,374.67235470991324,1.0177779377777778,0.8133335333333334,0.8933333333333333
69,48,1,10,0,1,377.5173482864266,374.67235470991324,377.5173482864266,1.0177779377777778,0.8133335333333334,0.8933333333333333
70,49,1,8,0,0,377.5173482864266,374.67235470991324,397.87041589737146,1.0177779377777778,0.8133335333333334,0.8933333333333333
71,50,2,9,0,1,377.11734828642665,374.67235470991324,377.11734828642665,1.0177779377777778,0.8133335333333334,0.8933333333333333
72,51,2,8,0,1,377.11734828642665,374.67235470991324,377.11734828642665,1.0177779377777778,0.8133335333333334,0.8933333333333333
73,52,0,12,0,1,377.7399222357202,374.67235470991324,377.7399222357202,1.0177779377777778,0.8133335333333334,0.8933333333333333
74,53,1,11,0,1,377.73992223572014,374.67235470991324,377.73992223572014,1.0177779377777778,0.8133335333333334,0.8933333333333333
75,54,1,11,0,0,377.73992223572014,374.67235470991324,386.4402213381911,1.0177779377777778,0.8133335333333334,0.8933333333333333
76,55,0,8,0,1,378.3399222357202,374.67235470991324,378.3399222357202,1.1975556835555556,0.9006668266666668,1.2346666666666666
77,56,1,10,0,1,379.8399222357202,374.67235470991324,379.8399222357202,1.1975556835555556,0.9006668266666668,1.2346666666666666
78,57,0,9,0,1,378.2173482864267,374.67235470991324,378.2173482864267,1.1975556835555556,0.9006668266666668,1.2346666666666666
79,58,1,10,0,1,376.72230495199295,374.67235470991324,376.72230495199295,1.1975556835555556,0.9006668266666668,1.2346666666666666
80,59,2,11,0,1,375.6279964010622,374.67235470991324,375.6279964010622,1.1975556835555556,0.9006668266666668,1.2346666666666666
81,59,0,9,1,0,375.6279964010622,374.67235470991324,,,,
82,60,1,11,0,1,375.0279964010621,374.67235470991324,375.0279964010621,1.1975556835555556,0.9006668266666668,1.2346666666666666
83,61,2,12,0,0,375.0279964010621,374.67235470991324,383.30583189120824,1.1975556835555556,0.9006668266666668,1.2346666666666666
84,62,1,9,0,0,375.0279964010621,374.67235470991324,389.62173156882466,1.1975556835555556,0.9006668266666668,1.2346666666666666
85,63,0,10,0,1,375.9856972696736,374.67235470991324,375.9856972696736,1.1975556835555556,0.9006668266666668,1.2346666666666666
86,63,0,11,1,0,375.9856972696736,374.67235470991324,,,,
87,64,1,9,0,0,375.9856972696736,374.67235470991324,415.1772562578925,1.1975556835555556,0.9006668266666668,1.2346666666666666
88,65,1,12,0,1,375.9856972696736,374.67235470991324,375.9856972696736,1.1975556835555556,0.9006668266666668,1.2346666666666666
89,65,1,11,1,0,375.9856972696736,374.67235470991324,,,,
90,66,0,11,0,1,375.0279964010621,374.67235470991324,375.0279964010621,1.1975556835555556,0.9006668266666668,1.2346666666666666
91,67,0,11,0,1,377.77081323661275,374.67235470991324,377.77081323661275,1.1975556835555556,0.9006668266666668,1.2346666666666666
92,68,0,9,0,0,377.77081323661275,374.67235470991324,393.6107780526053,1.1975556835555556,0.9006668266666668,1.2346666666666666
93,69,0,10,0,1,379.129736837288,374.67235470991324,379.129736837288,1.1975556835555556,0.9006668266666668,1.2346666666666666
94,70,2,10,0,0,379.129736837288,374.67235470991324,382.0829087757083,1.1975556835555556,0.9006668266666668,1.2346666666666666
95,71,2,9,0,1,378.91822044206964,374.67235470991324,378.91822044206964,1.1975556835555556,0.9006668266666668,1.2346666666666666
96,72,1,10,0,1,378.51699771000585,374.67235470991324,378.51699771000585,1.1975556835555556,0.9006668266666668,1.2346666666666666
97,73,1,9,0,0,378.51699771000585,374.67235470991324,391.7667632393064,1.1975556835555556,0.9006668266666668,1.2346666666666666
98,74,0,11,0,1,377.55929684139437,374.67235470991324,377.55929684139437,1.1975556835555556,0.9006668266666668,1.2346666666666666
99,75,0,10,0,0,377.55929684139437,374.67235470991324,399.2619286131671,1.1975556835555556,0.9006668266666668,1.2346666666666666
100,76,2,10,0,1,380.5260793025516,374.67235470991324,380.5260793025516,1.1975556835555556,0.9006668266666668,1.2346666666666666
101,77,2,9,0,0,380.5260793025516,374.67235470991324,393.39926165738694,1.2489536377535355,1.0316445724444445,1.3477333333333334
102,78,0,9,0,1,377.55929684139437,374.67235470991324,377.55929684139437,1.2489536377535355,1.0316445724444445,1.3477333333333334
103,79,2,11,0,1,380.0058318912083,374.67235470991324,380.0058318912083,1.2489536377535355,1.0316445724444445,1.3477333333333334
104,80,1,9,0,0,380.0058318912083,374.67235470991324,394.140905453459,1.2489536377535355,1.0316445724444445,1.3477333333333334
105,81,2,11,0,0,380.0058318912083,374.67235470991324,450.32505559630647,1.2489536377535355,1.0316445724444445,1.3477333333333334
106,82,1,11,0,0,380.0058318912083,374.67235470991324,409.5991981912463,1.2489536377535355,1.0316445724444445,1.3477333333333334
107,83,1,10,0,1,383.22636484954825,374.67235470991324,383.22636484954825,1.2489536377535355,1.0316445724444445,1.3477333333333334
108,84,0,12,0,0,383.22636484954825,374.67235470991324,436.5574932568096,1.2489536377535355,1.0316445724444445,1.3477333333333334
109,85,0,11,0,0,383.22636484954825,374.67235470991324,419.17679952481564,1.2489536377535355,1.0316445724444445,1.3477333333333334
110,85,0,8,1,0,383.22636484954825,374.67235470991324,,,,
111,86,2,11,0,0,383.22636484954825,374.67235470991324,411.4886850613745,1.2489536377535355,1.0316445724444445,1.3477333333333334
112,87,2,9,0,0,383.22636484954825,374.67235470991324,408.6072515051579,1.2489536377535355,1.0316445724444445,1.3477333333333334
113,88,2,12,0,0,383.22636484954825,374.67235470991324,403.6752092071828,1.2489536377535355,1.0316445724444445,1.3477333333333334
114,89,1,8,0,1,379.52372060005393,374.67235470991324,379.52372060005393,1.2489536377535355,1.0316445724444445,1.3477333333333334
115,90,0,10,0,0,379.52372060005393,374.67235470991324,404.9046072556635,1.2489536377535355,1.0316445724444445,1.3477333333333334
116,90,1,11,1,0,379.52372060005393,374.67235470991324,,,,
117,91,2,12,0,1,379.04236619991883,374.67235470991324,379.04236619991883,1.2489536377535355,1.0316445724444445,1.3477333333333334
118,92,2,12,0,1,379.0347653765699,374.67235470991324,379.0347653765699,1.2489536377535355,1.0316445724444445,1.3477333333333334
119,93,2,9,0,1,379.2347653765699,374.67235470991324,379.2347653765699,1.2489536377535355,1.0316445724444445,1.3477333333333334
120,94,1,11,0,0,379.2347653765699,374.67235470991324,418.09393286045724,1.2489536377535355,1.0316445724444445,1.3477333333333334
121,95,0,11,0,1,376.5394600752868,374.67235470991324,376.5394600752868,1.2489536377535355,1.0316445724444445,1.3477333333333334
122,96,2,9,0,1,377.20010748511044,374.67235470991324,377.20010748511044,1.2489536377535355,1.0316445724444445,1.3477333333333334
123,97,0,11,0,1,377.0332927282461,374.67235470991324,377.0332927282461,1.2489536377535355,1.0316445724444445,1.3477333333333334
124,98,0,12,0,0,377.0332927282461,374.67235470991324,384.87799412966757,1.2489536377535355,1.0316445724444445,1.3477333333333334
125,99,2,11,0,0,377.0332927282461,374.67235470991324,381.68566705974735,1.2489536377535355,1.0316445724444445,1.3477333333333334
126,100,1,12,0,0,377.0332927282461,374.67235470991324,402.6171170069697,1.2991629102028286,0.9919823246222224,1.2781866666666668
127,101,2,9,0,1,376.07529762958296,374.67235470991324,376.07529762958296,1.2991629102028286,0.9919823246222224,1.2781866666666668
128,102,1,8,0,1,375.1236873212666,374.67235470991324,375.1236873212666,1.2991629102028286,0.9919823246222224,1.2781866666666668
129,103,1,9,0,1,374.24983647093796,374.24983647093796,374.24983647093796,1.2991629102028286,0.9919823246222224,1.2781866666666668
130,104,2,11,0,1,374.24983647093796,374.24983647093796,374.24983647093796,1.2991629102028286,0.9919823246222224,1.2781866666666668
131,105,2,9,0,0,374.24983647093796,374.24983647093796,381.1818684817333,1.2991629102028286,0.9919823246222224,1.2781866666666668
132,106,1,9,0,1,374.24983647093796,374.24983647093796,374.24983647093796,1.2991629102028286,0.9919823246222224,1.2781866666666668
133,106,1,12,1,0,374.24983647093796,374.24983647093796,,,,
134,107,2,11,0,1,373.84383543811106,373.84383543811106,373.84383543811106,1.2991629102028286,0.9919823246222224,1.2781866666666668
135,108,1,11,0,0,373.84383543811106,373.84383543811106,414.64890885223514,1.2991629102028286,0.9919823246222224,1.2781866666666668
136,109,2,10,0,0,373.84383543811106,373.84383543811106,396.6183248973616,1.2991629102028286,0.9919823246222224,1.2781866666666668
137,110,2,12,0,0,373.84383543811106,373.84383543811106,375.5776314540506,1.2991629102028286,0.9919823246222224,1.2781866666666668
138,111,1,11,0,0,373.84383543811106,373.84383543811106,374.6072734213606,1.2991629102028286,0.9919823246222224,1.2781866666666668
139,112,0,11,0,1,374.1334318772943,373.84383543811106,374.1334318772943,1.2991629102028286,0.9919823246222224,1.2781866666666668
140,113,1,11,0,0,374.1334318772943,373.84383543811106,386.00637770180265,1.2991629102028286,0.9919823246222224,1.2781866666666668
141,114,0,12,0,1,373.7334318772943,373.7334318772943,373.7334318772943,1.2991629102028286,0.9919823246222224,1.2781866666666668
142,115,1,11,0,1,373.42890433932064,373.42890433932064,373.42890433932064,1.2991629102028286,0.9919823246222224,1.2781866666666668
143,116,1,12,0,0,373.42890433932064,373.42890433932064,374.46088499192143,1.2991629102028286,0.9919823246222224,1.2781866666666668
144,117,2,9,0,0,373.42890433932064,373.42890433932064,382.0678831942941,1.2991629102028286,0.9919823246222224,1.2781866666666668
145,118,0,8,0,1,374.90274588338696,373.42890433932064,374.90274588338696,1.2991629102028286,0.9919823246222224,1.2781866666666668
146,119,0,12,0,1,373.6357300960702,373.42890433932064,373.6357300960702,1.2991629102028286,0.9919823246222224,1.2781866666666668
147,119,0,11,1,0,373.6357300960702,373.42890433932064,,,,
148,119,1,11,1,0,373.6357300960702,373.42890433932064,,,,
149,120,2,12,0,1,373.4242137008518,373.4242137008518,373.4242137008518,1.2991629102028286,0.9919823246222224,1.2781866666666668
150,121,0,11,0,0,373.4242137008518,373.4242137008518,398.347443295305,1.2991629102028286,0.9919823246222224,1.2781866666666668
151,122,0,9,0,0,373.4242137008518,373.4242137008518,376.32421370085183,1.5059969948289298,1.17540404151596,1.5475493333333334
152,122,1,10,1,0,373.4242137008518,373.4242137008518,,,,
153,122,0,9,1,0,373.4242137008518,373.4242137008518,,,,
154,123,2,11,0,0,373.4242137008518,373.4242137008518,404.1703138143272,1.5059969948289298,1.17540404151596,1.5475493333333334
155,124,1,11,0,0,373.4242137008518,373.4242137008518,399.6168354218989,1.5059969948289298,1.17540404151596,1.5475493333333334
156,124,0,11,1,0,373.4242137008518,373.4242137008518,,,,
157,125,0,8,0,1,374.3193825107932,373.4242137008518,374.3193825107932,1.5059969948289298,1.17540404151596,1.5475493333333334
158,126,2,8,0,0,374.3193825107932,373.4242137008518,400.51200423184036,1.5059969948289298,1.17540404151596,1.5475493333333334
159,126,1,9,1,0,374.3193825107932,373.4242137008518,,,,
160,126,1,11,1,0,374.3193825107932,373.4242137008518,,,,
161,127,2,10,0,1,373.4242137008518,373.4242137008518,373.4242137008518,1.5059969948289298,1.17540404151596,1.5475493333333334
162,127,2,8,1,0,373.4242137008518,373.4242137008518,,,,
163,128,1,12,0,1,373.281494944293,373.281494944293,373.281494944293,1.5059969948289298,1.17540404151596,1.5475493333333334
164,129,2,9,0,1,373.41651417870077,373.281494944293,373.41651417870077,1.5059969948289298,1.17540404151596,1.5475493333333334
165,130,2,12,0,0,373.41651417870077,373.281494944293,381.9913860334834,1.5059969948289298,1.17540404151596,1.5475493333333334
166,130,0,10,1,0,373.41651417870077,373.281494944293,,,,
167,131,2,10,0,0,373.41651417870077,373.281494944293,390.92946370332294,1.5059969948289298,1.17540404151596,1.5475493333333334
168,132,2,9,0,0,373.41651417870077,373.281494944293,384.17986113550904,1.5059969948289298,1.17540404151596,1.5475493333333334
169,133,2,12,0,0,373.41651417870077,373.281494944293,409.0658887867878,1.5059969948289298,1.17540404151596,1.5475493333333334
170,133,0,12,1,0,373.41651417870077,373.281494944293,,,,
171,134,1,11,0,0,373.41651417870077,373.281494944293,394.6856440029365,1.5059969948289298,1.17540404151596,1.5475493333333334
172,134,2,10,1,0,373.41651417870077,373.281494944293,,,,
173,135,2,11,0,1,377.3369384768966,373.281494944293,377.3369384768966,1.5059969948289298,1.17540404151596,1.5475493333333334
174,136,1,11,0,1,375.35521618772407,373.281494944293,375.35521618772407,1.5059969948289298,1.17540404151596,1.5475493333333334
175,137,1,12,0,1,375.3341042346537,373.281494944293,375.3341042346537,1.5059969948289298,1.17540404151596,1.5475493333333334
176,138,2,11,0,1,375.19138547809496,373.281494944293,375.19138547809496,1.2381309291964773,1.340323233212768,1.3471303757575759
177,139,1,10,0,1,375.8520726353687,373.281494944293,375.8520726353687,1.2381309291964773,1.340323233212768,1.3471303757575759
178,140,1,9,0,1,374.8200919827679,373.281494944293,374.8200919827679,1.2381309291964773,1.340323233212768,1.3471303757575759
179,141,1,11,0,0,374.8200919827679,373.281494944293,386.65946381599974,1.2381309291964773,1.340323233212768,1.3471303757575759
180,142,2,10,0,1,374.73690518319484,373.281494944293,374.73690518319484,1.2381309291964773,1.340323233212768,1.3471303757575759
181,143,1,11,0,1,372.7462442576383,372.7462442576383,372.7462442576383,1.2381309291964773,1.340323233212768,1.3471303757575759
182,144,2,11,0,1,372.7462442576383,372.7462442576383,372.7462442576383,1.2381309291964773,1.340323233212768,1.3471303757575759
183,145,2,11,0,1,372.90751372309256,372.7462442576383,372.90751372309256,1.2381309291964773,1.340323233212768,1.3471303757575759
184,146,0,11,0,1,372.10751372309255,372.10751372309255,372.10751372309255,1.2381309291964773,1.340323233212768,1.3471303757575759
185,146,1,12,1,0,372.10751372309255,372.10751372309255,,,,
186,147,2,9,0,1,372.9721498137701,372.10751372309255,372.9721498137701,1.2381309291964773,1.340323233212768,1.3471303757575759
187,148,2,11,0,1,372.9721498137701,372.10751372309255,372.9721498137701,1.2381309291964773,1.340323233212768,1.3471303757575759
188,149,1,11,0,0,372.9721498137701,372.10751372309255,375.2923656056039,1.2381309291964773,1.340323233212768,1.3471303757575759
189,150,1,11,0,0,372.9721498137701,372.10751372309255,413.87357784924257,1.2381309291964773,1.340323233212768,1.3471303757575759
190,151,0,12,0,1,373.38002607341025,372.10751372309255,373.38002607341025,1.2381309291964773,1.340323233212768,1.3471303757575759
191,151,0,9,1,0,373.38002607341025,372.10751372309255,,,,
192,152,2,10,0,0,373.38002607341025,372.10751372309255,407.85444145184937,1.2381309291964773,1.340323233212768,1.3471303757575759
193,152,0,8,1,0,373.38002607341025,372.10751372309255,,,,
194,153,2,12,0,1,372.9721498137701,372.10751372309255,372.9721498137701,1.2381309291964773,1.340323233212768,1.3471303757575759
195,154,0,10,0,0,372.9721498137701,372.10751372309255,401.2565072489394,1.2381309291964773,1.340323233212768,1.3471303757575759
196,154,1,9,1,0,372.9721498137701,372.10751372309255,,,,
197,155,2,11,0,1,373.38002607341025,372.10751372309255,373.38002607341025,1.2381309291964773,1.340323233212768,1.3471303757575759
198,155,1,9,1,0,373.38002607341025,372.10751372309255,,,,
199,155,1,10,1,0,373.38002607341025,372.10751372309255,,,,
200,155,1,12,1,0,373.38002607341025,372.10751372309255,,,,
201,156,2,9,0,0,373.38002607341025,372.10751372309255,373.98002607341033,1.350504743357182,1.3086222229338507,1.4554820783838385
202,157,0,12,0,1,374.18002607341026,372.10751372309255,374.18002607341026,1.350504743357182,1.3086222229338507,1.4554820783838385
203,158,2,9,0,1,373.38002607341025,372.10751372309255,373.38002607341025,1.350504743357182,1.3086222229338507,1.4554820783838385
204,159,1,10,0,1,373.98002607341033,372.10751372309255,373.98002607341033,1.350504743357182,1.3086222229338507,1.4554820783838385
205,160,1,12,0,1,374.3998942416798,372.10751372309255,374.3998942416798,1.350504743357182,1.3086222229338507,1.4554820783838385
206,161,1,10,0,1,373.38002607341025,372.10751372309255,373.38002607341025,1.350504743357182,1.3086222229338507,1.4554820783838385
207,161,1,11,1,0,373.38002607341025,372.10751372309255,,,,
208,162,1,12,0,0,373.38002607341025,372.10751372309255,440.78839905620316,1.350504743357182,1.3086222229338507,1.4554820783838385
209,163,2,11,0,0,373.38002607341025,372.10751372309255,380.04623634450775,1.350504743357182,1.3086222229338507,1.4554820783838385
210,164,1,10,0,1,373.38002607341025,372.10751372309255,373.38002607341025,1.350504743357182,1.3086222229338507,1.4554820783838385
211,165,1,10,0,1,373.38002607341025,372.10751372309255,373.38002607341025,1.350504743357182,1.3086222229338507,1.4554820783838385
212,166,0,9,0,1,372.8721498137701,372.10751372309255,372.8721498137701,1.350504743357182,1.3086222229338507,1.4554820783838385
213,167,1,12,0,1,372.0294310572113,372.0294310572113,372.0294310572113,1.350504743357182,1.3086222229338507,1.4554820783838385
