decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score,w_random,w_worst,w_shaw
1,0,1,11,1,0,475.1445356234361,475.1445356234361,,,,
2,0,2,9,1,0,475.1445356234361,475.1445356234361,,,,
3,1,1,10,0,0,475.1445356234361,475.1445356234361,555.4379017198908,1.0,1.0,1.0
4,2,1,11,0,0,475.1445356234361,475.1445356234361,498.78827634357344,1.0,1.0,1.0
5,3,0,9,0,1,469.40312160147107,469.40312160147107,469.40312160147107,1.0,1.0,1.0
6,4,2,9,0,1,467.58360085901404,467.58360085901404,467.58360085901404,1.0,1.0,1.0
7,5,1,12,0,1,467.483600859014,467.483600859014,467.483600859014,1.0,1.0,1.0
8,6,1,9,0,1,467.58360085901404,467.483600859014,467.58360085901404,1.0,1.0,1.0
9,7,0,11,0,1,467.483600859014,467.483600859014,467.483600859014,1.0,1.0,1.0
10,8,0,8,0,0,467.483600859014,467.483600859014,468.28360085901403,1.0,1.0,1.0
11,9,0,10,0,1,466.183600859014,466.183600859014,466.183600859014,1.0,1.0,1.0
12,10,0,9,0,1,434.41083492958444,434.41083492958444,434.41083492958444,1.0,1.0,1.0
13,11,1,10,0,1,412.2495071098067,412.2495071098067,412.2495071098067,1.0,1.0,1.0
14,12,2,11,0,1,406.5073373842125,406.5073373842125,406.5073373842125,1.0,1.0,1.0
15,13,1,9,0,1,387.4319294371917,387.4319294371917,387.4319294371917,1.0,1.0,1.0
16,14,1,8,0,0,387.4319294371917,387.4319294371917,397.8930485521822,1.0,1.0,1.0
17,15,2,12,0,0,387.4319294371917,387.4319294371917,440.3952830142557,1.0,1.0,1.0
18,16,2,12,0,0,387.4319294371917,387.4319294371917,403.21131055076773,1.0,1.0,1.0
19,17,1,9,0,1,388.8319294371917,387.4319294371917,388.8319294371917,1.0,1.0,1.0
20,18,1,9,0,1,387.5729098431022,387.4319294371917,387.5729098431022,1.0,1.0,1.0
21,19,2,11,0,0,387.5729098431022,387.4319294371917,389.81795848626894,1.0,1.0,1.0
22,19,1,10,1,0,387.5729098431022,387.4319294371917,,,,
23,20,2,9,0,0,387.5729098431022,387.4319294371917,451.7219195610548,1.0,1.0,1.0
24,21,2,11,0,0,387.5729098431022,387.4319294371917,394.40813556865066,1.0,1.0,1.0
25,22,1,11,0,0,387.5729098431022,387.4319294371917,394.40813556865066,1.0,1.0,1.0
26,23,0,10,0,1,394.40813556865066,387.4319294371917,394.40813556865066,1.92,1.3,1.2000000000000002
27,24,0,11,0,1,395.29336697602014,387.4319294371917,395.29336697602014,1.92,1.3,1.2000000000000002
28,25,0,12,0,1,391.7048189209491,387.4319294371917,391.7048189209491,1.92,1.3,1.2000000000000002
29,26,1,9,0,0,391.7048189209491,387.4319294371917,393.44310391052363,1.92,1.3,1.2000000000000002
30,27,1,9,0,0,391.7048189209491,387.4319294371917,396.42265346176157,1.92,1.3,1.2000000000000002
31,28,2,12,0,0,391.7048189209491,387.4319294371917,452.8144894506169,1.92,1.3,1.2000000000000002
32,29,0,10,0,0,391.7048189209491,387.4319294371917,393.44310391052363,1.92,1.3,1.2000000000000002
33,30,0,8,0,1,389.77139667542656,387.4319294371917,389.77139667542656,1.92,1.3,1.2000000000000002
34,31,1,9,0,0,389.77139667542656,387.4319294371917,440.45663165520546,1.92,1.3,1.2000000000000002
35,31,0,9,1,0,389.77139667542656,387.4319294371917,,,,
36,32,2,12,0,1,391.50968166500115,387.4319294371917,391.50968166500115,1.92,1.3,1.2000000000000002
37,33,1,10,0,0,391.50968166500115,387.4319294371917,442.3729070564758,1.92,1.3,1.2000000000000002
38,34,2,11,0,0,391.50968166500115,387.4319294371917,442.3729070564758,1.92,1.3,1.2000000000000002
39,35,0,10,0,1,387.3057127096882,387.3057127096882,387.3057127096882,1.92,1.3,1.2000000000000002
40,36,2,9,0,0,387.3057127096882,387.3057127096882,392.20742643397097,1.92,1.3,1.2000000000000002
41,37,0,9,0,0,387.3057127096882,387.3057127096882,428.0775859936732,1.92,1.3,1.2000000000000002
42,38,0,12,0,0,387.3057127096882,387.3057127096882,457.3493269699218,1.92,1.3,1.2000000000000002
43,39,0,12,0,1,387.4057127096882,387.3057127096882,387.4057127096882,1.92,1.3,1.2000000000000002
44,40,2,10,0,1,387.3057127096882,387.3057127096882,387.3057127096882,1.92,1.3,1.2000000000000002
45,41,2,12,0,1,394.70401549673153,387.3057127096882,394.70401549673153,1.92,1.3,1.2000000000000002
46,42,1,10,0,0,394.70401549673153,387.3057127096882,467.99391831789995,1.92,1.3,1.2000000000000002
47,43,1,9,0,0,394.70401549673153,387.3057127096882,493.379441077318,1.92,1.3,1.2000000000000002
48,44,0,11,0,0,394.70401549673153,387.3057127096882,408.8439624679305,1.92,1.3,1.2000000000000002
49,45,2,10,0,0,394.70401549673153,387.3057127096882,418.9766216297591,1.92,1.3,1.2000000000000002
50,45,0,11,1,0,394.70401549673153,387.3057127096882,,,,
51,45,2,10,1,0,394.70401549673153,387.3057127096882,,,,
52,45,0,9,1,0,394.70401549673153,387.3057127096882,,,,
53,46,2,10,0,0,394.70401549673153,387.3057127096882,415.1335702785017,1.8526666666666667,1.0400002,1.1314285714285717
54,46,2,9,1,0,394.70401549673153,387.3057127096882,,,,
55,47,1,10,0,0,394.70401549673153,387.3057127096882,471.33329181802264,1.8526666666666667,1.0400002,1.1314285714285717
56,47,1,9,1,0,394.70401549673153,387.3057127096882,,,,
57,47,0,9,1,0,394.70401549673153,387.3057127096882,,,,
58,47,1,9,1,0,394.70401549673153,387.3057127096882,,,,
59,48,0,11,0,0,394.70401549673153,387.3057127096882,412.4105276047661,1.8526666666666667,1.0400002,1.1314285714285717
60,48,2,9,1,0,394.70401549673153,387.3057127096882,,,,
61,48,1,10,1,0,394.70401549673153,387.3057127096882,,,,
62,49,2,11,0,1,388.41913541705634,387.3057127096882,388.41913541705634,1.8526666666666667,1.0400002,1.1314285714285717
63,50,2,10,0,0,388.41913541705634,387.3057127096882,456.19515083037743,1.8526666666666667,1.0400002,1.1314285714285717
64,51,2,8,0,1,389.11913541705627,387.3057127096882,389.11913541705627,1.8526666666666667,1.0400002,1.1314285714285717
65,52,0,10,0,1,389.1191354170563,387.3057127096882,389.1191354170563,1.8526666666666667,1.0400002,1.1314285714285717
66,53,1,12,0,1,389.11913541705627,387.3057127096882,389.11913541705627,1.8526666666666667,1.0400002,1.1314285714285717
67,54,0,12,0,0,389.11913541705627,387.3057127096882,439.15271701956266,1.8526666666666667,1.0400002,1.1314285714285717
68,55,2,10,0,0,389.11913541705627,387.3057127096882,389.3191354170563,1.8526666666666667,1.0400002,1.1314285714285717
69,56,2,10,0,0,389.11913541705627,387.3057127096882,397.9830172205777,1.8526666666666667,1.0400002,1.1314285714285717
70,57,0,9,0,0,389.11913541705627,387.3057127096882,435.68319809870997,1.8526666666666667,1.0400002,1.1314285714285717
71,57,0,8,1,0,389.11913541705627,387.3057127096882,,,,
72,58,1,11,0,0,389.11913541705627,387.3057127096882,485.4037000155268,1.8526666666666667,1.0400002,1.1314285714285717
73,58,1,10,1,0,389.11913541705627,387.3057127096882,,,,
74,59,2,10,0,1,389.8191354170563,387.3057127096882,389.8191354170563,1.8526666666666667,1.0400002,1.1314285714285717
75,60,0,11,0,1,389.51913541705636,387.3057127096882,389.51913541705636,1.8526666666666667,1.0400002,1.1314285714285717
76,61,2,10,0,1,390.71913541705635,387.3057127096882,390.71913541705635,1.6071333333333335,0.9462858742857143,1.0251428571428574
77,62,2,11,0,1,389.8191354170563,387.3057127096882,389.8191354170563,1.6071333333333335,0.9462858742857143,1.0251428571428574
78,63,1,11,0,1,389.8191354170563,387.3057127096882,389.8191354170563,1.6071333333333335,0.9462858742857143,1.0251428571428574
79,64,2,10,0,1,389.7191354170563,387.3057127096882,389.7191354170563,1.6071333333333335,0.9462858742857143,1.0251428571428574
80,65,0,9,0,0,389.7191354170563,387.3057127096882,404.61796167855243,1.6071333333333335,0.9462858742857143,1.0251428571428574
81,66,0,10,0,1,398.58301722057774,387.3057127096882,398.58301722057774,1.6071333333333335,0.9462858742857143,1.0251428571428574
82,67,0,8,0,1,398.58301722057774,387.3057127096882,398.58301722057774,1.6071333333333335,0.9462858742857143,1.0251428571428574
83,68,0,10,0,0,398.58301722057774,387.3057127096882,430.318622545097,1.6071333333333335,0.9462858742857143,1.0251428571428574
84,69,1,9,0,0,398.58301722057774,387.3057127096882,399.4830172205778,1.6071333333333335,0.9462858742857143,1.0251428571428574
85,70,2,12,0,1,398.5830172205778,387.3057127096882,398.5830172205778,1.6071333333333335,0.9462858742857143,1.0251428571428574
86,71,1,12,0,0,398.5830172205778,387.3057127096882,490.87860751014296,1.6071333333333335,0.9462858742857143,1.0251428571428574
87,72,0,12,0,1,398.8830172205778,387.3057127096882,398.8830172205778,1.6071333333333335,0.9462858742857143,1.0251428571428574
88,73,0,8,0,0,398.8830172205778,387.3057127096882,411.93173250398024,1.6071333333333335,0.9462858742857143,1.0251428571428574
89,74,0,11,0,1,396.30401549673155,387.3057127096882,396.30401549673155,1.6071333333333335,0.9462858742857143,1.0251428571428574
90,75,2,10,0,1,395.50401549673154,387.3057127096882,395.50401549673154,1.6071333333333335,0.9462858742857143,1.0251428571428574
91,76,1,12,0,1,395.50401549673154,387.3057127096882,395.50401549673154,1.6071333333333335,0.9462858742857143,1.0251428571428574
92,77,2,12,0,1,395.00401549673154,387.3057127096882,395.00401549673154,1.6071333333333335,0.9462858742857143,1.0251428571428574
93,78,2,9,0,0,395.00401549673154,387.3057127096882,401.08243639269784,1.6071333333333335,0.9462858742857143,1.0251428571428574
94,79,1,10,0,0,395.00401549673154,387.3057127096882,412.8879458434294,1.6071333333333335,0.9462858742857143,1.0251428571428574
95,80,0,9,0,0,395.00401549673154,387.3057127096882,501.7631853997619,1.6071333333333335,0.9462858742857143,1.0251428571428574
96,81,2,9,0,1,401.08243639269784,387.3057127096882,401.08243639269784,1.6071333333333335,0.9462858742857143,1.0251428571428574
97,82,2,12,0,0,401.08243639269784,387.3057127096882,522.4149794736048,1.6071333333333335,0.9462858742857143,1.0251428571428574
98,83,0,10,0,0,401.08243639269784,387.3057127096882,411.01078570042915,1.6071333333333335,0.9462858742857143,1.0251428571428574
