scenario_id,eta_0p00__OR-Tools,eta_0p00__ALNS-Mean,eta_0p00__ALNS-CVaR,eta_0p35__OR-Tools,eta_0p35__ALNS-Mean,eta_0p35__ALNS-CVaR,eta_0p70__OR-Tools,eta_0p70__ALNS-Mean,eta_0p70__ALNS-CVaR
0,0.6925858105882412,0.0,0.0,3.588500761729904,0.0,0.0,0.4608608161272514,0.0,0.0
1,5.70201389365468,0.0,0.23396675412556078,8.210645341272311,4.606061357804492,0.0,56.514824964480255,4.733375865590233,4.733375865590233
2,0.0,0.0,0.0,2.6626072705674346,0.0,7.738973095003189,0.0,0.0,0.0
3,68.63636680586501,15.42071411069415,9.122322573115923,52.48141537004065,27.680672378918075,0.0,36.61554393376855,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.222782751260752,0.0,0.20168001568464433,47.735872141286364,0.0,0.0,7.343103586701176,0.0,0.0
6,0.0,0.0,0.43601311266041876,8.858846242294987,0.0,0.0,0.0,0.08028980065353153,0.08028980065353153
7,1.9957210510876848,0.0,0.13106574010294025,0.0,0.0,0.0,0.0,0.3200072046761875,0.3200072046761875
8,16.71413042133321,0.0,0.0,18.122398056974077,0.0,0.0,15.827676809992624,0.14606323153969925,0.14606323153969925
9,5.909517933137863,0.0,0.0,16.553123799155543,0.07150106704688142,0.0,19.83654215455053,0.0,0.0
10,55.54111788801134,0.0,1.8372104262338098,32.943748105152906,0.0,0.0,72.54572387793402,15.359972234718981,0.0
11,1.009979084911663,1.009979084911663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5.867844582379064,0.0,0.06632052472980376,0.0,2.4017135427987455,0.0,0.0,0.0,0.0
13,0.19522391962780716,0.19522391962780716,0.0,0.9826938694774583,0.0,0.0,1.6636087512412416,0.0,0.0
14,23.220151507751524,0.0,3.0527662234241006,6.82611068766775,0.0,0.0,8.542583428326225,0.0,0.0
15,3.018038111303099,0.0,1.7839825045965654,0.0,0.0,0.0,16.161564648443147,6.688377824878387,6.688377824878387
16,2.434433965180631,0.0,0.21594690983988585,4.187024734490279,0.0,8.23024071916987,5.15693614749199,13.437597881093097,8.769495674011722
17,0.0,0.0,0.24456194391666486,1.878793597152935,1.4253967890233525,0.0,15.387970046329144,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,14.609103675721315,0.0,0.45756025244008924,23.19092299480596,4.799852573885971,0.0,14.470815016371972,0.0,0.0
20,4.416923934234518,0.5343100887264143,1.2638456933099746,1.6457647041870302,0.5343100887264143,0.0,1.6457647041870302,0.0,0.0
21,3.267111108570248,0.0,0.0,3.097701628350592,0.0,0.0,9.711887681302017,0.0,0.0
