decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
1,1,1,11,0,1,393.47383020550745,393.47383020550745,392.6738302055075,1.0,1.0,1.0
2,2,1,9,0,1,392.6738302055075,392.6738302055075,392.6738302055075,1.0,1.0,1.0
3,3,0,11,0,0,426.52314073733083,392.6738302055075,392.6738302055075,1.0,1.0,1.0
4,3,0,10,1,0,,392.6738302055075,392.6738302055075,,,
5,3,1,11,1,0,,392.6738302055075,392.6738302055075,,,
6,4,2,11,0,1,384.7398056549503,384.7398056549503,384.7398056549503,1.0,1.0,1.0
7,5,0,12,0,1,383.5199257277149,383.5199257277149,383.5199257277149,1.0,1.0,1.0
8,6,0,10,0,1,381.3215869994051,381.3215869994051,381.3215869994051,1.0,1.0,1.0
9,7,1,10,0,1,380.5049994727265,380.5049994727265,380.5049994727265,1.0,1.0,1.0
10,8,1,12,0,1,379.90257030498844,379.90257030498844,379.90257030498844,1.0,1.0,1.0
11,9,2,12,0,1,380.70257030498846,380.70257030498846,379.90257030498844,1.0,1.0,1.0
12,10,1,10,0,1,384.9910772410002,384.9910772410002,379.90257030498844,1.0,1.0,1.0
13,11,1,9,0,0,457.9726156575628,384.9910772410002,379.90257030498844,1.0,1.0,1.0
14,12,2,9,0,1,382.91233973087253,382.91233973087253,379.90257030498844,1.0,1.0,1.0
15,13,0,9,0,0,389.7933923792587,382.91233973087253,379.90257030498844,1.0,1.0,1.0
16,14,2,10,0,0,389.5968952964948,382.91233973087253,379.90257030498844,1.0,1.0,1.0
17,15,2,11,0,1,380.6123397308726,380.6123397308726,379.90257030498844,1.0,1.0,1.0
18,16,1,11,0,1,383.50642689972,383.50642689972,379.90257030498844,1.0,1.0,1.0
19,17,2,10,0,0,403.2340691778374,383.50642689972,379.90257030498844,1.0,1.0,1.0
20,18,0,9,0,1,387.6619998973414,387.6619998973414,379.90257030498844,1.0,1.0,1.0
21,19,1,12,0,0,393.4755537954303,387.6619998973414,379.90257030498844,1.0,1.0,1.0
22,20,1,9,0,1,387.36791272849405,387.36791272849405,379.90257030498844,1.0,1.0,1.0
23,21,0,9,0,1,384.967912728494,384.967912728494,379.90257030498844,1.0,1.0,1.0
24,22,0,12,0,1,384.767912728494,384.767912728494,379.90257030498844,1.0,1.0,1.0
25,23,2,10,0,0,394.2369039992046,384.767912728494,379.90257030498844,1.0,1.0,1.0
26,24,1,9,0,0,391.47189932197944,384.767912728494,379.90257030498844,1.425,1.34,1.2857142857142858
27,25,2,11,0,1,391.47189932197944,391.47189932197944,379.90257030498844,1.425,1.34,1.2857142857142858
28,26,1,10,0,1,390.74805486842615,390.74805486842615,379.90257030498844,1.425,1.34,1.2857142857142858
29,27,2,10,0,1,390.19656893071607,390.19656893071607,379.90257030498844,1.425,1.34,1.2857142857142858
30,28,0,12,0,1,396.3476392987497,396.3476392987497,379.90257030498844,1.425,1.34,1.2857142857142858
31,29,2,8,0,0,410.6598486397547,396.3476392987497,379.90257030498844,1.425,1.34,1.2857142857142858
32,30,1,8,0,0,407.1599973338996,396.3476392987497,379.90257030498844,1.425,1.34,1.2857142857142858
33,31,1,10,0,0,404.55838185106734,396.3476392987497,379.90257030498844,1.425,1.34,1.2857142857142858
34,32,2,10,0,1,393.4985572985911,393.4985572985911,379.90257030498844,1.425,1.34,1.2857142857142858
35,33,0,11,0,0,404.55838185106734,393.4985572985911,379.90257030498844,1.425,1.34,1.2857142857142858
36,34,1,9,0,0,424.4392558001488,393.4985572985911,379.90257030498844,1.425,1.34,1.2857142857142858
37,35,1,11,0,0,403.7611770467331,393.4985572985911,379.90257030498844,1.425,1.34,1.2857142857142858
38,36,2,9,0,0,409.5476843966425,393.4985572985911,379.90257030498844,1.425,1.34,1.2857142857142858
39,37,0,12,0,0,411.8372380765604,393.4985572985911,379.90257030498844,1.425,1.34,1.2857142857142858
40,38,1,12,0,1,390.19656893071607,390.19656893071607,379.90257030498844,1.425,1.34,1.2857142857142858
41,38,1,10,1,0,,390.19656893071607,379.90257030498844,,,
42,39,2,12,0,0,392.96157360794126,390.19656893071607,379.90257030498844,1.425,1.34,1.2857142857142858
43,40,1,10,0,0,392.96157360794126,390.19656893071607,379.90257030498844,1.425,1.34,1.2857142857142858
44,41,1,9,0,0,410.6598486397547,390.19656893071607,379.90257030498844,1.425,1.34,1.2857142857142858
45,42,2,10,0,0,396.3476392987497,390.19656893071607,379.90257030498844,1.425,1.34,1.2857142857142858
46,43,1,12,0,0,392.96157360794126,390.19656893071607,379.90257030498844,1.425,1.34,1.2857142857142858
47,44,0,12,0,1,389.2553523432847,389.2553523432847,379.90257030498844,1.425,1.34,1.2857142857142858
48,45,1,11,0,0,391.47189932197944,389.2553523432847,379.90257030498844,1.425,1.34,1.2857142857142858
49,46,1,12,0,1,391.47189932197944,391.47189932197944,379.90257030498844,1.425,1.34,1.2857142857142858
50,47,1,12,0,0,431.44964111692536,391.47189932197944,379.90257030498844,1.425,1.34,1.2857142857142858
51,48,0,9,0,1,394.2369039992046,394.2369039992046,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
52,49,0,9,0,1,393.82345463585045,393.82345463585045,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
53,49,1,8,1,0,,393.82345463585045,379.90257030498844,,,
54,50,2,9,0,1,391.47189932197944,391.47189932197944,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
55,50,0,10,1,0,,391.47189932197944,379.90257030498844,,,
56,51,1,9,0,0,392.27189932197945,391.47189932197944,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
57,52,2,9,0,0,394.2369039992046,391.47189932197944,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
58,53,1,8,0,0,394.2369039992046,391.47189932197944,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
59,54,0,12,0,1,389.1040828135889,389.1040828135889,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
60,55,1,10,0,0,394.2369039992046,389.1040828135889,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
61,56,1,11,0,0,391.47189932197944,389.1040828135889,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
62,57,0,9,0,1,391.8690874908141,391.8690874908141,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
63,58,2,11,0,1,394.2369039992046,394.2369039992046,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
64,58,0,9,1,0,,394.2369039992046,379.90257030498844,,,
65,59,0,8,0,1,394.28839475100716,394.28839475100716,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
66,60,2,12,0,1,394.2369039992046,394.2369039992046,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
67,60,2,11,1,0,,394.2369039992046,379.90257030498844,,,
68,61,0,9,0,1,395.6718993219795,395.6718993219795,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
69,62,2,9,0,0,426.9462558265785,395.6718993219795,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
70,63,1,9,0,1,395.53832680205,395.53832680205,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
71,64,0,10,0,1,394.2629964107866,394.2629964107866,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
72,65,0,11,0,0,410.62979372740807,394.2629964107866,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
73,66,1,9,0,1,394.43352452467866,394.43352452467866,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
74,67,1,11,0,0,397.30770231223573,394.43352452467866,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
75,68,2,10,0,1,394.3478168177261,394.3478168177261,379.90257030498844,1.3900000000000001,1.2005714285714286,1.2857142857142858
76,69,0,9,0,1,386.34139251436324,386.34139251436324,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
77,70,0,12,0,1,386.1466823972188,386.1466823972188,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
78,71,0,9,0,1,386.001512063778,386.001512063778,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
79,72,1,10,0,0,391.36710401376,386.001512063778,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
80,73,0,10,0,1,386.1466823972188,386.1466823972188,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
81,74,2,11,0,1,386.7972811088514,386.7972811088514,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
82,75,2,11,0,0,395.227840308991,386.7972811088514,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
83,76,0,12,0,0,394.80370541221424,386.7972811088514,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
84,77,1,11,0,1,386.34139251436324,386.34139251436324,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
85,78,1,11,0,0,394.3478168177261,386.34139251436324,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
86,79,0,9,0,0,391.85995776643216,386.34139251436324,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
87,80,0,12,0,1,386.1466823972188,386.1466823972188,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
88,81,2,12,0,0,399.5871734094657,386.1466823972188,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
89,82,0,10,0,1,387.3686204130379,387.3686204130379,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
90,83,2,11,0,0,395.45170883795527,387.3686204130379,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
91,84,0,9,0,0,455.80468855340115,387.3686204130379,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
92,85,2,11,0,0,396.76323640302394,387.3686204130379,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
93,85,2,9,1,0,,387.3686204130379,379.90257030498844,,,
94,86,0,9,0,0,395.45170883795527,387.3686204130379,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
95,87,0,11,0,0,403.22590096435016,387.3686204130379,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
96,88,0,10,0,1,388.4466823972188,388.4466823972188,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
97,89,0,10,0,1,387.4288016882329,387.4288016882329,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
98,90,2,10,0,1,387.32271261255823,387.32271261255823,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
99,91,1,9,0,0,394.31889281122056,387.32271261255823,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
100,92,1,10,0,1,387.34534866692763,387.34534866692763,379.90257030498844,1.4320000000000002,1.085457142857143,1.4000000000000001
101,93,2,9,0,0,426.84594771224323,387.34534866692763,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
102,94,2,12,0,1,387.57525601345395,387.57525601345395,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
103,95,2,9,0,1,386.07135104525975,386.07135104525975,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
104,96,0,12,0,0,400.9910856505831,386.07135104525975,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
105,97,2,9,0,0,387.2897655546338,386.07135104525975,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
106,98,2,11,0,1,385.9261807118189,385.9261807118189,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
107,99,0,10,0,1,391.7866229617866,391.7866229617866,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
108,100,2,10,0,0,394.1544394701772,391.7866229617866,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
109,101,0,11,0,1,393.99453067722493,393.99453067722493,379.90257030498844,1.499446153846154,1.0683657142857144,1.262857142857143
